# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-23 21:30:45
# test: turn 4
# period_ms=5 samples=384 capacity=384 result=OK build="Sep 23 2026 19:10:31"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=140 ticks_per_turn=392 turn_still_ms=20
# spd=150 fast=220 turn=140 kp=2.00 ki=1.50 kd=30.00 ke=0.00 pd_max=150 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=0 side_yaw_doubt_mm=20 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=384
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,60,30,1110,515
5,0,0,20,-20,58,29,1109,517
10,0,0,40,-40,91,30,1111,521
15,0,0,60,-60,91,35,1107,515
20,0,0,80,-80,91,35,1110,513
25,0,0,100,-100,99,34,1109,518
30,0,0,120,-120,134,34,1110,514
35,1,0,140,-140,138,37,1104,517
40,1,-1,140,-140,140,35,1112,512
45,2,-2,140,-140,140,33,1118,516
50,2,-3,140,-140,135,35,1108,520
55,3,-4,140,-140,138,34,1105,517
60,5,-6,140,-140,112,35,1111,512
65,6,-8,140,-140,113,33,1106,515
70,8,-10,140,-140,109,34,1108,537
75,10,-12,140,-140,74,33,1083,538
80,12,-15,140,-140,71,67,1085,535
85,14,-18,140,-140,72,66,1083,538
90,17,-20,140,-140,57,66,1065,537
95,20,-24,140,-140,59,63,1059,539
100,22,-27,140,-140,56,29,1062,559
105,26,-30,140,-140,59,27,1041,563
110,29,-33,140,-140,36,29,1041,560
115,32,-36,140,-140,38,34,1036,586
120,35,-40,140,-140,36,34,1041,582
125,38,-44,140,-140,37,33,1018,585
130,42,-48,140,-140,37,28,1020,585
135,46,-52,140,-140,38,30,1014,611
140,49,-55,140,-140,46,29,973,606
145,53,-60,140,-140,48,28,974,609
150,57,-64,140,-140,46,28,975,657
155,60,-68,140,-140,60,30,948,656
160,64,-72,140,-140,58,29,953,653
165,68,-76,140,-140,59,29,950,680
170,72,-80,140,-140,58,30,907,680
175,76,-84,140,-140,59,29,901,679
180,80,-88,140,-140,60,28,906,701
185,84,-93,140,-140,58,29,859,704
190,88,-97,140,-140,59,28,860,702
195,91,-102,140,-140,60,319,854,727
200,95,-106,140,-140,60,319,860,725
205,100,-111,140,-140,59,319,805,725
210,103,-115,140,-140,60,250,803,726
215,107,-120,140,-140,60,249,800,751
220,112,-124,140,-140,60,247,782,748
225,116,-129,140,-140,60,413,779,750
230,120,-133,140,-140,58,413,780,774
235,124,-138,140,-140,48,412,754,772
240,128,-143,140,-140,47,413,757,769
245,132,-148,140,-140,47,485,755,773
250,136,-152,140,-140,58,482,710,774
255,141,-157,140,-140,138,481,707,774
260,145,-161,140,-140,137,532,709,794
265,150,-166,140,-140,137,530,687,799
270,154,-171,140,-140,163,530,664,797
275,158,-176,140,-140,161,617,661,799
280,162,-180,140,-140,162,618,664,796
