# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-23 21:31:12
# test: turn -4
# period_ms=5 samples=384 capacity=384 result=OK build="Sep 23 2026 19:10:31"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=140 ticks_per_turn=392 turn_still_ms=20
# spd=150 fast=220 turn=140 kp=2.00 ki=1.50 kd=30.00 ke=0.00 pd_max=150 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=0 side_yaw_doubt_mm=20 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=384
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,47,35,1109,540
5,0,0,-20,20,46,34,1106,537
10,0,0,-40,40,46,35,1106,534
15,0,0,-60,60,60,27,1088,540
20,-1,0,-80,80,56,30,1088,539
25,-1,0,-100,100,58,29,1081,538
30,-1,1,-120,120,73,34,1088,535
35,-1,1,-140,140,74,35,1110,539
40,-1,1,-140,140,73,35,1110,538
45,-1,1,-140,140,72,34,1111,517
50,-3,2,-140,140,59,29,1110,515
55,-4,4,-140,140,60,29,1110,515
60,-5,5,-140,140,60,29,1109,515
65,-7,8,-140,140,164,67,1110,517
70,-9,10,-140,140,163,67,1111,515
75,-12,12,-140,140,164,67,1112,516
80,-14,15,-140,140,30,29,1134,517
85,-17,18,-140,140,31,29,1137,515
90,-19,21,-140,140,31,30,1135,518
95,-22,24,-140,140,27,33,1157,494
100,-25,27,-140,140,28,35,1157,490
105,-27,30,-140,140,29,36,1156,492
110,-31,34,-140,140,28,28,1157,470
115,-34,37,-140,140,27,28,1178,467
120,-37,41,-140,140,28,28,1180,469
125,-41,45,-140,140,28,29,1177,447
130,-43,49,-140,140,240,28,1222,443
135,-47,53,-140,140,240,29,1221,444
140,-50,57,-140,140,239,27,1221,414
145,-54,61,-140,140,456,28,1246,415
150,-57,65,-140,140,456,28,1243,412
155,-61,69,-140,140,456,28,1243,390
160,-65,74,-140,140,581,220,1290,392
165,-68,78,-140,140,579,220,1289,389
170,-72,82,-140,140,578,220,1287,390
175,-76,87,-140,140,674,343,1290,344
180,-80,92,-140,140,674,343,1311,342
185,-83,96,-140,140,671,340,1307,341
190,-87,100,-140,140,674,341,1311,320
195,-91,105,-140,140,792,249,1334,318
200,-95,109,-140,140,791,248,1333,318
205,-99,114,-140,140,792,250,1333,272
210,-103,118,-140,140,910,342,1357,271
215,-107,123,-140,140,909,342,1357,270
220,-110,128,-140,140,909,344,1359,202
225,-114,133,-140,140,1031,390,1380,201
230,-118,137,-140,140,1029,392,1379,200
235,-123,142,-140,140,1030,392,1380,178
240,-127,146,-140,140,1123,485,1401,178
245,-131,151,-140,140,1124,483,1402,177
250,-135,156,-140,140,1123,485,1403,177
255,-139,161,-140,140,1124,484,1401,132
260,-143,165,-140,140,1216,532,1425,131
265,-147,170,-140,140,1216,532,1426,130
270,-151,176,-140,140,1214,531,1424,109
275,-155,180,-140,140,1287,605,1424,107
280,-159,185,-140,140,1285,604,1424,106
285,-163,190,-140,140,1287,602,1425,66
290,-167,195,-140,140,1362,665,1448,65
295,-171,200,-140,140,1360,663,1448,65
300,-175,205,-140,140,1362,664,1447,53
305,-179,209,-140,140,1405,710,1426,53
310,-183,214,-140,140,1405,713,1427,52
315,-188,219,-140,140,1403,709,1423,43
320,-192,224,-140,140,1475,740,1423,42
325,-196,229,-140,140,1475,757,1425,41
330,-200,234,-140,140,1477,758,1425,41
335,-204,239,-140,140,1472,757,1424,28
340,-209,244,-140,140,1496,805,1401,28
345,-213,249,-140,140,1497,804,1403,27
350,-217,253,-140,140,1493,806,1401,28
355,-221,258,-140,140,1544,852,1379,28
360,-225,263,-140,140,1539,852,1379,28
365,-229,268,-140,140,1541,851,1377,29
370,-233,273,-140,140,1541,900,1335,28
375,-237,278,-140,140,1544,898,1335,27
380,-241,283,-140,140,1542,899,1335,30
385,-245,288,-140,140,1565,966,1289,30
390,-249,293,-140,140,1565,970,1289,28
395,-254,298,-140,140,1565,964,1289,29
400,-258,303,-140,140,1566,968,1290,28
405,-262,308,-140,140,1564,1017,1223,30
410,-266,313,-140,140,1564,1019,1222,28
415,-270,317,-140,140,1566,1016,1222,28
420,-275,322,-140,140,1565,1063,1158,28
425,-279,327,-140,140,1564,1062,1157,29
430,-283,332,-140,140,1563,1063,1156,29
435,-287,337,-140,140,1566,1108,1041,29
440,-291,341,-140,140,1563,1108,1042,28
445,-296,346,-140,140,1562,1105,1042,29
450,-300,351,-140,140,1543,1154,928,28
455,-304,356,-140,140,1539,1153,928,28
460,-309,361,-140,140,1539,1151,927,27
465,-313,366,-140,140,1519,1153,926,30
470,-317,371,-140,140,1520,1200,927,28
475,-321,376,-140,140,1519,1197,927,29
480,-325,381,-140,140,1518,1197,928,29
485,-329,385,-140,140,1495,1244,972,30
490,-333,390,-140,140,1499,1247,973,28
495,-337,395,-140,140,1497,1245,973,132
500,-341,400,-140,140,1475,1289,996,131
505,-346,405,-140,140,1473,1290,997,133
510,-350,410,-140,140,1475,1291,995,274
515,-354,415,-140,140,1428,1335,1042,272
520,-358,420,-140,140,1426,1336,1042,271
525,-362,425,0,0,1428,1333,1042,416
530,-366,429,0,0,1405,1409,1110,415
535,-369,432,-16,16,1406,1378,1111,415
540,-371,434,-36,36,1404,1375,1107,519
545,-373,437,-56,56,1360,1375,1109,522
550,-375,439,-76,76,1360,1401,1157,518
555,-377,442,-96,96,1365,1399,1157,635
560,-379,445,-116,116,1358,1396,1154,633
565,-381,448,-136,136,1312,1421,1201,633
570,-385,452,-140,140,1316,1423,1197,633
575,-388,456,-140,140,1311,1420,1199,704
580,-392,460,-140,140,1287,1444,1223,704
585,-395,463,-140,140,1281,1446,1224,706
590,-398,467,-140,140,1286,1444,1219,751
595,-401,470,-140,140,1262,1442,1223,746
600,-404,474,-140,140,1263,1441,1227,750
605,-407,478,-140,140,1258,1445,1220,831
610,-411,482,-140,140,1240,1445,1264,828
615,-414,486,-140,140,1240,1467,1268,824
620,-417,490,-140,140,1241,1463,1270,900
625,-421,494,-140,140,1206,1466,1268,899
630,-425,498,-140,140,1194,1488,1309,897
635,-429,503,-140,140,1193,1489,1314,986
640,-432,507,-140,140,1193,1483,1313,991
645,-435,511,-140,140,1142,1488,1336,992
650,-439,515,-140,140,1145,1489,1332,989
655,-443,520,-140,140,1146,1488,1333,1054
660,-447,525,-140,140,1101,1507,1381,1057
665,-451,529,-140,140,1094,1510,1380,1058
670,-455,533,-140,140,1098,1510,1376,1127
675,-459,537,-140,140,1054,1511,1380,1124
680,-463,542,-140,140,1052,1507,1380,1125
685,-467,547,-140,140,1046,1507,1377,1193
690,-471,551,-140,140,1008,1514,1377,1192
695,-475,556,-140,140,1009,1534,1425,1189
700,-479,561,-140,140,1006,1523,1421,1258
705,-483,565,-140,140,1004,1529,1425,1260
710,-487,569,-140,140,1009,1513,1445,1259
715,-491,574,-140,140,1007,1506,1447,1283
720,-495,579,-140,140,1008,1508,1446,1304
725,-499,584,-140,140,1097,1511,1494,1307
730,-503,589,-140,140,1101,1511,1490,1305
735,-507,593,-140,140,1100,1511,1495,1324
740,-512,597,-140,140,1217,1484,1518,1326
745,-516,602,-140,140,1210,1490,1515,1330
750,-520,607,-140,140,1217,1490,1513,1374
755,-524,612,-140,140,1359,1489,1516,1369
760,-528,617,-140,140,1362,1485,1519,1374
765,-532,621,-140,140,1357,1490,1517,1400
770,-536,626,-140,140,1451,1489,1512,1396
775,-541,630,-140,140,1451,1445,1540,1391
780,-545,635,-140,140,1454,1442,1543,1398
785,-549,640,-140,140,1446,1444,1539,1398
790,-553,645,-140,140,1521,1401,1536,1396
795,-557,649,-140,140,1520,1402,1541,1405
800,-561,654,-140,140,1520,1395,1539,1420
805,-565,659,-140,140,1560,1337,1540,1419
810,-569,664,-140,140,1565,1334,1536,1417
815,-573,669,-140,140,1561,1332,1538,1414
820,-577,673,-140,140,1610,1322,1518,1419
825,-581,678,-140,140,1605,1267,1516,1418
830,-585,683,-140,140,1606,1256,1510,1417
835,-589,688,-140,140,1633,1268,1516,1416
840,-593,693,-140,140,1634,1150,1495,1420
845,-597,697,-140,140,1629,1152,1493,1394
850,-601,702,-140,140,1635,1152,1492,1396
855,-605,707,-140,140,1684,1017,1497,1392
860,-609,712,-140,140,1683,1013,1494,1372
865,-613,716,-140,140,1678,1018,1494,1376
870,-617,721,-140,140,1708,967,1471,1374
875,-621,726,-140,140,1701,968,1470,1350
