# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-23 23:02:56
# test: noise 2000
# period_ms=10 samples=200 capacity=384 result=OK build="Sep 23 2026 22:39:45"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=140 ticks_per_turn=390 turn_still_ms=20
# spd=250 fast=350 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=200
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,1053,1038,863,704
10,0,0,0,0,1055,1040,884,727
20,0,0,0,0,1053,1036,885,725
30,0,0,0,0,1055,1041,885,725
40,0,0,0,0,1055,1039,886,705
50,0,0,0,0,1054,1039,884,702
60,0,0,0,0,1056,1040,887,728
70,0,0,0,0,1081,1041,888,727
80,0,0,0,0,1078,1039,884,725
90,0,0,0,0,1077,1038,886,727
100,0,0,0,0,1078,1039,884,724
110,0,0,0,0,1076,1038,883,725
120,0,0,0,0,1053,1038,886,727
130,0,0,0,0,1073,1038,882,723
140,0,0,0,0,1075,1034,882,725
150,0,0,0,0,1077,1037,886,726
160,0,0,0,0,1075,1039,883,725
170,0,0,0,0,1075,1038,885,727
180,0,0,0,0,1076,1039,883,724
190,0,0,0,0,1075,1038,884,702
200,0,0,0,0,1077,1041,887,728
210,0,0,0,0,1077,1040,885,725
220,0,0,0,0,1077,1038,887,728
230,0,0,0,0,1077,1039,886,726
240,0,0,0,0,1076,1038,884,725
250,0,0,0,0,1077,1039,885,727
260,0,0,0,0,1053,1039,885,724
270,0,0,0,0,1054,1038,886,727
280,0,0,0,0,1080,1037,886,727
290,0,0,0,0,1053,1039,883,726
300,0,0,0,0,1052,1038,861,727
310,0,0,0,0,1057,1040,887,726
320,0,0,0,0,1054,1038,883,724
330,0,0,0,0,1079,1041,887,727
340,0,0,0,0,1054,1040,885,725
350,0,0,0,0,1053,1038,885,725
360,0,0,0,0,1054,1039,886,728
370,0,0,0,0,1055,1040,886,725
380,0,0,0,0,1053,1038,888,727
390,0,0,0,0,1078,1039,885,727
400,0,0,0,0,1076,1038,885,725
410,0,0,0,0,1075,1038,885,727
420,0,0,0,0,1079,1039,883,725
430,0,0,0,0,1075,1038,884,727
440,0,0,0,0,1077,1039,886,728
450,0,0,0,0,1054,1039,884,726
460,0,0,0,0,1057,1042,864,729
470,0,0,0,0,1078,1038,872,727
480,0,0,0,0,1075,1037,883,703
490,0,0,0,0,1079,1040,886,727
500,0,0,0,0,1078,1039,885,727
510,0,0,0,0,1077,1038,887,728
520,0,0,0,0,1078,1038,884,727
530,0,0,0,0,1078,1039,886,726
540,0,0,0,0,1077,1037,884,727
550,0,0,0,0,1077,1039,885,727
560,0,0,0,0,1079,1038,886,726
570,0,0,0,0,1053,1038,886,728
580,0,0,0,0,1077,1041,885,726
590,0,0,0,0,1077,1043,886,728
600,0,0,0,0,1079,1038,886,729
610,0,0,0,0,1076,1039,884,727
620,0,0,0,0,1074,1037,862,727
630,0,0,0,0,1079,1018,862,726
