# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-23 23:04:15
# test: straight 3 250
# period_ms=10 samples=222 capacity=384 result=PERDIDO build="Sep 23 2026 22:39:45"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=140 ticks_per_turn=390 turn_still_ms=20
# spd=250 fast=350 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=PERDIDO samples=222
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,72,44,1001,632
10,0,0,40,40,59,42,998,637
20,0,1,80,80,59,35,997,630
30,0,2,120,120,26,34,998,629
40,3,4,160,160,28,29,997,629
50,7,7,200,200,135,28,977,629
60,12,13,240,216,87,29,976,624
70,20,21,234,248,83,81,977,629
80,28,29,257,242,56,81,1001,623
90,38,39,239,260,54,83,1002,632
100,50,51,259,240,57,126,1002,625
110,63,64,232,267,54,124,999,628
120,77,79,264,235,56,102,1001,626
130,92,94,237,262,55,81,1000,629
140,108,110,261,238,29,79,999,625
150,125,127,237,262,26,103,1000,631
160,142,143,258,241,26,102,1000,625
170,160,161,239,260,27,80,999,631
180,178,179,252,247,28,67,999,625
190,196,197,235,264,43,67,998,630
200,214,215,266,233,45,55,998,627
210,233,234,234,265,70,43,975,628
220,252,253,262,237,29,43,976,629
230,272,272,238,261,27,34,978,630
240,291,292,257,242,113,34,977,626
250,310,311,240,259,112,43,976,631
260,330,331,252,247,113,43,1000,626
270,349,351,239,260,70,42,1000,631
280,369,371,265,234,73,80,1001,628
290,389,390,233,266,57,34,1001,631
300,408,410,262,237,73,35,1001,628
310,429,430,237,262,71,54,1024,631
320,448,450,256,243,73,54,1023,625
330,468,470,237,262,70,44,1023,631
340,488,490,257,242,73,43,1001,627
350,508,510,238,261,70,44,1002,655
360,528,530,206,293,72,43,1021,628
370,548,551,230,269,69,43,1001,631
380,569,570,270,229,72,43,998,627
390,589,590,239,260,70,67,998,630
400,608,610,256,243,91,66,977,627
410,629,630,241,258,87,28,976,633
420,650,651,251,248,72,80,976,626
430,669,671,238,261,88,80,975,632
440,689,691,262,237,89,44,976,628
450,709,710,230,269,111,42,977,630
460,729,731,261,238,91,44,978,630
470,750,751,232,267,89,54,979,633
480,769,771,248,251,91,55,979,632
490,790,791,254,245,90,81,978,634
500,809,811,232,267,91,67,978,632
510,830,831,255,244,91,68,974,632
520,850,851,249,250,91,81,976,634
530,870,871,245,254,92,80,978,632
540,890,891,248,251,90,45,975,632
550,910,911,246,253,90,44,978,634
560,930,931,242,257,90,43,978,632
570,950,951,253,246,90,56,974,633
580,970,971,246,253,114,103,977,633
590,990,991,246,253,115,102,975,657
600,1010,1011,214,285,114,127,979,657
610,1030,1031,238,261,90,127,980,657
620,1050,1051,248,251,91,128,978,657
630,1070,1071,234,265,90,149,976,657
640,1090,1091,241,258,138,149,976,655
650,1110,1111,250,249,138,35,981,658
660,1130,1131,238,261,113,34,976,655
670,1150,1151,248,251,115,126,976,656
680,1170,1171,243,256,113,67,978,655
690,1190,1191,239,260,115,66,975,656
700,1210,1211,247,252,114,69,976,656
710,1230,1232,234,265,113,67,954,655
720,1250,1252,240,259,116,68,958,657
730,1271,1272,243,256,113,67,975,657
740,1291,1292,243,256,138,67,956,658
750,1311,1312,242,257,139,83,954,657
760,1331,1332,239,260,139,102,976,657
770,1352,1352,243,256,139,103,956,657
780,1372,1373,240,259,138,103,956,656
790,1392,1393,246,253,139,102,978,656
800,1412,1414,239,260,164,102,976,656
810,1432,1434,245,254,163,105,953,656
820,1453,1454,243,256,138,100,957,659
830,1473,1475,243,256,164,127,956,658
840,1493,1495,234,265,163,126,953,657
850,1514,1515,245,254,164,126,955,657
860,1534,1535,240,259,163,149,954,657
870,1554,1555,240,259,162,186,954,656
880,1575,1575,248,251,164,196,954,658
890,1595,1596,239,260,162,103,952,656
900,1615,1616,244,255,163,101,955,656
910,1636,1636,244,255,164,197,951,656
920,1656,1657,242,257,160,172,956,655
930,1676,1677,242,257,163,173,953,656
940,1696,1698,244,255,163,173,953,655
950,1716,1718,236,263,192,170,956,656
960,1736,1738,243,256,192,171,954,656
970,1757,1758,245,254,192,174,953,657
980,1777,1779,238,261,193,171,955,655
990,1797,1799,240,259,193,172,954,655
1000,1818,1819,242,257,191,172,954,656
1010,1838,1839,245,254,193,177,956,657
1020,1858,1859,239,260,191,193,954,681
1030,1878,1880,207,292,216,189,956,679
1040,1898,1900,231,268,217,169,949,657
1050,1919,1920,245,254,215,167,954,681
1060,1939,1940,213,286,216,168,948,680
1070,1959,1961,237,262,241,215,952,680
1080,1979,1981,234,265,239,217,948,680
1090,2000,2001,236,263,240,213,954,680
1100,2020,2021,244,255,238,247,968,680
1110,2040,2042,237,262,239,245,978,680
1120,2061,2062,235,264,241,270,969,678
1130,2081,2083,232,267,238,244,976,679
1140,2102,2103,242,257,265,247,951,679
1150,2122,2123,234,265,265,268,953,681
1160,2142,2144,239,260,263,269,970,609
1170,2163,2164,250,249,265,267,976,610
1180,2183,2184,252,247,264,272,973,202
1190,2204,2205,253,246,287,268,954,85
1200,2224,2225,221,278,289,273,949,83
1210,2244,2246,245,254,287,292,953,53
1220,2265,2266,231,268,287,293,948,53
1230,2285,2287,263,236,301,315,952,34
1240,2306,2307,234,265,314,317,948,33
1250,2326,2327,260,239,311,292,951,33
1260,2347,2347,236,263,311,343,950,29
1270,2367,2368,257,242,312,338,957,42
1280,2387,2388,241,258,311,342,946,42
1290,2408,2408,249,250,310,362,955,33
1300,2428,2429,233,266,337,365,947,33
1310,2448,2449,265,234,335,363,953,28
1320,2468,2470,241,258,359,364,950,33
1330,2488,2490,265,234,360,361,953,33
1340,2509,2510,237,262,358,390,948,43
1350,2529,2531,261,238,382,383,953,28
1360,2550,2551,237,262,384,414,949,28
1370,2570,2571,258,241,381,432,930,34
1380,2591,2591,226,273,383,437,924,33
1390,2610,2612,250,249,384,431,952,28
1400,2631,2632,235,264,406,432,926,34
1410,2651,2652,203,296,433,435,931,33
1420,2671,2674,227,272,431,462,950,29
1430,2692,2694,264,235,432,456,932,42
1440,2712,2713,240,259,456,462,925,42
1450,2732,2734,245,254,455,456,931,28
1460,2752,2754,238,261,457,483,926,28
1470,2773,2774,270,229,455,503,950,29
1480,2794,2795,246,253,476,506,932,33
1490,2814,2816,206,293,504,509,929,33
1500,2834,2836,232,267,503,531,932,34
1510,2855,2856,246,253,504,530,932,29
1520,2876,2876,252,247,528,557,931,28
1530,2896,2897,236,263,528,555,932,33
1540,2916,2918,250,249,555,580,931,34
1550,2937,2938,244,255,554,579,932,34
1560,2957,2959,245,254,557,578,932,33
1570,2978,2979,236,263,582,604,931,33
1580,2998,2999,243,256,582,618,931,33
1590,3019,3020,245,254,603,618,929,44
1600,3039,3040,247,252,626,641,930,44
1610,3060,3060,237,262,627,639,929,27
1620,3080,3081,243,256,652,663,929,28
1630,3100,3101,242,257,649,710,928,43
1640,3120,3122,244,255,699,709,930,33
1650,3141,3142,249,250,725,734,927,33
1660,3161,3163,233,266,721,735,932,34
1670,3182,3183,245,254,746,759,933,34
1680,3202,3203,256,243,751,783,934,32
1690,3222,3223,237,262,794,780,931,42
1700,3243,3244,246,253,837,828,930,41
1710,3263,3264,239,260,838,851,910,33
1720,3284,3285,207,292,865,849,909,33
1730,3304,3306,231,268,912,898,910,33
1740,3324,3326,238,261,910,895,911,66
1750,3345,3346,247,252,963,916,906,66
1760,3365,3367,225,274,960,967,908,64
1770,3386,3387,240,259,1008,966,909,34
1780,3406,3407,241,258,1081,1019,908,33
1790,3427,3428,238,261,1076,1083,907,107
1800,3447,3448,236,263,1149,1085,910,133
1810,3468,3468,250,249,1217,1131,907,130
1820,3488,3489,229,270,1217,1129,909,202
1830,3508,3509,232,267,1286,1199,908,249
1840,3528,3529,246,253,1284,1266,907,248
1850,3548,3550,230,269,1381,1264,907,345
1860,3569,3571,241,258,1475,1355,909,343
1870,3590,3591,273,226,1471,1353,886,441
1880,3610,3611,290,209,1584,1462,907,539
1890,3630,3631,265,234,1732,1581,908,540
1900,3650,3651,266,233,1728,1578,910,659
1910,3671,3671,240,259,1882,1739,909,830
1920,3688,3690,0,0,1886,1894,911,832
1930,3701,3702,0,0,2049,1895,1003,1040
1940,3710,3711,0,0,2242,2077,1000,1034
1950,3717,3718,0,0,2243,2082,1253,1308
1960,3722,3723,0,0,2422,2270,1252,1489
1970,3726,3727,0,0,2423,2427,1599,1486
1980,3729,3730,0,0,2549,2421,1798,1809
1990,3728,3731,0,0,2569,2443,1794,1793
2000,3728,3731,0,0,2566,2443,1818,1761
2010,3728,3731,0,0,2562,2436,1794,1736
2020,3728,3731,0,0,2545,2421,1795,1738
2030,3728,3731,0,0,2546,2424,1776,1761
2040,3728,3732,0,0,2545,2442,1774,1760
2050,3728,3732,0,0,2548,2444,1776,1761
2060,3728,3732,0,0,2547,2444,1775,1785
2070,3728,3732,0,0,2552,2380,1777,1633
2080,3728,3732,0,0,2543,2376,1775,1560
2090,3728,3732,0,0,2542,2441,1773,1781
2100,3728,3732,0,0,2549,2445,1774,1782
2110,3728,3732,0,0,2548,2443,1775,1783
2120,3728,3732,0,0,2548,2440,1775,1784
2130,3728,3732,0,0,2546,2443,1773,1784
2140,3728,3732,0,0,2544,2438,1772,1782
2150,3728,3732,0,0,2546,2443,1773,1793
2160,3728,3732,0,0,2546,2444,1773,1806
2170,3728,3732,0,0,2552,2445,1775,1852
2180,3728,3732,0,0,2544,2330,1770,1848
2190,3728,3732,0,0,2550,2337,1778,1511
2200,3728,3732,0,0,2549,2448,1778,1787
2210,3728,3732,0,0,2547,2442,1773,1781
