# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-23 23:15:54
# test: turn 4
# period_ms=10 samples=273 capacity=384 result=OK build="Sep 23 2026 22:39:45"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=140 ticks_per_turn=378 turn_still_ms=20
# spd=400 fast=220 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=273
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,1102,1061,887,752
10,0,0,40,-40,1105,1065,888,755
20,0,0,80,-80,1103,1061,864,750
30,0,-1,120,-120,1099,1063,864,750
40,0,-1,140,-140,1106,1064,888,750
50,1,-3,140,-140,1103,1065,888,756
60,3,-7,140,-140,1106,1065,888,750
70,7,-12,140,-140,1106,1065,889,756
80,11,-15,140,-140,1104,1064,886,750
90,16,-21,140,-140,1102,1039,886,754
100,20,-27,140,-140,1104,1039,842,774
110,27,-33,140,-140,1102,1041,842,777
120,33,-39,140,-140,1125,1040,844,799
130,40,-47,140,-140,1149,1017,843,854
140,48,-55,140,-140,1150,997,787,853
150,55,-62,140,-140,1148,994,740,878
160,63,-70,140,-140,1172,969,741,899
170,71,-78,140,-140,1175,957,741,903
180,79,-87,140,-140,1171,920,718,942
190,88,-95,140,-140,1172,899,718,943
200,96,-103,140,-140,1168,899,740,966
210,104,-112,140,-140,1174,829,740,992
220,112,-121,140,-140,1167,805,808,988
230,121,-130,140,-140,1169,806,887,1014
240,130,-139,140,-140,1169,736,886,1035
250,138,-147,140,-140,1171,735,956,1035
260,147,-157,140,-140,1148,735,980,1036
270,156,-166,140,-140,1149,712,978,1037
280,164,-175,140,-140,1124,713,1004,1054
290,173,-184,140,-140,1079,781,1000,1060
300,182,-193,140,-140,1077,874,1023,1057
310,191,-203,140,-140,1057,873,1050,1058
320,200,-211,140,-140,1009,944,1048,1058
330,208,-221,140,-140,1011,944,1074,1060
340,217,-230,140,-140,962,1017,1072,1059
350,226,-239,140,-140,963,1042,1070,1059
360,235,-249,140,-140,914,1045,1098,1036
370,244,-258,140,-140,819,1066,1095,1015
380,252,-267,140,-140,816,1109,1096,1012
390,260,-276,140,-140,745,1107,1093,990
400,269,-286,140,-140,724,1132,1094,967
410,278,-295,140,-140,722,1129,1070,967
420,286,-303,140,-140,746,1153,1071,919
430,295,-312,140,-140,744,1176,1069,903
440,304,-322,140,-140,792,1173,1046,873
450,312,-331,140,-140,840,1179,1047,802
460,320,-339,140,-140,839,1177,1025,799
470,329,-349,140,-140,889,1199,1001,752
480,338,-358,140,-140,924,1177,1001,681
490,346,-367,140,-140,939,1177,979,682
500,355,-375,140,-140,987,1179,973,615
510,364,-384,140,-140,981,1151,951,541
520,372,-393,0,0,1008,1154,955,540
530,377,-399,0,0,1057,1156,955,450
540,380,-402,0,0,1055,1155,933,449
550,382,-403,0,0,1103,1131,911,392
560,384,-406,0,0,1103,1133,911,299
570,384,-407,0,0,1124,1132,887,298
580,385,-407,0,0,1124,1129,887,299
590,386,-407,0,0,1126,1133,888,300
600,388,-406,0,0,1126,1132,912,297
610,388,-406,0,0,1126,1134,911,299
620,388,-406,4,-4,1127,1131,889,297
630,388,-406,44,-44,1125,1132,889,298
640,388,-406,84,-84,1125,1132,887,324
650,388,-407,124,-124,1127,1133,890,322
660,391,-409,140,-140,1126,1134,888,370
670,394,-413,140,-140,1123,1132,888,252
680,398,-417,140,-140,1125,1132,888,251
690,402,-422,140,-140,1148,1133,885,275
700,408,-427,140,-140,1148,1130,886,274
710,413,-433,140,-140,1171,1110,866,228
720,420,-440,140,-140,1170,1108,862,157
730,426,-447,140,-140,1171,1110,844,158
740,433,-455,140,-140,1219,1089,843,68
750,440,-462,140,-140,1216,1087,788,28
760,448,-470,140,-140,1218,1065,764,29
770,456,-479,140,-140,1241,1043,765,53
780,464,-487,140,-140,1240,1043,764,53
790,471,-495,140,-140,1267,999,742,29
800,480,-504,140,-140,1265,970,741,28
810,488,-513,140,-140,1262,967,788,29
820,496,-521,140,-140,1265,946,784,29
830,504,-530,140,-140,1264,944,890,29
840,512,-539,140,-140,1290,899,956,30
850,521,-548,140,-140,1290,876,957,28
860,529,-557,140,-140,1286,875,1002,28
870,538,-565,140,-140,1263,826,1039,29
880,547,-574,140,-140,1263,806,1046,54
890,555,-583,140,-140,1242,804,1096,54
900,564,-592,140,-140,1219,759,1091,29
910,572,-601,140,-140,1218,758,1117,43
920,581,-610,140,-140,1198,715,1164,44
930,590,-618,140,-140,1169,666,1162,54
940,599,-627,140,-140,1174,669,1163,54
950,608,-635,140,-140,1125,622,1164,34
960,616,-644,140,-140,1126,557,1185,28
970,624,-654,140,-140,1079,555,1188,29
980,632,-662,140,-140,1010,510,1180,28
990,640,-671,140,-140,1009,509,1187,35
1000,649,-679,140,-140,939,483,1178,34
1010,657,-687,140,-140,865,440,1187,28
1020,665,-696,140,-140,862,437,1181,28
1030,673,-705,140,-140,793,345,1188,33
1040,681,-714,140,-140,792,343,1158,28
1050,690,-723,140,-140,697,345,1163,28
1060,698,-731,140,-140,604,251,1155,28
1070,706,-740,140,-140,602,251,1140,29
1080,715,-749,140,-140,505,69,1113,29
1090,724,-758,140,-140,408,43,1117,203
1100,732,-767,140,-140,406,43,1087,202
1110,740,-776,140,-140,337,43,1098,494
1120,748,-785,140,-140,335,49,1066,541
1130,757,-795,0,0,217,67,1048,539
1140,763,-801,0,0,91,29,1044,564
1150,767,-806,0,0,91,29,1023,611
1160,769,-809,0,0,115,81,1002,611
1170,771,-811,0,0,91,44,1004,660
1180,772,-813,0,0,91,45,980,657
1190,771,-814,0,0,28,36,979,658
1200,770,-815,0,0,29,36,957,659
1210,770,-815,0,0,29,29,981,658
1220,770,-816,0,0,28,30,976,659
1230,770,-816,0,0,28,29,983,660
1240,770,-816,8,-8,28,28,979,658
1250,770,-816,48,-48,33,27,981,660
1260,770,-817,88,-88,37,28,976,658
1270,772,-819,128,-128,30,43,978,660
1280,775,-823,140,-140,31,43,974,658
1290,778,-826,140,-140,60,100,980,659
1300,783,-830,140,-140,74,43,974,659
1310,788,-835,140,-140,73,43,956,682
1320,793,-841,140,-140,73,36,937,681
1330,799,-847,140,-140,73,35,933,706
1340,805,-854,140,-140,73,36,907,706
