# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:16:10
# test: turn -4
# period_ms=10 samples=256 capacity=384 result=OK build="Sep 24 2026 19:07:50"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=140 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=256
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,913,852,805,799
10,0,0,-40,40,914,853,804,801
20,0,0,-80,80,911,850,804,798
30,0,0,-120,120,913,851,805,800
40,-3,3,-140,140,913,829,803,776
50,-6,6,-140,140,912,830,805,777
60,-9,11,-140,140,913,850,805,802
70,-14,15,-140,140,911,875,836,776
80,-19,22,-140,140,913,875,861,779
90,-25,28,-140,140,910,876,857,754
100,-31,36,-140,140,913,886,881,752
110,-38,44,-140,140,889,898,906,731
120,-46,52,-140,140,886,897,903,705
130,-53,61,-140,140,863,899,929,708
140,-61,71,-140,140,841,923,928,662
150,-68,80,-140,140,839,899,950,613
160,-77,89,-140,140,818,901,975,614
170,-85,99,-140,140,794,947,973,565
180,-93,108,-140,140,794,944,999,564
190,-102,119,-140,140,746,944,1043,519
200,-110,128,-140,140,747,946,1044,496
210,-118,139,-140,140,723,944,1064,495
220,-127,148,-140,140,674,920,1065,472
230,-136,159,-140,140,672,921,1086,519
240,-145,169,-140,140,650,918,1110,518
250,-154,179,-140,140,629,922,1109,590
260,-162,189,-140,140,625,919,1108,587
270,-171,199,-140,140,699,899,1109,636
280,-180,210,-140,140,698,898,1110,684
290,-189,219,-140,140,818,899,1136,681
300,-198,230,-140,140,913,855,1131,706
310,-206,239,-140,140,910,828,1106,728
320,-215,250,-140,140,987,828,1110,726
