# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:18:51
# test: straight 2 400
# period_ms=10 samples=153 capacity=384 result=OK build="Sep 24 2026 19:16:58"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=4294967291 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=153
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,36,28,999,657
10,0,0,40,40,37,26,1001,656
20,0,0,80,80,26,29,1000,656
30,1,1,120,120,26,29,1002,657
40,5,4,160,160,25,127,999,658
50,9,10,200,200,26,70,1001,656
60,16,16,240,240,27,27,1001,634
70,25,25,280,280,35,196,977,657
80,37,37,320,320,25,195,980,665
90,50,51,345,360,24,54,977,654
100,67,67,385,379,29,54,975,654
110,87,87,406,393,28,53,977,653
120,109,109,385,414,26,79,974,653
130,133,134,402,397,26,79,978,656
140,158,159,380,419,23,53,977,652
150,185,185,404,395,24,80,976,654
160,213,213,389,410,22,80,975,652
170,242,243,383,416,24,28,977,654
180,273,273,402,397,24,126,955,655
190,304,304,383,416,23,125,977,653
200,336,336,393,406,24,66,979,659
210,369,369,390,409,24,68,976,654
220,402,403,398,401,22,81,978,656
230,437,436,399,400,25,54,956,658
240,471,471,386,413,23,54,976,655
250,505,506,390,409,26,34,978,654
260,541,541,403,396,25,31,979,656
270,577,577,385,414,25,27,977,654
280,613,614,395,404,25,54,978,656
290,649,650,397,402,25,53,955,654
300,685,685,390,409,25,26,952,654
310,721,722,398,401,25,44,976,655
320,758,758,392,407,25,43,979,653
330,794,795,386,413,24,34,974,654
340,831,831,399,400,25,34,977,655
350,868,868,392,407,25,34,978,655
360,905,905,391,408,24,34,978,656
370,941,941,388,411,27,35,979,655
380,978,979,394,405,27,28,976,656
390,1015,1015,399,400,35,67,977,656
400,1051,1052,385,414,28,66,978,654
410,1088,1088,397,402,28,26,978,656
420,1125,1125,398,401,27,27,975,656
430,1162,1162,389,410,28,43,976,658
440,1199,1199,394,405,28,28,953,656
450,1236,1236,387,412,25,27,955,655
460,1273,1274,391,408,25,33,955,656
470,1310,1311,391,408,29,34,976,657
480,1348,1348,388,411,28,34,979,658
490,1385,1385,401,398,29,27,977,658
500,1422,1423,386,413,36,29,978,658
510,1459,1460,394,405,35,55,979,656
520,1497,1497,395,404,36,27,977,658
530,1533,1534,392,407,35,27,999,656
540,1571,1571,397,402,34,79,999,656
550,1609,1608,387,412,28,71,998,657
560,1645,1646,395,404,35,42,1002,656
570,1683,1683,390,409,36,54,1002,657
580,1720,1720,411,388,44,54,977,657
590,1757,1757,387,412,35,53,975,649
600,1794,1795,401,398,33,67,977,656
610,1832,1831,388,411,35,66,978,651
620,1868,1869,396,403,33,67,980,657
630,1905,1906,383,416,35,67,979,652
640,1942,1943,403,396,42,55,978,655
650,1980,1980,427,372,45,82,977,628
660,2017,2016,419,380,43,81,979,657
670,2053,2054,386,413,58,67,977,650
680,2090,2091,394,405,54,81,977,655
690,2128,2128,386,413,72,81,978,650
700,2165,2166,401,398,68,81,976,655
710,2202,2203,384,415,87,79,977,628
720,2240,2240,408,391,87,101,977,631
730,2277,2277,400,399,87,81,974,649
740,2314,2315,408,391,68,79,977,632
750,2352,2351,440,359,57,80,976,626
760,2389,2388,417,382,55,81,975,634
770,2425,2426,395,404,89,81,979,628
780,2463,2463,392,407,87,81,975,631
790,2500,2500,386,401,73,81,979,653
