# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:19:25
# test: straight 2 400
# period_ms=10 samples=153 capacity=384 result=OK build="Sep 24 2026 19:16:58"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=4294967291 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=153
# nota: cal straight 2 se pasa 1 o 2mm
# nota: cal straight 3
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,27,220,933,705
10,0,0,40,40,26,220,932,729
20,0,1,80,80,25,54,931,725
30,1,3,120,120,26,67,932,727
40,3,5,160,160,26,66,928,725
50,8,9,200,200,27,28,929,724
60,15,16,240,240,25,28,909,728
70,23,25,280,280,25,27,909,732
80,35,36,320,320,26,27,908,724
90,49,50,360,360,23,29,908,731
100,65,67,372,400,21,54,907,721
110,85,87,376,423,22,102,910,725
120,107,110,387,412,21,125,922,724
130,131,134,376,423,22,172,912,726
140,156,160,372,427,23,171,908,724
150,181,189,383,416,23,147,910,724
160,208,219,379,420,23,102,910,724
170,236,249,388,411,24,100,907,723
180,265,281,374,425,26,80,908,723
190,294,315,376,423,26,80,907,725
200,324,349,378,421,27,54,907,701
210,355,384,394,405,26,43,909,700
220,385,420,402,397,25,42,925,703
230,418,456,386,413,24,29,931,701
240,450,492,402,397,24,27,932,680
250,484,529,410,389,25,28,930,657
260,517,565,404,395,25,27,951,654
270,551,601,412,387,25,27,977,655
280,587,638,394,405,25,54,978,633
290,622,675,410,389,25,127,976,631
300,658,712,418,381,25,125,979,633
310,695,748,396,403,25,27,1002,633
320,731,784,412,387,25,34,1000,610
330,768,821,420,379,25,34,999,610
340,805,857,396,403,25,28,1001,610
350,841,894,395,404,25,29,1024,612
360,878,931,395,404,35,30,1025,587
370,915,968,411,388,45,34,1024,586
380,951,1004,419,380,44,34,1024,587
390,988,1041,404,395,70,28,1022,586
400,1025,1078,405,394,71,34,1047,588
410,1062,1115,411,388,70,33,1046,588
420,1098,1152,397,402,57,33,1045,585
430,1135,1188,413,386,57,34,1070,564
440,1173,1225,421,378,111,33,1067,562
450,1209,1263,410,389,71,43,1069,560
460,1247,1300,410,389,71,42,1067,561
470,1284,1337,413,386,24,67,1066,561
480,1321,1374,427,372,27,66,1093,557
490,1358,1411,411,388,25,43,1087,560
500,1395,1448,416,383,25,27,1091,558
510,1433,1486,434,365,25,28,1116,539
520,1470,1523,442,357,27,28,1115,534
530,1507,1560,416,383,27,26,1115,539
540,1544,1597,415,384,29,28,1115,512
550,1581,1634,423,376,26,27,1137,517
560,1618,1672,428,371,46,27,1184,511
570,1656,1708,414,385,44,67,1184,518
580,1693,1746,416,383,58,127,1186,512
590,1729,1783,424,375,55,127,1184,518
600,1767,1820,416,383,58,66,1186,489
610,1804,1856,456,343,56,54,1182,490
620,1841,1893,464,336,57,53,1181,488
630,1880,1929,429,370,44,67,1183,490
640,1917,1965,433,366,45,65,1204,486
650,1953,2002,418,381,43,28,1205,493
660,1989,2039,432,367,45,81,1204,486
670,2027,2076,436,363,43,80,1203,491
680,2065,2112,428,371,45,68,1202,487
690,2101,2150,436,363,56,78,1225,490
700,2138,2187,428,371,58,81,1223,489
710,2176,2224,431,368,55,81,1226,493
720,2213,2262,429,370,57,81,1248,487
730,2250,2300,423,376,69,103,1247,468
740,2288,2337,427,372,58,103,1253,463
750,2325,2374,435,364,54,101,1247,468
760,2362,2412,434,365,28,106,1269,465
770,2400,2448,437,362,34,103,1294,467
780,2437,2485,433,366,36,104,1294,465
790,2473,2522,426,369,44,43,1298,469
800,2510,2559,426,341,46,43,1319,441
810,2547,2595,430,333,57,55,1316,447
820,2584,2632,396,306,89,55,1318,441
830,2619,2667,370,298,87,54,1319,446
840,2653,2702,359,272,114,80,1339,443
850,2686,2734,333,264,112,80,1364,446
860,2718,2767,311,239,112,150,1362,446
870,2749,2798,301,212,137,125,1383,446
880,2779,2828,308,187,137,125,1383,436
890,2808,2856,293,179,137,172,1385,448
900,2835,2882,253,193,138,173,1383,444
910,2862,2907,245,169,136,170,1383,441
920,2887,2929,235,142,163,196,1405,437
930,2912,2951,222,133,138,195,1407,440
940,2935,2970,200,143,136,197,1405,448
950,2957,2988,192,145,163,220,1407,447
960,2977,3005,196,105,162,222,1410,449
970,2997,3020,183,116,162,221,1407,447
980,3017,3035,189,110,164,238,1387,446
990,3035,3048,187,112,162,250,1386,449
1000,3052,3060,186,113,192,250,1364,448
1010,3069,3072,195,104,192,248,1364,448
1020,3086,3084,179,120,190,273,1363,470
1030,3103,3095,169,130,192,271,1340,470
1040,3118,3106,185,114,190,271,1325,470
1050,3134,3117,183,116,162,273,1314,469
1060,3149,3128,185,114,164,272,1317,470
1070,3163,3138,183,116,160,272,1314,470
1080,3177,3148,173,126,163,249,1339,492
1090,3192,3159,157,142,191,249,1318,494
1100,3205,3170,149,150,190,273,1315,495
1110,3218,3182,180,119,192,250,1272,494
1120,3230,3195,172,127,191,250,1273,492
1130,3242,3207,156,143,192,319,1269,517
1140,3253,3219,0,0,217,319,1273,518
1150,3263,3228,0,0,217,321,1272,518
1160,3269,3234,0,0,240,298,1272,495
1170,3273,3239,0,0,241,297,1273,495
1180,3277,3242,0,0,241,298,1273,495
1190,3280,3245,0,0,217,297,1274,495
1200,3281,3247,0,0,218,296,1273,493
1210,3282,3248,0,0,217,323,1274,496
1220,3282,3248,0,0,217,319,1270,492
1230,3282,3248,0,0,216,296,1272,492
1240,3283,3248,0,0,192,343,1273,495
1250,3283,3248,0,0,192,343,1270,492
1260,3283,3248,0,0,193,320,1272,494
1270,3283,3248,0,0,192,321,1272,493
1280,3283,3248,0,0,191,321,1272,493
1290,3283,3248,0,0,192,320,1272,494
1300,3283,3248,0,0,215,320,1250,493
1310,3283,3248,0,0,215,320,1248,495
1320,3283,3248,0,0,217,322,1273,492
1330,3283,3248,0,0,215,320,1272,492
1340,3283,3248,0,0,190,320,1269,493
1350,3283,3248,0,0,215,321,1272,494
1360,3283,3248,0,0,214,341,1270,492
1370,3283,3248,0,0,215,320,1272,495
1380,3283,3248,0,0,217,318,1273,493
1390,3283,3248,0,0,215,299,1274,493
1400,3283,3248,0,0,217,297,1272,494
1410,3283,3248,0,0,215,296,1273,494
1420,3283,3248,0,0,215,321,1275,495
1430,3283,3248,0,0,216,321,1273,494
1440,3283,3248,0,0,221,320,1271,495
1450,3283,3248,0,0,217,321,1276,494
1460,3283,3248,0,0,217,320,1274,493
1470,3283,3248,0,0,217,322,1273,495
1480,3283,3248,0,0,216,320,1271,494
1490,3283,3248,0,0,215,319,1272,494
1500,3283,3248,0,0,216,323,1274,495
1510,3283,3248,0,0,216,318,1271,495
1520,3283,3248,0,0,216,320,1273,495
