# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:21:12
# test: straight 3 400
# period_ms=10 samples=198 capacity=384 result=OK build="Sep 24 2026 19:16:58"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=4294967291 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=198
# nota: cal straight 3 sale practicamente perfecto
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,46,28,954,680
10,0,0,40,40,45,26,929,704
20,1,0,80,80,36,27,933,706
30,2,0,120,120,26,27,932,681
40,4,2,160,160,27,618,929,705
50,8,6,200,200,26,102,934,705
60,14,12,240,240,28,102,932,707
70,23,21,280,280,36,27,934,704
80,35,33,320,320,25,66,933,713
90,49,48,360,360,26,66,934,704
100,66,64,384,400,23,44,932,702
110,86,85,374,425,22,42,934,707
120,108,107,390,409,23,80,934,704
130,131,132,377,422,22,54,932,701
140,154,159,381,418,24,54,932,706
150,179,187,387,412,24,67,934,703
160,204,216,377,422,23,55,931,704
170,232,248,392,407,26,55,931,680
180,260,280,408,391,23,104,954,679
190,290,312,416,383,23,102,954,681
200,320,344,389,410,23,82,956,679
210,352,379,383,416,310,54,954,677
220,383,413,385,414,345,54,954,680
230,415,448,386,413,23,81,978,671
240,448,484,402,397,24,80,976,655
250,480,520,410,389,24,80,975,655
260,515,555,399,400,24,27,977,653
270,548,592,415,384,24,28,974,630
280,584,628,423,376,24,27,976,631
290,619,664,394,405,24,26,976,628
300,654,701,410,389,24,27,1000,610
310,690,737,418,381,24,484,1001,608
320,727,772,395,404,24,484,998,607
330,762,808,406,393,26,366,1022,610
340,799,845,396,403,25,26,1022,608
350,836,881,388,411,25,28,1026,610
360,872,918,404,395,25,27,1024,586
370,908,954,432,367,25,27,1022,584
380,945,991,440,359,26,26,1046,587
390,981,1027,406,393,26,27,1025,587
400,1018,1064,396,403,25,27,1023,585
410,1055,1100,408,391,26,196,1046,585
420,1091,1137,411,388,24,80,1046,584
430,1128,1174,403,396,24,80,1043,584
440,1164,1211,406,393,27,221,1070,562
450,1201,1247,422,377,26,81,1068,560
460,1238,1284,430,369,26,80,1069,562
470,1275,1321,413,386,26,29,1069,562
480,1312,1358,412,387,71,29,1066,561
490,1348,1394,410,389,70,27,1069,562
500,1385,1432,411,388,162,29,1092,561
510,1422,1468,406,393,160,29,1091,563
520,1459,1505,419,380,25,103,1092,561
530,1496,1542,405,394,25,27,1091,562
540,1533,1580,421,378,25,26,1116,541
550,1571,1616,429,370,27,27,1137,539
560,1608,1653,419,380,26,27,1139,539
570,1644,1690,426,373,26,26,1163,540
