# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:29:14
# test: turn -4
# period_ms=10 samples=222 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=222
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,1055,783,692,945
10,0,0,-40,40,1054,784,697,924
20,0,0,-80,80,1056,783,690,920
30,0,0,-120,120,1055,777,691,922
40,-2,3,-160,160,1054,782,689,924
50,-6,7,-180,180,1056,777,695,942
60,-10,13,-180,180,1055,784,686,922
70,-16,19,-180,180,1055,798,693,920
80,-22,27,-180,180,1055,830,711,919
90,-31,36,-180,180,1054,821,717,899
100,-40,46,-180,180,1057,852,712,898
110,-50,57,-180,180,1056,868,718,852
120,-59,69,-180,180,1054,873,733,839
130,-70,81,-180,180,1031,892,812,828
140,-80,93,-180,180,1008,895,803,776
150,-91,106,-180,180,1008,937,863,773
160,-102,119,-180,180,1010,994,906,727
170,-114,132,-180,180,1009,990,907,683
180,-125,145,-180,180,962,1017,953,681
190,-136,159,-180,180,913,1035,953,613
200,-148,172,-180,180,912,1042,1000,566
210,-160,187,-180,180,862,1034,1024,565
220,-171,200,-180,180,817,1039,1021,520
230,-184,215,-180,180,816,1034,1072,518
240,-196,229,-180,180,746,1040,1089,566
250,-208,243,-180,180,746,1034,1095,683
260,-220,257,-180,180,696,1017,1112,681
270,-232,271,-180,180,699,1012,1114,753
280,-244,286,-180,180,696,1011,1133,798
290,-256,300,-180,180,840,938,1140,800
300,-268,315,-180,180,962,943,1134,852
310,-280,328,-180,180,963,845,1141,852
320,-293,343,-180,180,1031,805,1125,875
330,-306,357,-180,180,1031,800,1115,899
340,-318,371,-180,180,1105,711,1091,899
350,-331,385,-180,180,1172,708,1091,903
360,-344,399,-180,180,1170,712,1066,899
370,-357,413,0,0,1222,763,1004,902
380,-366,423,0,0,1241,757,999,878
390,-372,430,0,0,1243,831,958,877
400,-376,435,0,0,1243,900,957,857
410,-380,439,0,0,1241,896,888,830
420,-383,443,0,0,1243,924,844,831
430,-384,444,0,0,1242,922,843,832
440,-384,444,0,0,1240,945,843,803
450,-384,443,0,0,1243,946,843,801
460,-384,443,0,0,1241,946,844,804
470,-384,443,-24,24,1240,923,841,798
480,-384,443,-64,64,1241,922,842,831
490,-384,443,-104,104,1241,923,843,831
500,-386,444,-144,144,1239,922,842,830
510,-390,447,-180,180,1240,922,842,830
520,-394,451,-180,180,1239,921,842,830
530,-400,456,-180,180,1243,945,843,828
540,-406,463,-180,180,1237,943,841,800
550,-414,471,-180,180,1213,965,786,799
560,-422,480,-180,180,1216,995,785,776
570,-431,491,-180,180,1211,1014,712,729
580,-441,501,-180,180,1193,1039,623,725
590,-450,512,-180,180,1170,1039,620,704
600,-462,524,-180,180,1170,1086,554,659
610,-473,536,-180,180,1123,1109,422,657
620,-484,549,-180,180,1125,1109,423,590
630,-496,562,-180,180,1077,1133,399,590
640,-507,575,-180,180,1031,1130,398,563
650,-519,588,-180,180,1033,1157,165,543
660,-532,602,-180,180,987,1177,165,540
670,-544,615,-180,180,913,1175,166,683
680,-557,630,-180,180,915,1179,144,833
690,-570,644,-180,180,841,1177,142,829
700,-582,658,-180,180,841,1176,143,924
710,-594,672,-180,180,750,1156,33,923
720,-607,687,-180,180,676,1153,32,992
730,-620,701,-180,180,676,1130,25,1037
740,-633,715,-180,180,581,1085,305,1038
750,-646,730,-180,180,506,1086,306,1062
760,-659,744,-180,180,504,1018,399,1085
770,-672,759,-180,180,412,943,484,1085
780,-684,774,-180,180,409,945,484,1087
790,-698,788,-180,180,313,852,531,1083
800,-710,803,-180,180,217,849,529,1061
810,-723,818,-180,180,217,757,574,1060
820,-736,832,-180,180,164,642,623,1060
830,-749,847,0,0,92,642,623,1016
840,-758,857,0,0,90,512,670,992
850,-764,864,0,0,29,368,679,992
860,-770,870,0,0,28,368,739,946
870,-774,875,0,0,30,174,787,943
880,-776,879,0,0,29,174,787,923
890,-777,879,0,0,29,36,788,902
900,-776,879,0,0,30,29,788,901
910,-776,879,0,0,29,31,789,905
920,-777,878,0,0,29,30,789,899
930,-778,878,0,0,29,63,788,902
940,-778,877,0,0,29,562,786,901
950,-778,877,0,0,30,322,788,899
960,-778,877,-20,20,28,321,785,900
970,-778,877,-60,60,29,128,785,900
980,-779,878,-100,100,29,29,788,898
990,-780,879,-140,140,32,30,786,898
1000,-782,882,-180,180,25,29,787,904
1010,-786,887,-180,180,27,28,786,898
1020,-791,893,-180,180,24,29,782,900
1030,-798,901,-180,180,28,391,811,892
1040,-806,909,-180,180,24,391,807,877
1050,-816,919,-180,180,27,440,808,848
1060,-825,930,-180,180,24,82,841,853
1070,-835,941,-180,180,27,83,842,795
1080,-846,953,-180,180,23,127,887,752
1090,-857,965,-180,180,26,126,887,747
1100,-868,978,-180,180,24,28,911,707
1110,-879,991,-180,180,139,29,955,664
1120,-891,1004,-180,180,111,28,957,633
1130,-903,1018,-180,180,113,44,982,585
1140,-915,1031,-180,180,235,220,1024,586
1150,-927,1046,-180,180,382,220,1024,509
1160,-939,1059,-180,180,377,320,1024,439
1170,-951,1073,-180,180,525,321,1022,433
1180,-963,1087,-180,180,522,220,1048,369
1190,-975,1102,-180,180,649,367,1070,293
1200,-987,1116,-180,180,765,363,1068,295
1210,-1000,1130,-180,180,769,440,1071,222
1220,-1012,1144,-180,180,859,452,1068,224
1230,-1024,1158,-180,180,863,509,1070,82
1240,-1037,1172,-180,180,934,557,1071,53
1250,-1049,1187,-180,180,1007,555,1066,49
1260,-1061,1201,-180,180,1005,619,1044,66
1270,-1073,1215,-180,180,1076,690,1002,26
1280,-1085,1229,-180,180,1098,690,1000,26
1290,-1098,1243,-180,180,1103,783,957,25
1300,-1110,1257,-180,180,1143,782,954,27
1310,-1122,1271,-180,180,1146,804,885,25
1320,-1135,1286,0,0,1150,854,740,29
1330,-1146,1298,0,0,1150,852,740,29
1340,-1152,1305,0,0,1148,923,694,29
1350,-1156,1311,0,0,1126,970,716,28
1360,-1160,1315,0,0,1127,970,719,28
1370,-1163,1319,0,0,1124,996,741,180
1380,-1166,1322,0,0,1104,996,739,123
1390,-1166,1324,0,0,1103,1019,761,29
1400,-1166,1326,0,0,1102,1018,786,111
1410,-1166,1325,0,0,1104,1019,786,113
1420,-1166,1325,0,0,1103,1020,764,36
1430,-1166,1325,-8,8,1103,1018,762,42
1440,-1166,1325,-48,48,1100,1015,762,43
1450,-1166,1325,-88,88,1100,1017,763,25
1460,-1166,1326,-128,128,1097,1016,761,28
1470,-1167,1327,-168,168,1102,1017,760,27
1480,-1170,1330,-180,180,1099,1018,761,42
1490,-1174,1336,-180,180,1104,1017,760,43
1500,-1178,1343,-180,180,1103,1019,761,28
1510,-1184,1350,-180,180,1102,1016,786,179
1520,-1192,1359,-180,180,1081,1041,786,179
1530,-1200,1367,-180,180,1080,1066,809,227
1540,-1209,1378,-180,180,1055,1064,808,227
1550,-1218,1389,-180,180,1054,1087,864,274
1560,-1228,1400,-180,180,1010,1087,910,417
1570,-1238,1412,-180,180,965,1087,910,416
1580,-1250,1425,-180,180,964,1110,938,522
1590,-1260,1438,-180,180,914,1109,957,637
1600,-1272,1451,-180,180,862,1127,955,634
1610,-1283,1464,-180,180,864,1133,981,730
1620,-1295,1479,-180,180,769,1132,977,728
1630,-1307,1492,-180,180,767,1132,1000,829
1640,-1319,1507,-180,180,698,1109,1003,899
1650,-1331,1520,-180,180,674,1108,1001,898
1660,-1343,1535,-180,180,673,1065,1001,943
1670,-1356,1550,-180,180,723,1064,1003,992
1680,-1368,1564,-180,180,838,1017,999,989
1690,-1381,1579,-180,180,839,946,980,1015
1700,-1394,1593,-180,180,911,943,978,1012
1710,-1406,1608,-180,180,909,851,955,1011
1720,-1418,1623,-180,180,962,714,934,1013
1730,-1431,1638,-180,180,1009,713,932,1013
1740,-1444,1653,-180,180,1007,690,889,991
1750,-1456,1667,-180,180,1032,691,886,990
1760,-1469,1683,-180,180,1039,737,786,990
1770,-1482,1697,-180,180,1053,807,692,945
1780,-1494,1712,-180,180,1057,807,694,945
1790,-1507,1727,-180,180,1052,855,717,921
1800,-1520,1741,0,0,1054,851,764,854
1810,-1529,1752,0,0,1035,901,764,855
1820,-1535,1759,0,0,1031,946,843,802
1830,-1540,1765,0,0,1011,945,841,753
1840,-1544,1770,0,0,1010,968,888,753
1850,-1547,1773,0,0,986,969,889,707
1860,-1548,1775,0,0,963,967,887,706
1870,-1549,1775,0,0,965,996,911,706
1880,-1549,1774,0,0,965,996,911,708
1890,-1550,1774,0,0,963,993,909,705
1900,-1549,1774,0,0,964,998,912,707
1910,-1549,1774,0,0,964,996,911,709
1920,-1549,1774,0,0,962,997,911,709
1930,-1549,1774,0,0,964,996,913,707
1940,-1549,1774,0,0,963,997,908,707
1950,-1549,1774,0,0,963,999,912,709
1960,-1549,1774,0,0,962,996,909,707
1970,-1549,1774,0,0,965,970,910,709
1980,-1549,1774,0,0,964,997,913,710
1990,-1549,1774,0,0,963,993,909,708
2000,-1549,1774,0,0,963,999,911,709
2010,-1549,1774,0,0,962,995,886,707
2020,-1549,1774,0,0,963,994,890,707
2030,-1549,1774,0,0,964,997,913,706
2040,-1549,1774,0,0,963,992,910,707
2050,-1549,1774,0,0,964,997,909,706
2060,-1549,1774,0,0,961,995,910,706
2070,-1549,1774,0,0,963,997,909,706
2080,-1549,1774,0,0,963,995,908,707
2090,-1549,1774,0,0,959,994,910,706
2100,-1549,1774,0,0,965,998,911,706
2110,-1549,1774,0,0,962,994,912,705
2120,-1549,1774,0,0,964,997,910,706
2130,-1549,1774,0,0,962,994,909,706
2140,-1549,1774,0,0,962,996,912,707
2150,-1549,1774,0,0,962,994,906,707
2160,-1549,1774,0,0,961,997,909,705
2170,-1549,1774,0,0,963,996,911,707
2180,-1549,1774,0,0,963,991,907,707
2190,-1549,1774,0,0,962,999,909,703
2200,-1549,1774,0,0,966,994,912,707
2210,-1549,1774,0,0,962,994,911,703
