# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:29:53
# test: turn 4
# period_ms=10 samples=212 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=362 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=212
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,961,991,909,706
10,0,0,40,-40,970,994,909,704
20,0,-1,80,-80,961,995,907,705
30,1,-2,120,-120,958,997,911,702
40,3,-4,160,-160,961,969,910,704
50,6,-8,180,-180,960,969,907,700
60,11,-14,180,-180,963,992,888,728
70,17,-21,180,-180,984,969,887,726
80,25,-29,180,-180,987,969,890,753
90,33,-39,180,-180,1007,968,842,773
100,42,-49,180,-180,1010,946,843,774
110,51,-59,180,-180,1032,945,811,829
120,62,-71,180,-180,1031,899,808,829
130,72,-83,180,-180,1031,895,743,853
140,83,-95,180,-180,1057,874,693,899
150,95,-107,180,-180,1055,829,695,899
160,106,-120,180,-180,1053,829,693,921
170,118,-133,180,-180,1054,783,740,967
180,130,-146,180,-180,1055,756,738,967
190,142,-159,180,-180,1054,712,843,989
200,155,-173,180,-180,1009,691,841,990
210,167,-186,180,-180,1008,690,911,1013
220,179,-199,180,-180,990,738,936,1015
230,191,-213,180,-180,950,876,931,1013
240,205,-226,180,-180,939,876,979,1013
250,218,-239,180,-180,864,946,988,1013
260,231,-253,180,-180,861,941,1000,1011
270,243,-267,180,-180,766,1015,1002,988
