# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:31:07
# test: noise 1000
# period_ms=10 samples=100 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=356 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=100
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,890,997,933,659
10,0,0,0,0,888,999,934,660
20,0,0,0,0,889,997,935,660
30,0,0,0,0,886,1020,932,658
40,0,0,0,0,888,1020,935,660
50,0,0,0,0,888,997,932,658
60,0,0,0,0,886,994,929,658
70,0,0,0,0,887,996,933,657
80,0,0,0,0,888,995,931,659
90,0,0,0,0,886,994,930,655
100,0,0,0,0,888,995,934,660
110,0,0,0,0,886,969,932,661
120,0,0,0,0,885,964,933,659
130,0,0,0,0,890,1018,934,661
140,0,0,0,0,886,1017,934,657
150,0,0,0,0,890,995,935,658
160,0,0,0,0,888,997,934,660
170,0,0,0,0,888,996,936,658
180,0,0,0,0,890,999,933,661
190,0,0,0,0,879,996,933,661
200,0,0,0,0,889,994,933,658
210,0,0,0,0,889,997,933,659
220,0,0,0,0,890,994,933,657
230,0,0,0,0,888,967,935,658
240,0,0,0,0,887,997,933,660
250,0,0,0,0,888,993,933,658
260,0,0,0,0,887,1019,934,660
270,0,0,0,0,888,1012,932,661
280,0,0,0,0,890,996,936,660
290,0,0,0,0,888,993,930,659
300,0,0,0,0,888,995,932,658
310,0,0,0,0,889,996,936,659
320,0,0,0,0,887,994,931,661
330,0,0,0,0,887,997,935,661
340,0,0,0,0,890,968,934,663
350,0,0,0,0,888,971,934,659
360,0,0,0,0,890,995,934,661
370,0,0,0,0,889,1019,933,660
380,0,0,0,0,887,1019,934,658
390,0,0,0,0,913,1018,933,662
400,0,0,0,0,911,998,935,661
410,0,0,0,0,889,993,933,660
420,0,0,0,0,889,996,935,661
430,0,0,0,0,886,994,932,660
440,0,0,0,0,888,996,935,658
450,0,0,0,0,887,997,934,658
460,0,0,0,0,886,995,932,660
470,0,0,0,0,889,997,936,660
480,0,0,0,0,888,994,932,659
490,0,0,0,0,888,996,935,658
500,0,0,0,0,889,995,933,661
510,0,0,0,0,885,994,931,658
520,0,0,0,0,913,1018,934,659
530,0,0,0,0,887,996,931,660
540,0,0,0,0,883,993,932,659
550,0,0,0,0,889,997,934,659
560,0,0,0,0,887,997,935,659
570,0,0,0,0,892,994,934,659
580,0,0,0,0,888,996,932,658
590,0,0,0,0,891,997,934,661
600,0,0,0,0,891,997,934,660
610,0,0,0,0,888,997,936,661
620,0,0,0,0,891,997,914,661
630,0,0,0,0,887,997,911,656
640,0,0,0,0,888,995,909,659
650,0,0,0,0,887,995,910,657
660,0,0,0,0,888,995,909,658
670,0,0,0,0,886,994,931,660
680,0,0,0,0,886,994,934,658
690,0,0,0,0,889,996,932,659
700,0,0,0,0,886,994,933,658
710,0,0,0,0,889,994,933,658
720,0,0,0,0,885,994,931,659
730,0,0,0,0,888,995,934,656
740,0,0,0,0,887,995,930,658
750,0,0,0,0,885,993,932,659
760,0,0,0,0,891,996,934,660
770,0,0,0,0,887,998,931,660
780,0,0,0,0,888,994,933,659
790,0,0,0,0,912,997,933,657
800,0,0,0,0,912,996,934,659
810,0,0,0,0,887,996,934,659
820,0,0,0,0,912,996,937,660
830,0,0,0,0,913,994,934,660
840,0,0,0,0,912,996,935,658
850,0,0,0,0,914,995,934,660
860,0,0,0,0,889,997,934,659
870,0,0,0,0,887,997,934,660
880,0,0,0,0,889,996,934,660
890,0,0,0,0,890,999,937,661
900,0,0,0,0,890,997,932,661
910,0,0,0,0,889,998,935,660
920,0,0,0,0,890,997,933,661
930,0,0,0,0,887,995,931,660
940,0,0,0,0,887,995,933,658
950,0,0,0,0,889,1019,933,661
960,0,0,0,0,885,1017,931,660
970,0,0,0,0,887,993,933,660
980,0,0,0,0,889,997,933,658
990,0,0,0,0,887,992,932,659
