# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:33:32
# test: straight 3 500
# period_ms=10 samples=176 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=357 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=176
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,31,28,691,1155
10,0,0,40,40,37,27,692,1151
20,0,1,80,80,37,28,693,1131
30,0,2,120,120,27,126,693,1154
40,2,5,160,160,28,28,716,1152
50,6,9,200,200,27,29,720,1157
60,13,14,240,240,114,27,717,1153
70,22,23,280,280,114,37,716,1152
80,32,33,320,320,28,34,724,1152
90,45,47,360,360,28,57,715,1154
100,62,63,400,400,28,50,712,1151
110,81,83,440,440,28,62,711,1152
120,104,106,451,480,27,23,713,1151
130,130,132,451,520,28,25,713,1128
140,159,161,451,548,27,51,713,1129
150,188,194,451,548,27,51,715,1130
160,218,230,451,548,27,41,712,1129
170,248,268,451,548,27,52,736,1128
180,280,308,451,548,27,51,736,1103
190,313,349,451,548,28,54,735,1104
200,348,391,454,545,28,53,759,1100
210,382,434,474,525,36,64,759,1057
220,418,478,474,525,28,54,760,1012
230,454,523,453,546,28,52,781,1010
240,492,568,473,526,27,42,784,969
250,530,614,473,526,30,26,785,951
260,568,660,456,543,30,26,784,920
270,607,707,458,541,60,26,784,876
280,646,755,478,521,59,26,809,873
290,686,803,518,481,28,27,808,829
300,728,849,518,481,74,53,843,753
310,770,896,518,481,73,53,864,752
320,812,943,558,441,92,27,863,707
330,857,988,558,441,125,34,886,682
340,902,1031,549,450,140,33,910,682
350,948,1075,529,470,164,149,907,634
360,992,1121,529,470,166,146,932,634
370,1037,1167,529,470,163,99,930,635
380,1083,1212,502,497,164,42,954,612
390,1128,1257,522,477,165,43,965,612
400,1173,1302,562,437,193,34,953,587
410,1219,1347,560,440,193,35,973,566
420,1263,1392,560,440,219,33,981,563
430,1308,1437,560,440,74,28,994,543
440,1354,1482,560,440,74,31,1047,541
450,1400,1527,560,440,288,42,1041,545
460,1445,1573,534,465,313,123,1069,517
470,1490,1619,554,445,310,125,1088,518
480,1536,1664,580,420,385,25,1088,495
490,1581,1708,560,440,384,28,1110,475
500,1627,1753,560,440,457,77,1113,471
510,1674,1796,560,440,363,172,1158,473
520,1720,1840,550,449,356,167,1183,468
530,1768,1883,570,429,288,195,1182,448
540,1816,1926,560,440,291,25,1228,441
550,1863,1968,552,447,290,28,1248,441
560,1911,2011,572,427,339,26,1249,441
570,1959,2053,554,445,336,27,1291,439
580,2008,2096,554,445,387,100,1296,440
590,2056,2139,539,460,363,54,1313,441
600,2104,2181,549,450,360,51,1364,438
610,2152,2224,543,456,312,67,1359,440
620,2200,2267,544,455,92,41,1362,443
630,2248,2310,544,455,92,43,1362,441
640,2297,2352,551,448,243,50,1360,439
650,2345,2395,542,457,239,53,1360,440
660,2393,2437,545,454,166,62,1363,440
670,2441,2480,540,459,59,81,1381,440
680,2490,2523,551,448,59,78,1388,439
690,2538,2566,544,455,60,127,1381,444
700,2586,2609,544,455,72,41,1388,442
710,2634,2652,544,455,73,44,1380,440
720,2682,2695,526,473,72,145,1387,447
730,2730,2738,528,471,71,148,1384,448
740,2778,2781,548,451,71,99,1384,445
750,2826,2824,540,459,113,103,1359,446
760,2873,2867,553,446,114,98,1364,451
770,2921,2911,546,453,91,128,1357,447
780,2969,2954,546,453,60,122,1341,470
790,3018,2997,546,453,57,124,1333,471
800,3066,3040,539,460,58,98,1339,470
810,3114,3083,533,466,56,99,1312,469
820,3163,3127,547,452,35,63,1315,467
830,3211,3170,527,472,71,104,1266,494
840,3258,3213,527,472,71,99,1252,493
850,3306,3257,527,472,114,149,1243,491
860,3354,3300,528,471,138,149,1229,494
870,3401,3344,526,473,137,174,1230,494
880,3448,3389,506,493,129,250,1228,517
890,3494,3434,506,493,136,248,1187,517
900,3539,3480,521,478,162,251,1183,517
910,3584,3526,501,498,204,273,1161,540
920,3630,3571,501,498,161,271,1186,541
930,3676,3617,522,477,192,273,1187,539
940,3722,3663,515,484,189,271,1162,540
950,3768,3709,517,482,190,296,1161,541
960,3814,3755,497,502,216,321,1141,563
970,3860,3801,497,502,214,320,1118,565
980,3905,3846,503,496,237,366,1117,562
990,3951,3892,507,480,263,367,1093,563
1000,3996,3937,492,449,263,366,1094,563
1010,4042,3983,461,437,264,391,1092,565
1020,4086,4027,437,414,264,391,1094,566
1030,4129,4070,419,390,311,420,1093,567
1040,4171,4112,400,367,360,439,1092,565
1050,4212,4153,378,347,358,437,1071,566
1060,4252,4192,352,333,384,462,1069,566
1070,4290,4231,322,343,407,460,1069,588
1080,4327,4268,315,343,406,509,1046,588
1090,4363,4304,296,303,432,533,1043,588
1100,4396,4338,293,263,433,531,1046,588
1110,4429,4370,265,256,480,555,1046,588
1120,4460,4401,225,268,503,557,1025,612
1130,4489,4431,225,268,502,556,1025,611
1140,4517,4458,215,228,554,604,1026,615
1150,4543,4484,197,196,557,604,1003,611
1160,4568,4508,189,180,559,621,1027,612
1170,4590,4531,177,168,604,643,1026,613
1180,4612,4552,170,153,603,643,1026,613
1190,4631,4572,149,154,628,665,1024,612
1200,4650,4591,158,141,675,688,1002,614
1210,4667,4607,151,148,674,687,1002,614
1220,4683,4624,155,144,701,712,1001,612
1230,4698,4639,135,164,723,710,1002,635
1240,4712,4654,135,164,723,734,1002,636
1250,4727,4667,147,152,747,759,1002,635
1260,4740,4681,146,153,748,757,1003,637
1270,4754,4695,148,151,770,781,1001,633
1280,4767,4708,145,154,818,780,998,634
1290,4780,4721,163,136,817,782,979,634
1300,4792,4733,146,153,840,803,973,632
1310,4804,4746,143,156,865,805,980,635
1320,4817,4759,160,139,866,828,980,637
1330,4830,4771,140,159,888,850,978,633
1340,4841,4783,154,145,888,849,978,636
1350,4853,4794,154,145,912,876,977,634
1360,4864,4806,141,158,939,874,979,633
1370,4876,4818,155,144,939,873,978,635
1380,4888,4829,0,0,987,899,980,636
1390,4896,4838,0,0,995,897,979,660
1400,4902,4843,0,0,1008,920,978,634
1410,4907,4847,0,0,1036,945,957,636
1420,4910,4851,0,0,1031,943,957,636
1430,4912,4854,0,0,1055,968,956,635
1440,4914,4855,0,0,1056,970,956,661
1450,4914,4855,0,0,1059,971,959,638
1460,4914,4855,0,0,1057,968,955,635
1470,4914,4855,0,0,1055,967,956,638
1480,4914,4855,0,0,1054,970,957,638
1490,4914,4855,0,0,1057,967,955,636
1500,4914,4854,0,0,1055,966,957,637
1510,4914,4854,0,0,1057,970,954,634
1520,4914,4854,0,0,1053,965,954,658
1530,4914,4854,0,0,1056,967,957,659
1540,4914,4854,0,0,1056,968,955,658
1550,4914,4854,0,0,1056,966,957,661
1560,4914,4854,0,0,1057,968,956,661
1570,4914,4854,0,0,1057,970,954,660
1580,4914,4854,0,0,1053,969,958,661
1590,4914,4854,0,0,1057,967,957,659
1600,4914,4854,0,0,1060,973,960,661
1610,4914,4854,0,0,1056,969,956,636
1620,4914,4854,0,0,1059,972,959,636
1630,4914,4854,0,0,1056,969,957,661
1640,4914,4854,0,0,1055,969,953,638
1650,4914,4854,0,0,1055,969,979,638
1660,4914,4854,0,0,1055,968,956,661
1670,4914,4854,0,0,1055,970,955,658
1680,4914,4854,0,0,1055,965,956,659
1690,4914,4854,0,0,1052,968,955,659
1700,4914,4854,0,0,1057,969,956,660
1710,4914,4854,0,0,1056,969,955,661
1720,4914,4854,0,0,1052,944,954,636
1730,4914,4854,0,0,1057,942,954,637
1740,4914,4854,0,0,1057,973,957,659
1750,4914,4854,0,0,1055,968,953,657
