# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 20:10:24
# test: step 40 400
# period_ms=3 samples=234 capacity=320 result=OK build="Sep 24 2026 20:08:15"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=400 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=5
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=1.00 ki=4.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=234
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,40,40,29,25,902,703,0,0
3,0,0,40,40,30,26,903,728,0,0
6,0,0,40,40,27,28,901,729,0,0
9,0,0,40,40,26,29,901,727,0,0
12,0,0,40,40,26,30,904,728,0,0
15,0,0,40,40,28,30,903,727,0,0
18,0,0,40,40,29,28,901,728,0,0
21,0,0,40,40,28,29,900,707,0,0
24,0,0,40,40,27,29,904,704,0,0
27,0,0,40,40,27,30,906,704,0,0
30,0,0,40,40,29,31,902,703,0,0
33,0,0,40,40,28,28,903,708,0,0
36,0,0,40,40,28,26,902,706,0,0
39,0,0,40,40,75,26,903,707,0,0
42,0,0,40,40,72,30,903,705,0,0
45,0,0,40,40,72,30,905,706,0,0
48,0,0,40,40,76,29,902,704,0,0
51,0,0,40,40,74,52,901,708,0,0
54,0,0,40,40,27,55,905,703,0,0
57,0,0,40,40,27,55,904,703,0,0
60,0,0,40,40,28,56,905,704,0,0
63,0,0,40,40,29,53,904,707,0,0
66,0,0,40,40,27,56,904,703,0,0
69,0,0,40,40,27,27,902,706,0,0
72,0,0,40,40,29,25,901,706,0,0
75,0,0,40,40,25,29,901,704,0,0
78,0,0,40,40,25,31,903,706,0,0
81,0,0,40,40,29,28,899,703,0,0
84,0,0,40,40,29,29,899,706,0,0
87,0,0,40,40,27,28,903,704,0,0
90,0,0,40,40,27,29,904,703,0,0
93,0,0,40,40,27,29,904,703,0,0
96,0,0,40,40,27,27,900,706,0,0
99,0,0,40,40,28,26,902,706,0,0
102,0,0,40,40,29,26,902,706,0,0
105,0,0,40,40,26,29,902,704,0,0
108,0,0,40,40,25,29,901,706,0,0
111,0,0,40,40,29,28,899,704,0,0
114,0,0,40,40,29,29,899,706,0,0
117,0,0,40,40,27,28,904,703,0,0
120,0,0,40,40,27,28,902,703,0,0
123,0,0,40,40,27,29,903,703,0,0
126,0,0,40,40,29,26,901,704,0,0
129,0,0,40,40,27,30,901,702,0,0
132,0,0,40,40,27,27,902,729,0,0
135,0,0,40,40,28,26,900,729,0,0
138,0,0,40,40,25,30,899,726,0,0
141,0,0,40,40,25,31,898,723,0,0
144,0,0,40,40,28,28,900,726,0,0
147,0,0,40,40,28,28,900,707,0,0
150,0,0,40,40,27,55,904,704,0,0
153,0,0,40,40,27,55,901,702,0,0
156,0,0,40,40,27,58,899,700,0,0
159,0,0,40,40,27,54,900,705,0,0
162,0,0,40,40,28,53,901,706,0,0
165,0,0,40,40,28,65,901,705,0,0
168,0,0,40,40,25,69,901,704,0,0
171,0,0,40,40,25,69,901,701,0,0
174,0,0,40,40,29,68,898,700,0,0
177,0,0,40,40,28,68,899,706,0,0
180,0,0,40,40,27,68,903,702,0,0
183,0,0,40,40,27,68,904,705,0,0
186,0,0,40,40,27,68,902,701,0,0
189,0,0,40,40,28,66,902,701,0,0
192,0,0,40,40,28,70,902,701,0,0
195,0,0,40,40,28,66,901,729,0,0
198,0,0,40,40,28,53,902,729,0,0
201,0,0,40,40,25,56,900,725,0,0
204,0,0,40,40,25,58,901,724,0,0
207,0,0,40,40,29,54,897,724,0,0
210,0,0,40,40,29,55,900,714,0,0
213,0,0,40,40,27,29,904,704,0,0
216,0,0,40,40,27,29,905,703,0,0
219,0,0,40,40,27,31,902,702,0,0
222,0,0,40,40,28,27,901,704,0,0
225,0,0,40,40,29,27,902,706,0,0
228,0,0,40,40,29,26,903,707,0,0
231,0,0,40,40,36,29,904,705,0,0
234,0,0,40,40,35,29,905,703,0,0
237,0,0,40,40,39,28,901,704,0,0
240,0,0,40,40,39,29,898,704,0,0
243,0,0,40,40,37,28,904,704,0,0
246,0,0,40,40,27,28,904,703,0,0
249,0,0,40,40,27,29,907,701,0,0
252,0,0,40,40,28,27,903,704,0,0
255,0,0,40,40,28,29,902,701,0,0
258,0,0,40,40,28,27,902,706,0,0
261,0,0,40,40,29,79,901,706,0,0
264,0,0,40,40,26,83,901,704,0,0
267,0,0,40,40,25,84,902,703,0,0
270,0,0,40,40,29,81,898,702,0,0
273,0,0,40,40,30,80,898,705,0,0
276,0,0,40,40,28,81,904,704,0,0
279,0,0,40,40,27,28,904,704,0,0
282,0,0,40,40,28,30,902,702,0,0
285,0,0,40,40,29,27,899,706,0,0
288,0,0,40,40,30,27,903,705,0,0
291,0,0,40,40,29,27,902,706,0,0
294,0,0,40,40,36,30,902,704,0,0
297,0,0,40,40,35,29,903,705,0,0
300,0,0,40,40,39,29,899,703,0,0
303,0,0,40,40,40,29,899,707,0,0
306,0,0,40,40,37,29,904,725,0,0
309,0,0,40,40,37,29,903,726,0,0
312,0,0,40,40,114,30,904,728,0,0
315,0,0,40,40,116,27,900,728,0,0
318,0,0,40,40,115,31,904,727,0,0
321,0,0,40,40,114,28,903,730,0,0
324,0,0,40,40,116,27,903,708,0,0
327,0,0,40,40,25,29,903,705,0,0
330,0,0,40,40,25,30,902,703,0,0
333,0,0,40,40,29,29,901,705,0,0
336,0,0,40,40,29,29,901,705,0,0
339,0,0,40,40,27,28,905,705,0,0
342,0,0,40,40,27,28,904,704,0,0
345,0,0,40,40,27,29,900,701,0,0
348,0,0,40,40,27,26,899,705,0,0
351,0,0,40,40,28,26,897,703,0,0
354,0,0,40,40,28,26,900,729,0,0
357,0,0,40,40,25,29,902,728,0,0
360,0,0,40,40,25,29,902,728,0,0
363,0,0,40,40,28,28,898,727,0,0
366,0,0,40,40,29,28,897,726,0,0
369,0,0,40,40,33,28,903,726,0,0
372,0,0,40,40,27,36,903,726,0,0
375,0,0,40,40,27,29,904,736,0,0
378,0,0,40,40,28,27,911,727,0,0
381,0,0,40,40,34,29,901,724,0,0
384,0,0,40,40,27,35,900,728,0,0
387,0,0,40,40,28,26,903,715,0,0
390,0,0,40,40,26,30,910,704,0,0
393,0,0,40,40,32,31,904,704,0,0
396,0,0,40,40,28,37,900,704,0,0
399,0,0,40,40,28,28,898,714,0,0
402,0,0,0,0,27,29,902,701,0,0
405,0,0,0,0,27,27,900,707,0,0
408,0,0,0,0,29,435,902,707,0,0
411,0,0,0,0,26,440,902,703,0,0
414,0,0,0,0,25,438,902,704,0,0
417,0,0,0,0,29,434,899,704,0,0
420,0,0,0,0,28,435,899,728,0,0
423,0,0,0,0,28,35,904,726,0,0
426,0,0,0,0,27,36,905,726,0,0
429,0,0,0,0,28,37,903,725,0,0
432,0,0,0,0,27,34,900,731,0,0
435,0,0,0,0,28,33,903,705,0,0
438,0,0,0,0,28,26,902,708,0,0
441,0,0,0,0,26,29,903,706,0,0
444,0,0,0,0,25,29,904,705,0,0
447,0,0,0,0,29,29,901,704,0,0
450,0,0,0,0,29,29,900,729,0,0
453,0,0,0,0,27,28,904,726,0,0
456,0,0,0,0,27,28,905,726,0,0
459,0,0,0,0,27,30,905,726,0,0
462,0,0,0,0,28,27,903,729,0,0
465,0,0,0,0,27,30,902,725,0,0
468,0,0,0,0,27,28,901,707,0,0
471,0,0,0,0,29,26,902,706,0,0
474,0,0,0,0,25,29,902,703,0,0
477,0,0,0,0,25,31,904,705,0,0
480,0,0,0,0,29,28,899,704,0,0
483,0,0,0,0,29,29,901,706,0,0
486,0,0,0,0,27,33,904,703,0,0
489,0,0,0,0,27,35,903,706,0,0
492,0,0,0,0,27,36,903,704,0,0
495,0,0,0,0,28,33,901,707,0,0
498,0,0,0,0,29,32,901,705,0,0
501,0,0,0,0,29,32,901,705,0,0
504,0,0,0,0,26,30,903,706,0,0
507,0,0,0,0,25,29,903,706,0,0
510,0,0,0,0,29,28,901,705,0,0
513,0,0,0,0,29,28,899,707,0,0
516,0,0,0,0,28,28,904,703,0,0
519,0,0,0,0,27,68,905,703,0,0
522,0,0,0,0,27,69,905,704,0,0
525,0,0,0,0,29,66,903,706,0,0
528,0,0,0,0,29,68,901,702,0,0
531,0,0,0,0,28,65,901,729,0,0
534,0,0,0,0,28,59,901,730,0,0
537,0,0,0,0,26,29,902,728,0,0
540,0,0,0,0,25,31,902,727,0,0
543,0,0,0,0,29,27,899,727,0,0
546,0,0,0,0,29,28,899,706,0,0
549,0,0,0,0,28,28,902,703,0,0
552,0,0,0,0,27,28,905,705,0,0
555,0,0,0,0,27,29,902,704,0,0
558,0,0,0,0,29,27,899,708,0,0
561,0,0,0,0,29,27,900,704,0,0
564,0,0,0,0,30,27,901,705,0,0
567,0,0,0,0,26,30,903,706,0,0
570,0,0,0,0,25,29,901,704,0,0
573,0,0,0,0,28,28,900,705,0,0
576,0,0,0,0,29,29,898,705,0,0
579,0,0,0,0,28,29,905,726,0,0
582,0,0,0,0,27,29,906,726,0,0
585,0,0,0,0,164,31,905,728,0,0
588,0,0,0,0,166,28,902,729,0,0
591,0,0,0,0,165,31,905,726,0,0
594,0,0,0,0,164,29,902,730,0,0
597,0,0,0,0,164,28,904,730,0,0
600,0,0,0,0,26,46,902,728,0,0
603,0,0,0,0,26,46,903,728,0,0
606,0,0,0,0,30,44,901,730,0,0
609,0,0,0,0,29,45,899,730,0,0
612,0,0,0,0,27,44,907,728,0,0
615,0,0,0,0,27,63,904,726,0,0
618,0,0,0,0,27,69,904,726,0,0
621,0,0,0,0,27,67,902,729,0,0
624,0,0,0,0,29,65,905,729,0,0
627,0,0,0,0,29,65,902,706,0,0
630,0,0,0,0,26,68,901,705,0,0
633,0,0,0,0,25,29,904,706,0,0
636,0,0,0,0,29,28,902,704,0,0
639,0,0,0,0,28,28,899,707,0,0
642,0,0,0,0,27,28,904,702,0,0
645,0,0,0,0,27,29,904,702,0,0
648,0,0,0,0,27,29,905,704,0,0
651,0,0,0,0,28,27,904,706,0,0
654,0,0,0,0,27,29,905,703,0,0
657,0,0,0,0,27,26,900,706,0,0
660,0,0,0,0,28,26,924,707,0,0
663,0,0,0,0,28,30,925,704,0,0
666,0,0,0,0,36,31,927,705,0,0
669,0,0,0,0,38,28,923,706,0,0
672,0,0,0,0,38,28,923,705,0,0
675,0,0,0,0,36,28,904,704,0,0
678,0,0,0,0,37,28,904,704,0,0
681,0,0,0,0,38,30,903,703,0,0
684,0,0,0,0,37,26,901,707,0,0
687,0,0,0,0,39,26,900,704,0,0
690,0,0,0,0,38,26,900,705,0,0
693,0,0,0,0,35,29,902,704,0,0
696,0,0,0,0,45,322,902,706,0,0
699,0,0,0,0,49,321,900,703,0,0
