# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 20:28:19
# test: straight 3 400
# period_ms=8 samples=243 capacity=320 result=OK build="Sep 24 2026 20:25:15"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=400 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=1.00 ki=8.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=243
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,176,177,29,30,912,704,0,0
8,2,2,175,218,30,28,914,732,1,-8
16,4,6,246,213,164,27,913,729,4,-19
24,9,11,232,267,168,30,914,708,9,-39
32,16,17,242,323,28,31,914,705,16,-64
40,24,25,280,353,29,30,912,731,25,-95
48,36,36,248,364,27,82,912,728,36,-139
56,46,48,318,416,26,83,914,733,49,-182
64,59,61,297,458,25,29,913,731,63,-232
72,72,78,336,487,25,30,913,728,80,-290
80,86,98,375,489,27,29,912,725,98,-356
88,100,119,424,517,28,29,911,703,119,-423
96,117,143,410,547,23,30,934,702,141,-503
104,135,170,452,568,23,29,933,702,165,-590
112,154,198,470,595,33,83,936,703,192,-681
120,176,228,546,532,23,82,933,702,220,-686
128,200,259,614,554,22,370,935,702,250,-658
136,226,291,509,313,26,366,932,681,281,-571
144,254,320,533,342,26,57,959,679,313,-461
152,282,348,543,341,26,57,957,681,345,-368
160,311,376,490,373,25,30,956,682,377,-349
168,340,403,514,407,27,30,957,682,409,-341
176,370,431,512,409,27,28,981,682,441,-341
184,400,459,507,389,28,31,980,683,473,-346
192,431,488,469,393,26,30,1006,682,505,-360
200,462,516,459,398,26,30,1004,681,537,-377
208,492,546,426,372,27,153,1004,682,569,-394
216,522,574,517,306,27,150,1005,660,601,-350
224,554,601,507,311,26,82,981,657,633,-258
232,586,628,443,395,29,82,980,657,665,-227
240,618,655,419,415,27,152,958,658,697,-248
248,648,683,380,452,26,150,958,682,729,-318
256,679,711,345,483,26,45,959,683,761,-432
264,708,742,367,427,27,44,956,682,793,-531
272,738,771,384,430,26,30,936,682,825,-561
280,768,801,319,436,27,29,932,680,857,-593
288,797,830,365,439,59,29,935,684,889,-618
296,826,859,302,502,59,31,935,706,921,-689
304,855,890,246,499,115,30,936,705,953,-800
312,883,921,308,432,116,30,935,706,985,-800
320,910,952,338,452,26,35,934,705,1017,-800
328,936,983,373,446,27,36,933,706,1049,-800
336,963,1015,379,410,28,29,936,707,1081,-800
344,989,1046,424,369,28,29,933,684,1113,-774
352,1016,1077,487,331,26,29,958,681,1145,-663
360,1045,1106,462,331,27,29,957,657,1177,-550
368,1075,1134,482,311,30,29,980,659,1209,-438
376,1104,1161,472,354,29,29,981,658,1241,-373
384,1133,1189,465,365,26,29,958,657,1273,-370
392,1162,1217,464,370,27,29,957,660,1305,-372
400,1191,1246,437,346,27,29,981,657,1337,-378
408,1220,1275,435,373,26,29,979,658,1369,-388
416,1248,1304,461,376,29,83,982,657,1401,-404
424,1277,1332,468,373,29,82,979,657,1433,-413
432,1306,1361,476,340,27,29,981,657,1465,-414
440,1335,1390,448,343,27,31,982,659,1497,-421
448,1364,1419,445,345,29,28,982,658,1529,-428
456,1392,1448,476,368,26,30,983,659,1561,-435
464,1422,1477,451,339,27,57,979,656,1593,-441
472,1451,1506,521,268,26,57,980,635,1625,-383
480,1480,1534,544,274,27,30,981,632,1657,-282
488,1511,1561,493,349,26,30,981,636,1689,-239
496,1542,1587,465,357,37,37,980,632,1721,-237
504,1573,1614,446,351,36,35,979,635,1753,-250
512,1604,1641,441,355,30,30,980,630,1785,-261
520,1635,1669,456,360,30,31,979,633,1817,-271
528,1666,1696,438,378,26,37,965,632,1849,-284
536,1697,1724,362,449,29,36,955,658,1881,-363
544,1727,1754,328,425,91,82,957,655,1913,-479
552,1755,1784,309,468,90,82,955,682,1945,-591
560,1782,1814,317,464,105,129,957,681,1977,-701
568,1810,1844,314,491,59,128,957,683,2009,-800
576,1836,1875,396,438,74,56,957,680,2041,-800
584,1864,1906,371,409,75,57,956,681,2073,-800
592,1891,1937,376,428,39,30,956,678,2105,-800
600,1918,1968,455,349,40,31,957,659,2137,-728
608,1947,1998,458,316,29,29,957,655,2169,-614
616,1976,2027,405,394,31,30,983,660,2201,-575
624,2004,2056,431,397,28,30,980,654,2233,-572
632,2032,2085,437,370,30,30,1006,658,2265,-570
640,2061,2114,436,371,27,30,1004,658,2297,-570
648,2090,2142,509,302,30,28,1028,636,2329,-503
656,2120,2170,484,301,30,28,1029,633,2361,-390
664,2150,2198,425,359,29,29,1029,635,2393,-351
672,2180,2225,438,376,30,35,1026,633,2425,-360
680,2210,2253,462,376,29,82,1004,635,2457,-365
688,2240,2281,434,354,29,83,1002,632,2489,-370
696,2270,2309,378,435,29,105,980,657,2521,-449
704,2298,2338,360,457,29,106,979,657,2553,-559
712,2326,2369,382,430,30,45,978,656,2585,-641
720,2353,2398,432,438,29,45,978,656,2617,-653
728,2382,2428,405,411,28,57,979,657,2649,-665
736,2412,2457,347,415,75,56,981,657,2681,-674
744,2440,2486,399,416,74,59,981,656,2713,-679
752,2470,2515,390,445,61,57,981,656,2745,-685
760,2500,2544,356,450,60,70,979,658,2777,-692
768,2528,2574,382,423,62,68,979,656,2809,-700
776,2557,2603,376,429,60,70,979,658,2841,-715
784,2586,2632,367,462,61,68,981,656,2873,-728
792,2614,2663,366,409,60,177,979,659,2905,-741
800,2641,2694,398,401,61,176,980,656,2937,-754
808,2668,2723,480,377,59,45,1003,636,2969,-685
816,2696,2753,490,317,62,43,1001,634,3001,-573
824,2726,2782,435,367,61,133,1004,640,3033,-527
832,2756,2810,383,370,60,128,1005,633,3065,-525
840,2784,2840,437,365,61,105,1004,637,3097,-522
848,2812,2869,442,364,75,104,1002,633,3129,-519
856,2842,2898,442,360,75,132,1005,638,3161,-517
864,2871,2927,407,369,60,130,1001,633,3193,-526
872,2900,2955,463,317,61,129,1006,615,3225,-455
880,2929,2983,514,320,49,125,1020,612,3257,-346
888,2960,3010,433,376,49,105,1029,612,3289,-299
896,2990,3037,450,362,40,107,1025,611,3321,-305
904,3020,3065,372,441,41,104,1027,637,3353,-386
912,3050,3094,368,415,39,107,1024,633,3385,-500
920,3078,3123,421,415,39,30,1004,635,3417,-548
928,3107,3154,399,354,66,30,1004,634,3449,-554
936,3135,3182,425,411,76,86,1007,636,3481,-564
944,3164,3211,395,416,98,83,1001,633,3513,-568
952,3192,3241,427,383,116,84,1005,636,3545,-574
960,3222,3270,403,377,116,83,1001,634,3577,-570
968,3251,3298,395,415,116,107,1004,636,3609,-572
976,3280,3328,400,380,115,105,1001,634,3641,-571
984,3309,3357,396,384,116,199,1003,637,3673,-573
992,3338,3386,414,390,116,198,998,633,3705,-580
1000,3367,3415,394,409,116,198,1003,634,3737,-580
1008,3396,3444,418,410,119,197,999,632,3769,-586
1016,3425,3473,414,414,140,256,1004,634,3801,-592
1024,3454,3502,409,394,139,250,999,634,3833,-596
1032,3483,3531,385,418,139,176,1003,635,3865,-599
1040,3512,3560,387,415,139,179,1001,637,3897,-600
1048,3541,3589,489,312,139,251,1001,611,3929,-520
1056,3571,3618,487,285,140,251,1002,614,3961,-406
1064,3600,3646,376,449,164,299,1003,634,3993,-457
1072,3630,3674,322,479,166,297,1003,638,4025,-569
1080,3659,3703,369,431,164,320,1046,634,4057,-616
1088,3688,3733,370,401,164,324,1050,638,4089,-620
1096,3717,3762,366,404,192,344,1024,633,4121,-627
1104,3746,3790,390,434,193,344,1026,636,4153,-630
1112,3775,3819,445,354,165,344,1027,612,4185,-545
1120,3804,3847,490,338,164,344,1024,614,4217,-434
1128,3834,3875,325,478,242,342,1003,634,4249,-493
1136,3863,3904,301,501,242,342,1000,635,4281,-605
1144,3890,3934,387,419,266,343,1004,636,4313,-643
1152,3918,3964,391,415,264,342,1001,635,4345,-644
1160,3946,3994,394,387,242,397,1005,632,4377,-646
1168,3973,4023,426,437,242,392,1004,636,4409,-647
