# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 20:29:14
# test: noise 400
# period_ms=10 samples=40 capacity=320 result=OK build="Sep 24 2026 20:25:15"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=400 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=1.00 ki=8.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=40
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,911,969,1071,541,5239,12
10,0,0,0,0,910,966,1069,542,5239,12
20,0,0,0,0,912,969,1094,541,5239,12
30,0,0,0,0,911,968,1092,565,5239,12
40,0,0,0,0,909,966,1068,565,5239,12
50,0,0,0,0,911,967,1093,564,5239,12
60,0,0,0,0,909,966,1091,543,5239,12
70,0,0,0,0,908,964,1091,540,5239,12
80,0,0,0,0,912,967,1094,566,5239,12
90,0,0,0,0,908,965,1090,565,5239,12
100,0,0,0,0,909,965,1091,563,5239,12
110,0,0,0,0,912,970,1093,543,5239,12
120,0,0,0,0,910,967,1095,566,5239,12
130,0,0,0,0,912,969,1095,566,5239,12
140,0,0,0,0,912,969,1093,565,5239,12
150,0,0,0,0,912,969,1100,566,5239,12
160,0,0,0,0,911,970,1094,567,5239,12
170,0,0,0,0,912,967,1094,542,5239,12
180,0,0,0,0,913,944,1095,542,5239,12
190,0,0,0,0,912,968,1093,566,5239,12
200,0,0,0,0,911,967,1070,567,5239,12
210,0,0,0,0,912,968,1071,564,5239,12
220,0,0,0,0,910,967,1069,565,5239,12
230,0,0,0,0,912,966,1072,564,5239,12
240,0,0,0,0,912,968,1069,564,5239,12
250,0,0,0,0,910,964,1068,565,5239,12
260,0,0,0,0,911,968,1071,563,5239,12
270,0,0,0,0,910,966,1067,541,5239,12
280,0,0,0,0,910,965,1068,542,5239,12
290,0,0,0,0,912,968,1093,542,5239,12
300,0,0,0,0,910,967,1095,542,5239,12
310,0,0,0,0,912,970,1094,542,5239,12
320,0,0,0,0,911,968,1093,565,5239,12
330,0,0,0,0,910,966,1093,566,5239,12
340,0,0,0,0,912,966,1094,563,5239,12
350,0,0,0,0,931,967,1093,565,5239,12
360,0,0,0,0,939,967,1071,566,5239,12
370,0,0,0,0,912,967,1093,563,5239,12
380,0,0,0,0,909,968,1094,565,5239,12
390,0,0,0,0,936,965,1068,563,5239,12
