# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 20:30:10
# test: turn 2
# period_ms=8 samples=170 capacity=320 result=OK build="Sep 24 2026 20:25:15"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=400 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=1.00 ki=8.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=170
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,144,-145,912,964,1069,564,0,0
8,0,-1,202,-174,905,969,1096,566,0,20
16,2,-4,192,-159,907,965,1094,564,0,72
24,5,-9,258,-192,905,946,1071,566,0,156
32,10,-14,272,-231,906,943,1072,566,0,272
40,16,-20,288,-272,932,969,1071,565,0,420
48,24,-28,301,-286,932,968,1066,563,0,600
56,34,-37,312,-301,957,946,1028,589,0,812
64,45,-48,350,-314,956,944,1026,587,0,1056
72,57,-60,364,-329,980,923,981,637,0,1332
80,71,-74,376,-366,981,922,979,634,0,1640
88,86,-89,415,-380,1005,878,913,684,0,1980
96,103,-107,426,-386,1002,875,913,682,0,2352
104,121,-125,283,-267,1005,830,789,731,0,2750
112,139,-143,282,-266,1005,829,788,729,0,3150
120,156,-161,310,-265,1003,738,741,779,0,3550
128,174,-180,283,-234,1004,736,741,776,0,3950
136,192,-197,283,-287,948,622,889,802,0,4350
144,210,-216,256,-256,935,620,889,801,0,4750
152,228,-233,280,-284,873,669,959,803,0,5150
160,245,-252,282,-253,857,667,955,800,0,5550
168,264,-269,252,-281,736,830,980,755,0,5950
176,281,-287,279,-255,716,830,978,755,0,6350
184,299,-305,122,-97,606,899,1004,686,0,6744
192,315,-320,110,-113,601,896,1001,686,0,7108
200,328,-333,130,-108,652,946,982,593,0,7440
208,341,-345,93,-76,674,944,979,593,0,7740
216,353,-356,55,-42,716,946,957,477,0,8008
224,364,-365,15,-60,770,946,957,472,0,8244
232,373,-374,2,-23,788,970,935,349,0,8448
240,381,-381,-12,12,840,968,933,348,0,8620
248,387,-386,-23,-6,843,946,890,228,0,8760
256,392,-391,-36,33,859,942,887,233,0,8868
264,395,-393,-47,14,860,945,866,184,0,8944
272,397,-395,-85,77,886,942,864,182,0,8988
280,397,-396,18,-23,888,944,867,135,0,9000
288,396,-396,26,-26,913,941,866,132,0,9000
296,396,-396,37,-37,913,945,866,135,0,9000
304,396,-396,49,-49,892,947,868,134,0,9000
312,396,-396,61,-61,889,946,866,181,0,9000
320,396,-396,73,-73,892,945,867,180,0,9000
