# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 20:42:21
# test: turn -4
# period_ms=8 samples=234 capacity=320 result=OK build="Sep 24 2026 20:36:30"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=400 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=0.50 ki=8.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=234
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,-144,145,839,1017,1271,443,0,0
8,-1,1,-169,170,840,997,1279,441,0,-20
16,-3,4,-214,211,840,996,1271,442,0,-72
24,-7,8,-222,219,842,997,1280,439,0,-156
32,-11,12,-277,274,838,1001,1272,442,0,-272
40,-17,19,-319,288,819,1021,1298,441,0,-420
48,-25,27,-301,294,816,1020,1288,442,0,-600
56,-35,36,-313,336,795,1019,1319,442,0,-812
64,-45,48,-323,312,791,1011,1312,473,0,-1056
72,-57,60,-369,359,771,1018,1385,473,0,-1332
80,-71,75,-371,331,768,1015,1385,589,0,-1640
88,-86,91,-409,340,889,1017,1429,591,0,-1980
96,-103,108,-391,371,887,1016,1427,681,0,-2352
104,-119,126,-318,264,1198,997,1477,684,0,-2750
112,-137,144,-291,287,1195,996,1475,776,0,-3150
120,-154,162,-291,258,1432,926,1524,778,0,-3550
128,-171,180,-325,263,1428,922,1523,830,0,-3950
136,-188,197,-303,265,1591,788,1545,831,0,-4350
144,-205,216,-335,263,1590,785,1544,879,0,-4750
152,-223,233,-306,264,1687,785,1524,877,0,-5150
160,-241,252,-273,251,1686,787,1522,879,0,-5550
168,-259,270,-300,253,1707,967,1410,875,0,-5950
176,-277,288,-298,251,1709,971,1410,832,0,-6350
184,-295,305,-143,125,1685,1112,1232,832,0,-6744
192,-311,321,-130,86,1686,1115,1229,779,0,-7108
200,-325,335,-126,83,1609,1247,1025,778,0,-7440
208,-338,347,-92,77,1612,1248,1025,684,0,-7740
216,-350,359,-77,37,1520,1359,814,683,0,-8008
224,-361,369,-35,24,1524,1359,809,638,0,-8244
232,-371,377,-21,19,1407,1427,578,635,0,-8448
240,-379,384,-10,12,1407,1426,577,614,0,-8620
248,-386,390,5,2,1337,1468,25,614,0,-8760
256,-391,394,49,-38,1339,1467,25,755,0,-8868
264,-395,397,62,-47,1288,1500,25,752,0,-8944
272,-397,398,75,-80,1285,1489,24,875,0,-8988
280,-397,398,-35,30,1263,1511,55,877,0,-9000
288,-397,398,-40,33,1261,1511,57,902,0,-9000
296,-397,398,-49,39,1264,1510,189,901,0,-9000
304,-397,399,-25,-9,1264,1514,189,900,0,-9000
312,-398,400,0,0,1264,1492,144,900,0,-9000
320,-397,400,0,0,1265,1494,144,881,0,-9000
328,-396,401,0,0,1263,1494,94,878,0,-9000
336,-396,401,0,0,1265,1492,93,878,0,-9000
344,-396,401,0,0,1263,1492,95,876,0,-9000
352,-396,401,0,0,1262,1490,95,875,0,-9000
360,-396,401,0,0,1264,1492,95,876,0,-9000
368,-396,401,0,0,1262,1487,92,878,0,-9000
376,-396,401,0,0,1262,1491,95,876,0,-9000
384,-396,401,0,0,1264,1488,92,878,0,-9000
392,-396,401,0,0,1264,1489,95,874,0,-9000
400,-396,401,0,0,1264,1488,93,878,0,-9000
408,-396,401,-144,145,1263,1489,143,875,0,-9000
416,-397,402,-198,175,1260,1480,140,877,0,-9020
424,-401,404,-173,208,1264,1486,92,876,0,-9072
432,-405,408,-206,192,1264,1485,90,879,0,-9156
440,-409,413,-258,240,1262,1483,65,876,0,-9272
448,-415,420,-243,245,1264,1485,65,923,0,-9420
456,-422,428,-294,291,1217,1530,65,924,0,-9600
464,-430,439,-335,270,1218,1529,66,1038,0,-9812
472,-440,450,-356,311,1148,1533,51,1038,0,-10056
480,-452,463,-367,318,1149,1533,50,1155,0,-10332
488,-465,478,-408,326,1056,1552,119,1153,0,-10640
496,-480,493,-424,367,1056,1553,119,1265,0,-10980
504,-497,511,-399,362,964,1529,93,1262,0,-11352
512,-515,529,-283,245,963,1528,93,1354,0,-11750
520,-532,547,-288,245,817,1484,283,1353,0,-12150
528,-550,564,-292,279,820,1485,281,1400,0,-12550
536,-567,582,-322,254,627,1398,330,1399,0,-12950
544,-585,600,-290,248,629,1396,329,1446,0,-13350
552,-603,617,-319,257,479,1263,400,1445,0,-13750
560,-621,634,-290,257,479,1258,401,1398,0,-14150
568,-639,652,-288,255,311,1058,460,1396,0,-14550
576,-658,669,-253,253,311,1055,463,1356,0,-14950
584,-676,686,-282,262,60,870,556,1353,0,-15350
592,-694,703,-128,136,61,871,558,1286,0,-15744
600,-710,718,-121,133,164,577,627,1285,0,-16108
608,-723,732,-149,107,162,575,627,1198,0,-16440
616,-737,744,-79,95,115,246,720,1197,0,-16740
624,-749,756,-64,55,114,246,715,1063,0,-17008
632,-760,766,-51,47,73,64,768,1062,0,-17244
640,-769,776,-35,1,74,68,767,971,0,-17448
648,-777,783,1,19,91,78,790,968,0,-17620
656,-783,789,14,-18,91,81,785,876,0,-17760
664,-787,794,19,-28,408,43,814,877,0,-17868
672,-791,797,61,-42,407,40,815,830,0,-17944
680,-793,799,76,-82,27,27,846,832,0,-17988
688,-794,800,-23,17,27,29,839,800,0,-18000
696,-793,800,0,0,28,29,843,803,0,-18000
704,-793,800,0,0,28,31,840,800,0,-18000
712,-793,800,0,0,28,28,844,802,0,-18000
720,-793,800,0,0,29,30,843,800,0,-18000
728,-793,800,0,0,29,28,845,803,0,-18000
736,-793,800,0,0,30,28,844,802,0,-18000
744,-793,800,0,0,28,603,844,802,0,-18000
752,-793,800,0,0,29,605,844,804,0,-18000
760,-793,800,0,0,49,462,845,800,0,-18000
768,-793,800,0,0,49,460,843,802,0,-18000
776,-793,800,0,0,28,252,842,801,0,-18000
784,-793,800,0,0,29,249,842,802,0,-18000
792,-793,800,0,0,26,69,844,800,0,-18000
800,-793,800,-191,192,28,68,845,801,0,-18009
808,-795,803,-193,165,240,29,843,799,0,-18049
816,-799,807,-200,197,338,28,844,803,0,-18121
824,-803,811,-250,247,92,29,842,797,0,-18225
832,-809,816,-268,294,76,28,843,803,0,-18361
840,-815,824,-312,280,28,29,843,802,0,-18529
848,-824,833,-292,285,28,28,842,779,0,-18729
856,-834,844,-303,292,75,345,864,775,0,-18961
864,-846,856,-312,301,98,343,864,706,0,-19225
872,-859,869,-357,347,135,28,887,699,0,-19521
880,-874,884,-394,358,239,30,887,609,0,-19849
888,-890,901,-402,362,239,223,910,609,0,-20209
896,-907,919,-306,261,409,223,909,495,0,-20600
904,-924,937,-312,262,408,297,911,493,0,-21000
912,-941,955,-316,262,558,297,911,369,0,-21400
920,-959,972,-321,296,559,415,911,368,0,-21800
928,-976,990,-292,263,700,416,910,181,0,-22200
936,-994,1008,-290,261,699,510,886,178,0,-22600
944,-1011,1025,-326,272,816,508,885,109,0,-23000
952,-1029,1044,-288,230,817,603,841,108,0,-23400
960,-1047,1061,-264,260,887,604,839,29,0,-23800
968,-1065,1080,-260,251,889,712,716,29,0,-24200
976,-1083,1098,-145,110,940,711,718,29,0,-24599
984,-1099,1114,-142,107,939,759,646,28,0,-24975
992,-1115,1128,-105,129,938,756,646,27,0,-25319
1000,-1128,1141,-98,96,939,807,717,27,0,-25631
1008,-1140,1153,-92,90,911,825,715,28,0,-25911
1016,-1151,1164,-48,46,911,845,810,28,0,-26159
1024,-1161,1174,-30,3,861,876,809,34,0,-26375
1032,-1171,1181,15,21,863,878,867,34,0,-26559
1040,-1177,1188,0,-43,838,898,865,134,0,-26711
1048,-1183,1192,37,-21,839,899,910,132,0,-26831
1056,-1187,1196,52,-62,795,900,912,229,0,-26919
1064,-1189,1197,56,-61,793,899,933,227,0,-26975
1072,-1191,1198,118,-119,797,899,934,276,0,-26999
1080,-1191,1198,0,0,793,899,911,273,0,-27000
1088,-1190,1199,0,0,796,897,911,251,0,-27000
1096,-1190,1199,0,0,794,897,909,252,0,-27000
1104,-1190,1199,0,0,796,897,909,277,0,-27000
1112,-1190,1199,0,0,795,897,910,273,0,-27000
1120,-1190,1199,0,0,796,896,910,254,0,-27000
1128,-1190,1199,0,0,793,898,911,250,0,-27000
1136,-1190,1199,0,0,795,896,906,276,0,-27000
1144,-1190,1199,0,0,794,897,911,272,0,-27000
1152,-1190,1199,0,0,795,897,909,276,0,-27000
1160,-1190,1199,0,0,793,897,909,276,0,-27000
1168,-1190,1199,0,0,795,921,911,230,0,-27000
1176,-1190,1199,-154,155,790,919,911,230,0,-27001
1184,-1191,1200,-210,211,795,922,913,277,0,-27025
1192,-1195,1204,-140,141,792,921,910,273,0,-27081
1200,-1199,1208,-217,218,793,900,911,278,0,-27169
1208,-1203,1213,-266,238,789,897,910,270,0,-27289
1216,-1209,1219,-317,289,768,900,911,296,0,-27441
1224,-1217,1228,-293,261,763,896,933,295,0,-27625
1232,-1226,1238,-307,271,741,899,935,343,0,-27841
1240,-1236,1249,-363,347,741,897,956,342,0,-28089
1248,-1248,1262,-375,355,720,900,958,415,0,-28369
1256,-1262,1277,-377,329,718,898,980,414,0,-28681
1264,-1277,1293,-393,365,650,898,979,494,0,-29025
1272,-1294,1310,-401,373,647,897,1002,493,0,-29401
1280,-1312,1329,-278,244,581,873,1003,589,0,-29800
1288,-1329,1346,-318,285,578,873,1001,581,0,-30200
1296,-1347,1364,-282,249,653,829,1003,653,0,-30600
1304,-1365,1381,-287,282,649,827,1001,650,0,-31000
1312,-1383,1399,-280,251,818,758,1002,722,0,-31400
1320,-1400,1417,-284,251,815,759,957,723,0,-31800
1328,-1418,1434,-285,256,940,620,956,745,0,-32200
1336,-1436,1452,-282,253,938,619,892,746,0,-32600
1344,-1454,1469,-283,258,987,644,886,746,0,32536
1352,-1472,1486,-287,292,982,642,763,746,0,32136
1360,-1490,1504,-115,94,1014,761,762,724,0,31745
1368,-1506,1518,-113,126,1011,758,816,724,0,31385
1376,-1519,1532,-140,98,1034,853,840,677,0,31057
1384,-1532,1544,-104,91,1035,850,892,678,0,30761
1392,-1544,1555,-90,56,1011,897,953,629,0,30497
1400,-1555,1565,-46,42,1012,896,963,634,0,30265
1408,-1564,1575,1,-10,986,968,1067,561,0,30065
1416,-1571,1582,2,13,985,967,1070,567,0,29897
1424,-1577,1588,16,-26,945,995,1137,518,0,29761
