# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 20:42:53
# test: noise 500
# period_ms=10 samples=50 capacity=320 result=OK build="Sep 24 2026 20:36:30"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=0.50 ki=8.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=50
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,887,995,1207,472,0,0
10,0,0,0,0,889,1018,1205,473,0,0
20,0,0,0,0,889,999,1187,473,0,0
30,0,0,0,0,890,993,1187,472,0,0
40,0,0,0,0,889,996,1187,473,0,0
50,0,0,0,0,892,997,1211,476,0,0
60,0,0,0,0,888,996,1208,472,0,0
70,0,0,0,0,886,994,1205,471,0,0
80,0,0,0,0,891,998,1209,474,0,0
90,0,0,0,0,890,998,1206,470,0,0
100,0,0,0,0,887,996,1206,469,0,0
110,0,0,0,0,890,995,1206,474,0,0
120,0,0,0,0,889,997,1204,472,0,0
130,0,0,0,0,888,996,1206,474,0,0
140,0,0,0,0,889,1017,1205,473,0,0
150,0,0,0,0,886,1019,1204,471,0,0
160,0,0,0,0,885,1016,1206,473,0,0
170,0,0,0,0,912,997,1204,471,0,0
180,0,0,0,0,911,994,1206,472,0,0
190,0,0,0,0,890,996,1208,474,0,0
200,0,0,0,0,903,998,1207,471,0,0
210,0,0,0,0,911,994,1230,474,0,0
220,0,0,0,0,889,999,1228,473,0,0
230,0,0,0,0,887,996,1207,470,0,0
240,0,0,0,0,888,995,1207,471,0,0
250,0,0,0,0,891,998,1205,473,0,0
260,0,0,0,0,890,998,1209,474,0,0
270,0,0,0,0,890,997,1205,474,0,0
280,0,0,0,0,889,998,1206,474,0,0
290,0,0,0,0,890,997,1206,473,0,0
300,0,0,0,0,887,997,1207,472,0,0
310,0,0,0,0,887,998,1207,473,0,0
320,0,0,0,0,888,992,1207,473,0,0
330,0,0,0,0,914,995,1206,474,0,0
340,0,0,0,0,914,997,1208,473,0,0
350,0,0,0,0,914,994,1208,474,0,0
360,0,0,0,0,913,997,1205,474,0,0
370,0,0,0,0,916,1000,1211,475,0,0
380,0,0,0,0,914,999,1208,472,0,0
390,0,0,0,0,913,995,1205,473,0,0
400,0,0,0,0,914,995,1207,474,0,0
410,0,0,0,0,889,997,1201,473,0,0
420,0,0,0,0,889,996,1206,474,0,0
430,0,0,0,0,889,994,1204,474,0,0
440,0,0,0,0,886,998,1208,473,0,0
450,0,0,0,0,887,995,1208,472,0,0
460,0,0,0,0,890,994,1206,473,0,0
470,0,0,0,0,890,993,1207,474,0,0
480,0,0,0,0,887,995,1207,471,0,0
490,0,0,0,0,890,995,1209,473,0,0
