# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 21:09:39
# test: straight 3 700
# period_ms=4 samples=316 capacity=320 result=OK build="Sep 24 2026 20:53:44"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=316
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,176,177,28,29,909,729,0,0
4,0,0,215,216,31,28,908,730,0,0
8,1,2,216,180,28,30,908,727,1,-3
12,3,4,197,214,26,29,911,730,3,-8
16,5,6,217,237,32,56,907,731,4,-12
20,6,9,292,209,36,55,906,728,7,-17
24,9,12,237,257,29,56,908,727,9,-23
28,12,15,257,283,31,55,908,728,13,-30
32,16,18,235,325,27,103,907,727,16,-38
36,20,22,262,319,28,104,907,732,21,-46
40,25,27,257,313,28,103,907,724,25,-53
44,30,33,302,283,28,102,905,725,30,-55
48,34,38,357,330,26,55,906,726,36,-56
52,40,43,308,376,26,56,907,725,42,-56
56,46,48,328,406,69,55,908,728,49,-57
60,52,54,360,399,69,55,908,723,56,-58
64,59,62,372,354,69,29,906,723,63,-58
68,66,69,386,414,71,29,908,725,71,-59
72,74,76,371,452,32,28,908,722,80,-59
76,82,85,417,400,32,28,907,723,89,-59
80,90,93,432,461,31,29,906,723,98,-60
84,99,102,430,461,28,28,908,725,108,-60
88,109,111,412,500,22,29,907,723,119,-61
92,119,122,456,447,23,29,905,723,130,-62
96,130,132,430,518,22,29,905,724,141,-63
100,140,143,502,495,22,29,907,725,153,-64
104,152,154,449,541,23,29,907,721,165,-65
108,163,166,522,516,22,29,903,721,178,-65
112,176,178,471,560,23,35,904,722,192,-65
116,188,191,543,535,22,35,907,725,205,-65
120,202,204,488,582,23,36,909,724,220,-66
124,215,218,562,553,24,36,906,723,234,-65
128,229,231,537,627,23,198,904,701,250,-65
132,243,246,602,556,22,199,930,702,265,-57
136,258,261,615,562,22,201,931,702,282,-39
140,274,276,607,588,25,197,924,700,298,-20
144,290,292,642,571,23,225,926,724,315,-3
148,306,308,655,604,22,223,936,725,333,8
152,322,324,687,622,22,222,935,723,351,19
156,340,342,663,583,24,225,932,724,370,31
160,357,359,716,629,24,152,931,703,389,43
164,374,377,764,604,21,153,952,703,408,57
168,393,395,714,648,22,152,956,702,428,69
172,412,414,747,632,24,154,953,701,449,79
176,431,433,779,647,24,75,951,702,470,91
180,451,452,781,667,23,67,929,704,491,109
184,471,472,799,668,23,67,929,701,513,117
188,492,492,784,704,23,72,934,701,536,125
192,512,513,862,675,24,199,927,700,559,132
196,533,534,836,724,21,199,936,702,582,132
200,554,556,859,724,23,195,927,701,606,125
204,576,578,845,759,23,193,926,704,630,118
208,598,601,880,746,23,26,928,677,655,110
212,622,624,847,771,23,25,932,679,681,112
216,645,647,925,767,22,25,927,677,706,121
220,670,670,876,811,24,26,930,680,733,131
224,694,694,950,785,23,149,927,680,759,142
228,719,719,956,773,22,145,954,678,787,154
232,745,744,958,790,23,146,949,677,814,171
236,772,769,767,634,26,150,953,682,842,191
240,798,793,796,657,26,67,933,681,870,212
244,824,817,784,672,26,67,951,681,898,227
248,850,842,796,634,28,66,953,678,926,243
252,876,866,783,675,91,66,949,678,954,256
256,902,890,782,679,28,71,952,682,982,271
260,929,914,736,699,88,71,954,680,1010,283
264,954,939,809,654,25,68,949,679,1038,290
268,981,964,730,678,25,67,951,680,1066,296
272,1008,989,719,682,26,67,952,680,1094,302
276,1034,1014,748,677,26,68,950,680,1122,306
280,1061,1038,691,732,51,69,955,681,1150,310
284,1087,1063,732,690,26,69,951,681,1178,313
288,1113,1088,726,694,26,33,951,681,1206,316
292,1139,1114,734,655,26,35,934,680,1234,319
296,1166,1138,652,761,26,36,934,681,1262,316
300,1192,1164,699,684,27,35,934,681,1290,311
304,1218,1190,694,683,27,61,928,680,1318,306
