# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 21:11:44
# test: turn 2
# period_ms=4 samples=267 capacity=320 result=OK build="Sep 24 2026 20:53:44"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=400 fast=500 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=267
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,146,-147,961,944,911,706,0,0
4,0,0,189,-190,962,944,906,712,0,6
8,1,-2,155,-127,967,945,907,708,0,20
12,2,-3,191,-188,966,942,908,706,0,42
16,4,-4,179,-206,963,946,907,708,0,72
20,6,-6,193,-195,966,945,908,707,0,110
24,8,-8,220,-221,964,941,907,707,0,156
28,11,-11,197,-198,961,942,906,711,0,210
32,13,-13,274,-276,965,946,909,707,0,272
36,16,-16,257,-259,959,945,910,704,0,342
40,19,-19,288,-290,966,944,906,704,0,420
44,22,-23,310,-283,964,943,907,704,0,506
48,26,-28,292,-260,965,922,909,758,0,600
52,31,-33,280,-273,959,924,908,751,0,702
56,35,-38,347,-311,962,921,909,753,0,812
60,40,-44,329,-289,984,922,863,753,0,930
64,46,-50,318,-303,980,899,863,773,0,1056
68,52,-56,344,-329,985,899,861,774,0,1190
72,58,-63,362,-318,982,897,862,776,0,1332
76,65,-70,351,-332,985,900,784,773,0,1482
80,72,-78,366,-318,983,829,784,827,0,1640
84,80,-85,365,-371,984,830,782,827,0,1806
88,87,-93,422,-373,984,831,785,827,0,1980
92,96,-102,361,-338,1008,828,716,826,0,2162
96,104,-111,425,-372,1012,806,714,899,0,2352
100,113,-119,288,-288,1008,806,713,900,0,2550
104,122,-129,270,-216,1010,806,713,901,0,2750
108,131,-138,280,-251,1010,806,691,902,0,2950
112,140,-147,280,-251,1010,690,691,945,0,3150
116,148,-156,321,-262,1011,692,689,947,0,3350
120,158,-165,244,-240,1008,689,689,946,0,3550
124,167,-174,279,-250,982,690,862,942,0,3750
128,176,-183,279,-250,987,668,861,968,0,3950
132,184,-191,332,-303,986,667,860,968,0,4150
136,194,-200,246,-246,988,666,861,969,0,4350
140,203,-208,293,-297,939,667,955,965,0,4550
144,212,-217,283,-263,938,874,952,967,0,4750
148,221,-226,283,-262,937,877,951,966,0,4950
152,230,-235,282,-262,936,875,953,965,0,5150
156,240,-243,253,-292,815,876,976,967,0,5350
160,248,-252,319,-279,816,995,973,943,0,5550
164,258,-261,243,-257,815,994,972,944,0,5750
168,267,-270,278,-266,815,993,974,941,0,5950
172,276,-279,278,-266,674,992,998,942,0,6150
176,286,-287,248,-295,675,1063,999,900,0,6350
180,294,-296,175,-142,675,1065,998,900,0,6550
184,304,-304,86,-137,674,1061,998,895,0,6744
188,312,-312,133,-133,724,1062,998,899,0,6930
192,319,-320,148,-119,727,1086,999,777,0,7108
196,326,-327,137,-133,725,1084,997,776,0,7278
200,333,-334,114,-110,722,1085,998,775,0,7440
204,340,-340,99,-124,843,1086,975,776,0,7594
208,346,-346,113,-113,842,1109,975,613,0,7740
212,352,-352,89,-89,838,1109,974,612,0,7878
216,357,-358,103,-74,842,1106,973,612,0,8008
220,363,-363,50,-75,963,1110,929,607,0,8130
224,368,-368,59,-59,962,1087,931,443,0,8244
228,374,-373,-10,-19,964,1087,930,442,0,8350
232,379,-378,-6,2,961,1086,927,441,0,8448
236,383,-382,12,-17,1030,1087,861,440,0,8538
240,387,-386,-17,12,1032,1065,863,276,0,8620
244,390,-389,5,-9,1030,1063,861,276,0,8694
248,393,-392,-22,18,1030,1064,861,274,0,8760
252,396,-395,-51,47,1078,1063,838,273,0,8818
256,398,-397,-31,27,1076,1041,840,135,0,8868
260,400,-399,-58,54,1073,1042,840,133,0,8910
264,402,-400,-76,43,1076,1040,837,140,0,8944
268,403,-401,-66,58,1095,1042,782,135,0,8970
272,404,-402,-94,86,1096,1038,782,54,0,8988
276,404,-402,-78,70,1094,1039,782,55,0,8998
280,404,-402,0,0,1102,1041,782,54,0,9000
284,404,-402,0,0,1102,1039,781,55,0,9000
288,404,-402,0,0,1102,1039,783,204,0,9000
292,403,-402,0,0,1103,1043,780,203,0,9000
296,403,-402,0,0,1101,1038,780,201,0,9000
300,402,-402,0,0,1101,1037,782,202,0,9000
304,402,-403,0,0,1103,1040,782,28,0,9000
308,402,-403,0,0,1102,1042,780,28,0,9000
312,402,-403,0,0,1100,1040,780,29,0,9000
316,402,-403,0,0,1101,1040,781,27,0,9000
320,402,-403,0,0,1104,1040,785,112,0,9000
324,402,-403,0,0,1103,1044,780,110,0,9000
328,402,-403,0,0,1099,1039,780,107,0,9000
332,402,-403,0,0,1101,1042,783,108,0,9000
336,402,-403,0,0,1105,1041,783,27,0,9000
340,402,-403,0,0,1102,1042,780,29,0,9000
344,402,-403,0,0,1100,1041,779,29,0,9000
348,402,-403,0,0,1102,1041,781,29,0,9000
352,402,-403,0,0,1104,1042,784,88,0,9000
356,402,-403,0,0,1104,1042,783,86,0,9000
360,402,-403,0,0,1103,1042,783,88,0,9000
