# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 17:44:23
# test: straight 1 300
# period_ms=4 samples=251 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=76.0 front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=251
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,59,29,924,708,0,0
4,0,0,188,189,73,27,925,706,0,0
8,1,0,183,232,72,28,923,705,1,1
12,2,1,218,217,72,28,925,704,2,3
16,4,2,205,250,73,27,921,703,3,7
20,6,5,255,190,60,28,925,705,5,12
24,9,6,216,303,59,27,927,703,7,17
28,12,9,264,248,58,28,924,702,10,23
32,16,13,266,234,57,27,924,683,14,32
36,19,17,329,242,60,149,926,683,17,40
40,24,21,284,278,59,150,922,678,22,50
44,29,26,321,257,59,149,926,678,26,61
48,34,31,348,275,58,150,929,705,32,72
52,40,37,353,260,59,127,921,706,38,85
56,46,42,366,320,60,135,919,704,44,97
60,52,48,407,301,58,122,920,702,50,110
64,58,55,443,287,59,125,921,682,58,121
68,66,62,375,347,48,31,919,683,65,123
72,73,69,434,363,47,32,920,679,74,124
76,81,77,431,361,46,30,921,679,82,125
80,89,86,477,335,46,29,919,683,91,129
84,98,94,469,391,59,169,919,682,101,139
88,107,104,521,332,60,169,926,679,111,150
92,118,113,459,412,59,171,921,679,122,161
96,128,123,512,406,59,168,922,706,133,164
100,138,133,513,455,60,99,920,705,144,155
104,150,145,308,251,59,103,924,703,156,148
108,162,155,276,334,58,104,925,703,168,140
112,173,165,304,334,59,101,926,707,180,131
116,184,176,309,302,59,102,925,706,192,123
120,194,186,334,335,58,104,923,703,204,114
124,205,197,307,311,58,106,927,705,216,105
128,215,208,353,294,58,100,923,705,228,101
132,226,219,328,292,37,54,923,706,240,101
136,237,230,342,277,37,53,945,705,252,107
140,248,241,354,263,38,52,946,703,264,118
144,258,252,413,233,36,53,946,681,276,134
148,270,262,342,278,73,27,944,683,288,155
152,282,273,360,229,73,27,969,681,300,178
156,293,284,406,207,74,28,971,679,312,202
160,304,294,401,240,73,27,969,682,324,226
164,317,305,346,211,74,42,968,681,336,252
168,329,315,367,238,73,43,947,680,348,277
172,341,325,368,235,73,42,947,680,360,301
176,354,335,298,274,74,42,948,680,372,313
180,366,345,303,294,74,81,944,681,384,314
184,378,355,292,303,74,82,972,681,396,315
188,390,365,285,309,73,79,970,678,408,316
192,401,377,342,221,74,80,971,681,420,317
196,413,387,278,310,91,129,969,681,432,318
200,425,398,285,272,90,127,924,680,444,320
204,436,409,294,286,90,126,924,680,456,312
208,448,420,236,313,90,124,921,705,468,299
212,458,431,295,308,74,79,923,704,480,280
216,469,442,245,331,73,82,925,707,492,259
220,480,454,237,309,73,80,925,704,504,234
224,490,465,263,336,74,81,921,707,516,211
228,502,476,171,372,30,55,921,704,528,185
232,512,487,241,355,30,56,926,704,540,162
236,522,498,237,362,29,54,926,706,552,139
240,533,510,234,310,31,54,923,705,564,128
244,543,521,286,311,28,27,922,705,576,129
248,554,533,264,277,27,27,923,703,588,130
252,564,545,306,259,29,28,929,706,600,130
256,574,556,306,287,28,28,925,709,612,133
260,585,567,270,297,47,28,923,704,624,135
264,596,578,270,296,47,26,924,703,636,137
268,607,589,271,294,48,26,925,704,648,139
272,618,600,287,277,47,26,925,683,660,148
276,629,610,286,306,59,28,924,682,672,160
280,640,621,299,267,60,26,923,682,684,172
284,650,632,343,250,59,27,924,681,696,184
288,661,642,300,297,59,26,926,684,708,195
292,672,653,313,258,90,27,924,683,720,207
296,682,663,348,280,92,26,925,681,732,218
300,694,674,287,261,90,27,923,680,744,231
304,704,685,351,250,91,28,924,681,756,236
308,715,696,310,265,115,28,926,684,768,238
312,726,707,311,263,115,28,925,681,780,240
316,737,718,311,261,114,29,925,682,792,243
320,748,729,311,260,114,27,924,683,804,245
324,758,739,340,288,91,124,923,681,816,247
328,770,750,274,274,91,126,923,681,828,248
332,780,761,349,252,89,123,923,680,840,250
336,791,772,316,259,89,123,923,683,852,251
340,802,783,316,257,139,66,922,680,864,253
344,813,793,305,297,140,65,924,680,876,255
348,824,804,315,261,139,66,924,679,888,257
352,834,815,356,248,138,66,925,682,900,258
356,845,825,310,296,164,80,924,681,912,260
360,856,837,333,218,163,79,919,681,924,262
364,866,847,353,280,164,82,920,681,936,265
368,878,858,288,265,163,80,916,682,948,267
372,888,869,362,245,138,81,917,684,960,268
376,899,880,329,251,139,81,919,681,972,270
380,910,891,331,248,138,81,920,680,984,273
384,921,902,330,248,138,82,919,681,996,274
388,932,913,330,246,138,81,918,681,1008,276
392,943,923,319,285,139,80,920,681,1020,278
396,954,934,330,248,137,83,919,682,1032,280
400,965,945,331,246,137,81,917,681,1044,282
404,975,956,375,230,139,102,919,681,1056,285
408,986,967,340,239,141,103,920,680,1068,288
412,997,977,326,281,139,103,919,680,1080,289
416,1008,989,352,200,138,102,916,680,1092,292
420,1019,999,332,273,141,54,919,682,1104,296
424,1030,1010,341,238,140,54,920,681,1116,298
428,1041,1021,341,236,140,53,920,681,1128,300
432,1052,1032,343,233,139,54,917,682,1140,303
436,1062,1042,371,262,92,104,920,682,1152,305
440,1074,1053,306,247,91,103,921,683,1164,307
444,1085,1064,343,234,90,101,922,680,1176,309
448,1096,1075,344,231,91,102,921,682,1188,312
452,1107,1085,331,272,73,104,920,685,1200,314
456,1118,1096,342,236,73,104,921,683,1212,316
460,1130,1106,290,286,74,103,919,679,1224,319
464,1141,1117,335,240,73,101,919,681,1236,321
468,1152,1127,324,279,116,104,919,683,1248,323
472,1163,1137,320,286,116,103,922,683,1260,325
476,1174,1148,328,252,114,102,920,683,1272,326
480,1186,1158,275,304,114,101,919,680,1284,327
484,1198,1169,280,268,138,81,921,683,1296,329
488,1209,1180,314,258,140,81,920,681,1308,330
492,1219,1191,352,248,139,81,919,681,1320,330
496,1230,1202,318,256,139,82,921,683,1332,331
500,1242,1213,276,268,139,103,921,684,1344,331
504,1252,1224,351,245,140,104,921,682,1356,331
508,1263,1235,319,252,139,104,921,682,1368,333
512,1274,1246,318,251,139,104,924,684,1380,334
516,1285,1257,315,253,106,103,922,684,1392,333
520,1296,1267,295,301,91,103,920,683,1404,330
524,1307,1278,305,265,92,103,922,681,1416,327
528,1318,1289,302,267,91,102,921,684,1428,324
532,1328,1300,343,254,92,61,920,684,1440,322
536,1339,1311,308,263,91,56,921,681,1452,320
540,1350,1322,305,264,90,56,922,682,1464,318
544,1360,1333,345,252,91,55,920,683,1476,315
548,1371,1344,311,260,91,48,921,683,1488,314
552,1382,1355,309,261,91,43,921,682,1500,312
556,1393,1366,309,260,90,44,921,681,1512,310
560,1404,1377,308,260,90,43,921,681,1524,309
564,1414,1387,335,290,99,44,919,683,1536,307
568,1425,1398,310,264,117,44,920,681,1548,306
572,1436,1409,308,264,115,43,920,681,1560,304
576,1446,1420,348,253,114,44,919,682,1572,302
580,1458,1430,257,317,118,44,918,682,1584,300
584,1468,1441,342,261,164,56,919,682,1596,298
588,1479,1452,307,270,163,54,921,681,1608,296
592,1490,1463,305,270,162,54,919,680,1620,294
596,1501,1473,291,313,163,55,919,682,1632,292
600,1512,1485,311,237,194,81,919,681,1644,290
604,1522,1495,157,127,191,84,916,680,1656,288
608,1533,1505,96,119,191,83,921,681,1667,286
612,1542,1515,147,75,193,85,916,681,1679,285
616,1551,1524,116,89,193,178,923,682,1689,283
620,1559,1532,122,96,192,176,921,680,1699,281
624,1567,1540,102,76,190,172,919,680,1709,280
628,1574,1547,108,84,193,174,921,682,1718,279
632,1582,1554,47,77,193,177,921,681,1727,278
636,1588,1561,101,33,193,176,931,681,1735,277
640,1594,1567,70,50,191,178,920,681,1742,275
644,1600,1573,51,28,191,175,919,680,1750,274
648,1606,1578,14,48,193,200,921,682,1756,273
652,1610,1584,81,-35,192,197,924,681,1763,272
656,1615,1588,3,28,191,198,922,681,1768,271
660,1619,1592,17,-1,193,197,927,681,1774,270
664,1623,1596,-5,-22,216,197,924,680,1778,270
668,1626,1599,0,-17,215,199,922,680,1783,269
