# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 17:44:48
# test: curve 1 300
# period_ms=8 samples=193 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=76.0 front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=193
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,219,197,925,683,0,0
8,0,1,236,179,219,197,926,681,1,1
16,4,4,222,199,217,195,925,682,3,9
24,8,8,272,242,193,200,925,682,7,18
32,15,14,264,261,192,194,926,681,14,32
40,23,23,342,217,195,275,924,682,22,51
48,33,33,361,258,194,273,927,683,32,73
56,44,43,415,300,192,273,928,681,44,96
64,57,56,420,311,192,273,926,681,58,125
72,72,70,455,317,191,273,927,679,74,157
80,89,85,419,397,189,273,926,716,91,156
88,108,102,457,425,213,274,925,703,111,138
96,128,122,474,448,210,273,927,700,133,122
104,152,143,261,322,216,297,925,702,156,104
112,173,165,320,293,214,296,924,704,180,98
120,194,186,358,286,215,273,923,701,204,99
128,216,208,319,298,215,272,925,705,228,97
136,238,230,320,294,242,274,923,702,252,98
144,260,252,316,296,239,272,949,728,276,95
152,282,274,321,289,266,273,944,725,300,99
160,304,296,344,263,265,272,946,707,324,117
168,327,318,348,252,267,222,944,702,348,140
176,350,341,346,218,261,220,946,679,372,181
184,372,362,389,202,287,273,945,675,396,220
192,396,383,347,237,287,273,946,203,420,263
200,420,403,347,235,291,273,946,200,444,306
208,444,423,290,314,286,274,925,54,468,325
216,468,444,253,319,289,297,923,53,492,307
224,491,466,245,320,289,298,904,53,516,267
232,512,489,241,297,312,320,901,53,540,218
240,533,511,219,346,311,320,903,42,564,171
248,554,533,204,363,333,345,903,45,588,123
256,574,556,235,359,334,343,903,32,612,76
264,594,579,242,329,337,346,903,33,636,30
272,614,603,307,261,336,343,903,33,660,33
280,635,626,278,262,335,368,903,35,684,37
288,656,649,280,283,336,368,902,33,708,42
296,678,670,268,322,351,369,901,33,732,46
304,700,692,243,295,360,365,904,27,756,51
312,720,713,321,277,358,415,901,26,780,53
320,742,734,319,306,363,416,926,44,804,61
328,764,756,299,274,369,416,924,42,828,74
336,786,778,292,279,384,415,904,29,852,81
344,807,799,289,288,384,415,901,27,876,80
352,829,821,286,289,409,416,926,32,900,77
360,851,843,285,286,407,439,922,33,924,76
368,873,865,361,221,407,438,927,41,948,76
376,895,886,368,228,407,463,922,41,972,86
