# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 17:50:51
# test: curve -1 300
# period_ms=8 samples=189 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=76.0 front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=189
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,164,199,500,830,0,0
8,0,0,221,223,163,196,500,824,1,0
16,3,3,195,260,163,198,500,798,3,-7
24,7,7,209,289,162,198,523,796,7,-15
32,14,14,221,284,159,274,523,827,14,-31
40,22,22,220,347,136,275,549,827,22,-49
48,31,33,277,325,135,298,546,830,32,-71
56,41,45,329,341,188,299,548,826,44,-95
64,52,59,385,354,186,296,547,825,58,-123
72,66,75,350,426,188,296,570,825,74,-156
80,80,94,417,399,186,322,569,827,91,-192
88,97,113,381,477,159,322,616,826,111,-232
96,116,135,389,504,158,297,617,827,133,-277
104,135,159,272,341,162,298,662,829,156,-325
112,155,183,270,343,160,320,660,799,180,-373
120,174,207,273,342,162,321,732,799,204,-421
128,194,230,268,349,160,320,729,827,228,-469
136,213,254,308,336,160,321,833,827,252,-516
144,233,279,314,298,162,297,833,801,276,-566
152,252,303,310,329,131,299,903,803,300,-613
160,272,328,316,292,131,248,903,779,324,-663
168,292,353,333,292,158,250,928,780,348,-702
176,313,378,416,148,159,285,926,754,372,-651
184,336,399,325,261,187,299,951,755,396,-602
192,359,421,383,196,192,308,948,731,420,-552
200,382,442,394,183,207,324,950,733,444,-504
208,405,462,391,213,212,319,952,709,468,-456
216,429,482,361,215,228,320,321,707,492,-408
224,454,501,343,256,235,321,323,733,516,-359
232,478,520,354,221,235,344,50,729,540,-312
240,502,539,342,261,236,346,50,732,564,-264
248,527,558,234,366,244,368,134,731,588,-258
256,550,578,262,340,259,369,135,733,612,-296
264,572,600,289,286,264,367,158,730,636,-302
272,594,622,263,310,283,366,158,753,660,-318
280,615,643,256,322,280,391,180,753,684,-344
288,636,665,294,311,281,390,182,755,708,-364
296,658,687,256,322,283,415,205,754,732,-379
304,680,709,270,306,305,416,203,755,756,-382
312,702,730,273,305,305,415,229,753,780,-374
320,724,752,264,336,329,414,226,756,804,-367
328,746,774,275,298,329,439,228,755,828,-359
336,768,796,268,327,329,439,226,755,852,-351
344,790,818,278,289,330,463,229,754,876,-343
352,811,839,277,322,353,459,226,730,900,-334
360,832,861,329,272,354,487,181,731,924,-325
368,854,882,254,363,377,486,180,732,948,-322
376,875,904,192,388,378,488,158,731,972,-332
384,895,927,205,402,402,487,164,730,996,-358
392,914,951,230,379,401,513,117,732,1020,-399
400,932,975,246,394,425,511,114,731,1044,-456
408,951,1001,195,390,425,535,169,729,1068,-529
416,968,1027,209,402,427,533,204,709,1092,-617
424,986,1054,154,401,427,558,161,706,1116,-722
432,1002,1082,167,410,452,558,135,686,1140,-842
440,1018,1110,150,400,450,583,135,684,1164,-977
448,1032,1138,154,452,476,581,135,662,1188,-1129
456,1046,1168,142,437,473,604,140,658,1212,-1296
464,1060,1198,113,463,501,605,179,617,1236,-1478
472,1072,1230,222,352,497,619,179,614,1260,-1674
480,1086,1260,169,402,499,622,182,546,1284,-1870
488,1099,1290,168,405,497,668,181,541,1308,-2067
496,1112,1321,169,401,501,665,204,475,1332,-2263
504,1125,1351,212,360,498,691,206,472,1356,-2459
512,1138,1381,201,399,500,691,181,422,1380,-2656
520,1152,1411,123,424,498,712,180,415,1404,-2852
528,1164,1442,210,364,505,712,180,371,1428,-3049
536,1177,1472,198,403,503,736,182,368,1452,-3245
544,1190,1502,196,406,480,735,134,419,1476,-3442
552,1203,1533,162,413,479,761,134,416,1500,-3638
560,1216,1563,160,417,457,757,133,497,1524,-3835
568,1228,1594,212,367,456,759,135,495,1548,-4031
576,1242,1623,147,459,457,759,391,566,1572,-4227
584,1254,1654,199,409,478,785,391,566,1596,-4424
592,1268,1685,158,418,433,783,369,636,1620,-4620
600,1280,1715,197,410,432,784,367,636,1644,-4817
608,1293,1746,207,373,409,783,415,708,1668,-5013
616,1306,1776,196,411,407,810,415,706,1692,-5210
624,1320,1806,152,427,362,813,455,779,1716,-5406
632,1332,1838,206,371,360,805,453,777,1740,-5603
640,1345,1868,194,410,286,810,503,858,1764,-5799
648,1358,1899,204,372,286,738,499,853,1788,-5995
656,1371,1930,170,379,289,735,524,902,1812,-6192
664,1384,1961,170,376,287,713,523,899,1836,-6388
672,1396,1991,200,403,264,713,571,924,1860,-6585
680,1410,2022,169,377,264,642,568,921,1884,-6781
688,1423,2052,158,415,139,642,591,945,1908,-6978
696,1436,2083,158,413,137,605,591,944,1932,-7174
704,1448,2114,209,363,31,605,637,946,1956,-7371
712,1462,2144,157,413,32,510,636,944,1980,-7567
720,1475,2175,157,411,28,507,686,970,2004,-7763
728,1488,2206,167,373,29,391,684,968,2028,-7960
736,1500,2236,269,327,48,395,709,971,2052,-8156
744,1514,2266,256,312,49,254,710,971,2076,-8339
752,1528,2294,271,329,48,249,734,947,2100,-8507
760,1544,2322,253,319,49,55,732,947,2124,-8659
768,1560,2350,276,294,48,57,780,902,2148,-8796
776,1576,2377,303,268,49,107,776,899,2172,-8917
784,1592,2402,312,319,61,103,807,853,2196,-9022
792,1610,2428,312,268,61,105,801,855,2220,-9111
800,1628,2453,340,241,60,105,832,855,2244,-9185
808,1647,2477,321,262,61,106,834,854,2268,-9242
816,1667,2500,334,276,92,103,833,829,2292,-9285
824,1688,2523,322,260,92,109,834,832,2316,-9311
832,1709,2546,351,229,60,102,854,802,2340,-9322
840,1731,2567,289,294,60,128,857,802,2364,-9322
848,1752,2589,329,281,116,126,834,801,2388,-9322
856,1774,2610,325,286,114,129,836,801,2412,-9322
864,1796,2633,291,289,193,128,833,778,2436,-9322
872,1818,2654,322,285,193,127,837,778,2460,-9322
880,1840,2676,275,328,91,128,857,801,2484,-9322
888,1861,2698,259,346,90,150,859,799,2508,-9370
896,1882,2720,245,363,91,149,859,801,2532,-9417
904,1902,2742,237,377,91,130,859,800,2556,-9464
912,1922,2766,240,347,73,125,834,802,2580,-9512
920,1941,2790,279,334,74,150,835,799,2604,-9560
928,1960,2814,282,334,59,151,859,776,2628,-9607
936,1980,2839,243,341,59,152,856,776,2652,-9657
944,2000,2863,238,343,38,147,855,777,2676,-9706
952,2019,2888,243,336,37,151,853,775,2700,-9754
960,2038,2913,277,274,28,151,879,754,2724,-9794
968,2058,2936,356,247,28,150,878,750,2748,-9756
976,2080,2959,321,225,37,148,880,731,2772,-9709
984,2100,2981,418,185,37,104,878,727,2796,-9663
992,2122,3002,435,169,48,103,903,705,2820,-9615
1000,2144,3022,405,205,48,148,897,702,2844,-9569
1008,2168,3042,364,245,73,149,901,705,2868,-9520
1016,2192,3062,379,202,73,55,897,702,2892,-9472
1024,2216,3080,364,248,74,55,924,707,2916,-9425
1032,2240,3099,321,293,72,106,922,704,2940,-9396
1040,2265,3118,277,335,91,101,904,709,2964,-9396
1048,2288,3139,303,306,90,172,900,704,2988,-9406
1056,2312,3160,218,360,164,173,904,730,3012,-9432
1064,2334,3182,263,287,163,198,902,727,3036,-9463
1072,2355,3203,237,344,116,194,881,754,3060,-9496
1080,2376,3225,236,347,116,248,880,752,3084,-9526
1088,2398,3247,240,341,115,248,881,754,3108,-9545
1096,2420,3269,201,353,115,219,880,753,3132,-9557
1104,2440,3291,105,116,115,222,881,754,3156,-9556
1112,2458,3311,132,76,115,227,881,754,3177,-9550
1120,2475,3327,38,114,116,221,880,730,3197,-9541
1128,2490,3342,33,62,114,175,880,728,3215,-9533
1136,2502,3354,52,70,139,174,902,730,3231,-9524
1144,2514,3366,-1,62,139,222,905,728,3245,-9516
1152,2524,3376,-10,10,139,222,902,706,3257,-9511
1160,2532,3383,-39,36,140,197,903,706,3267,-9507
1168,2538,3390,-43,-19,140,197,904,708,3275,-9505
1176,2542,3394,-58,-33,139,219,903,706,3282,-9505
1184,2545,3398,-64,-90,140,219,903,707,3286,-9505
1192,2547,3399,-122,-94,139,216,901,705,3289,-9505
1200,2547,3398,-8,75,140,218,928,707,3289,-9505
1208,2547,3398,-35,48,139,215,924,705,3289,-9504
1216,2547,3398,0,0,166,222,904,709,3289,-9504
1224,2547,3398,0,0,164,251,902,705,3289,-9504
1232,2547,3398,0,0,93,250,905,708,3289,-9504
1240,2547,3398,0,0,89,224,905,706,3289,-9504
1248,2547,3398,0,0,116,222,905,708,3289,-9504
1256,2547,3398,0,0,115,200,903,707,3289,-9504
1264,2547,3398,0,0,141,198,905,708,3289,-9504
