# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 17:51:05
# test: turn -1
# period_ms=4 samples=184 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=76.0 front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=184
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,-146,147,90,220,903,706,0,0
4,0,0,-189,190,87,219,903,701,0,-6
8,-1,1,-167,169,95,251,902,702,0,-20
12,-3,2,-152,183,113,252,903,706,0,-42
16,-4,4,-204,181,113,251,904,699,0,-72
20,-7,5,-164,224,113,249,903,701,0,-110
24,-8,8,-245,197,114,252,903,699,0,-156
28,-11,10,-209,240,137,251,903,700,0,-210
32,-13,12,-277,283,134,248,903,688,0,-272
36,-16,16,-248,225,134,249,903,676,0,-342
40,-19,20,-276,249,135,223,902,674,0,-420
44,-23,24,-267,264,136,223,926,673,0,-506
48,-27,28,-295,293,135,221,926,664,0,-600
52,-31,33,-314,283,135,222,926,654,0,-702
56,-36,38,-306,299,135,251,924,651,0,-812
60,-42,44,-281,275,135,252,948,649,0,-930
64,-47,50,-346,310,136,251,949,625,0,-1056
68,-53,56,-337,327,135,245,946,606,0,-1190
72,-59,63,-355,315,135,222,946,604,0,-1332
76,-66,70,-344,329,162,223,995,603,0,-1482
80,-73,78,-359,315,161,222,995,553,0,-1640
84,-80,85,-399,380,160,221,993,536,0,-1806
88,-88,93,-380,360,159,174,992,532,0,-1980
92,-96,102,-395,347,381,175,1039,533,0,-2162
96,-105,111,-383,359,382,175,1042,435,0,-2352
100,-114,120,-268,244,381,174,1039,435,0,-2550
104,-123,130,-260,206,384,198,1036,433,0,-2750
108,-131,139,-311,253,581,198,1061,432,0,-2950
112,-141,148,-235,231,582,197,1063,317,0,-3150
116,-149,156,-322,294,580,197,1062,316,0,-3350
120,-159,165,-236,237,581,391,1061,315,0,-3550
124,-167,174,-312,258,768,392,1085,314,0,-3750
128,-176,184,-265,207,769,390,1086,173,0,-3950
132,-185,192,-287,283,767,391,1084,174,0,-4150
136,-195,201,-235,236,770,510,1085,173,0,-4350
140,-203,210,-311,257,943,511,1063,173,0,-4550
144,-212,220,-264,206,938,510,1062,50,0,-4750
148,-221,228,-286,282,938,509,1060,51,0,-4950
152,-230,237,-276,247,941,620,1062,49,0,-5150
156,-239,246,-275,246,1057,620,1017,49,0,-5350
160,-247,256,-304,217,1060,619,1017,32,0,-5550
164,-257,264,-250,271,1057,619,1017,32,0,-5750
168,-266,273,-275,246,1055,737,1016,31,0,-5950
172,-275,282,-274,245,1126,737,948,31,0,-6150
176,-284,292,-262,204,1127,734,948,41,0,-6350
180,-293,300,-144,139,1125,735,947,40,0,-6550
184,-302,309,-110,80,1128,830,948,41,0,-6744
188,-310,317,-131,101,1158,828,835,40,0,-6930
192,-317,325,-146,86,1154,828,834,42,0,-7108
196,-325,332,-94,88,1157,829,837,41,0,-7278
200,-331,338,-158,128,1151,900,838,42,0,-7440
204,-338,345,-87,56,1128,898,500,40,0,-7594
208,-344,351,-110,79,1130,897,501,41,0,-7740
212,-351,357,-44,43,1131,898,501,41,0,-7878
216,-356,362,-105,78,1127,969,499,39,0,-8008
220,-362,368,-30,3,1106,970,250,39,0,-8130
224,-367,372,-61,64,1107,971,250,43,0,-8244
228,-372,377,-23,1,1108,968,251,40,0,-8350
232,-377,381,-4,11,1106,1017,250,44,0,-8448
236,-381,384,-25,36,1056,1019,274,43,0,-8538
240,-384,387,-39,26,1058,1021,275,154,0,-8620
244,-387,390,-16,3,1057,1019,275,159,0,-8694
248,-391,392,39,6,1054,1065,272,157,0,-8760
252,-393,395,2,-36,1034,1065,298,157,0,-8818
256,-395,396,4,16,1035,1066,298,224,0,-8868
260,-397,398,41,-46,1037,1065,297,226,0,-8910
264,-399,399,59,-35,1034,1063,297,224,0,-8944
268,-399,400,7,-37,1009,1064,274,225,0,-8970
272,-401,400,98,-45,1013,1066,275,296,0,-8988
276,-401,401,69,-95,1010,1065,275,296,0,-8998
280,-401,401,-39,39,1005,1064,272,296,0,-9000
284,-401,401,-41,41,995,1064,297,293,0,-9000
288,-401,401,-46,46,987,1063,297,320,0,-9000
292,-401,401,-52,52,988,1063,295,317,0,-9000
296,-401,401,-58,58,985,1049,295,317,0,-9000
300,-401,401,-64,64,987,1043,275,317,0,-9000
304,-401,401,-70,70,987,1039,274,292,0,-9000
308,-401,401,-76,76,984,1038,272,292,0,-9000
312,-401,401,-82,82,984,1048,272,293,0,-9000
316,-401,401,-88,88,1011,1065,275,294,0,-9000
320,-401,401,-93,93,1011,1063,275,294,0,-9000
324,-401,401,-99,99,1009,1062,274,294,0,-9000
328,-402,402,15,-15,1007,1064,274,299,0,-9000
332,-402,402,-31,31,1013,1065,274,296,0,-9000
336,-401,402,0,0,1010,1067,275,301,0,-9000
340,-401,401,0,0,1010,1067,277,300,0,-9000
344,-401,401,0,0,1008,1064,275,299,0,-9000
348,-401,400,0,0,987,1067,290,298,0,-9000
352,-401,400,0,0,988,1066,299,276,0,-9000
356,-401,400,0,0,987,1067,298,276,0,-9000
360,-401,401,0,0,985,1064,298,275,0,-9000
364,-401,401,0,0,987,1065,298,275,0,-9000
368,-401,401,0,0,988,1068,299,301,0,-9000
372,-401,401,0,0,987,1067,299,300,0,-9000
376,-401,401,0,0,985,1064,297,300,0,-9000
380,-401,401,0,0,1010,1043,298,300,0,-9000
384,-401,401,0,0,1011,1043,299,300,0,-9000
388,-401,401,0,0,1009,1042,299,300,0,-9000
392,-401,401,0,0,1007,1042,299,299,0,-9000
396,-401,401,0,0,1012,1044,295,300,0,-9000
400,-401,401,0,0,1011,1041,276,300,0,-9000
404,-401,401,0,0,1009,1042,275,301,0,-9000
408,-401,401,0,0,1008,1042,275,299,0,-9000
412,-401,401,0,0,1010,1043,275,298,0,-9000
416,-401,401,0,0,1010,1042,275,276,0,-9000
420,-401,401,0,0,1011,1040,276,276,0,-9000
424,-401,401,0,0,1009,1040,275,276,0,-9000
428,-401,401,0,0,1011,1041,275,275,0,-9000
432,-401,401,0,0,1011,1042,274,299,0,-9000
436,-401,401,0,0,1011,1042,276,299,0,-9000
440,-401,401,0,0,1011,1044,274,300,0,-9000
444,-401,401,0,0,1012,1044,274,298,0,-9000
448,-401,401,0,0,1010,1041,321,301,0,-9000
452,-401,401,0,0,1010,1042,321,300,0,-9000
456,-401,401,0,0,1011,1042,323,300,0,-9000
460,-401,401,0,0,1011,1067,322,299,0,-9000
464,-401,401,0,0,1011,1066,300,299,0,-9000
468,-401,401,0,0,1010,1066,298,300,0,-9000
472,-401,401,0,0,1012,1067,298,300,0,-9000
476,-401,401,0,0,1011,1046,299,299,0,-9000
480,-401,401,0,0,1011,1041,276,300,0,-9000
