# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 17:57:23
# test: straight 1 300
# period_ms=4 samples=263 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=263
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,217,198,969,633,0,0
4,0,0,188,189,219,197,972,637,0,0
8,0,1,236,179,218,198,974,636,1,1
12,2,2,189,218,217,198,972,637,2,4
16,3,3,246,234,194,199,971,634,3,7
20,4,5,289,215,195,199,974,636,5,10
24,7,7,243,255,193,199,974,638,7,15
28,10,10,280,237,192,200,975,636,10,22
32,13,14,320,213,164,200,971,636,14,30
36,17,17,298,282,165,199,971,635,17,38
40,22,22,313,230,163,200,976,660,22,49
44,27,26,323,289,163,198,970,660,26,59
48,32,31,362,270,140,202,968,657,32,70
52,37,36,391,290,139,198,968,660,38,81
56,43,42,398,276,139,197,972,659,44,94
60,49,47,413,338,137,222,971,659,50,106
64,56,54,432,286,139,222,967,660,58,122
68,63,61,462,303,140,219,973,660,65,137
72,72,67,402,384,139,223,969,660,74,154
76,80,74,474,361,138,255,970,661,82,170
80,89,82,479,350,194,246,975,660,91,189
84,99,90,468,380,193,252,967,660,101,209
88,109,98,492,404,192,256,968,661,111,229
92,120,107,493,396,193,270,969,661,122,251
96,132,116,478,428,219,272,969,659,133,274
100,144,126,512,411,217,271,967,660,144,298
104,156,136,364,258,215,276,969,658,156,323
108,168,146,366,257,217,298,972,661,168,347
112,180,155,352,299,217,299,972,661,180,370
116,192,165,365,260,216,296,968,659,192,394
120,203,174,390,293,216,295,968,659,204,417
124,215,184,370,261,216,299,971,660,216,441
128,227,194,371,259,217,298,973,662,228,465
132,239,204,322,307,218,302,973,660,240,469
136,251,214,293,335,216,295,970,683,252,464
140,263,224,273,353,216,298,971,685,264,455
144,275,235,271,325,242,299,975,684,276,445
148,286,245,289,359,242,297,973,682,288,436
152,297,256,293,330,240,299,970,684,300,426
156,308,267,290,331,239,280,976,686,312,417
160,319,279,298,293,241,277,975,685,324,408
164,329,290,326,318,242,275,973,685,336,400
168,340,302,312,277,239,278,971,684,348,396
172,352,313,268,315,240,261,971,684,360,397
176,364,323,251,356,266,252,974,685,372,398
180,375,335,305,271,266,251,974,683,384,399
184,386,346,312,288,264,251,969,298,396,407
188,398,358,323,217,263,257,993,299,408,431
192,409,369,358,230,267,274,995,301,420,455
196,420,379,353,264,265,276,993,299,432,478
200,432,390,335,226,264,274,991,67,444,504
204,443,402,392,163,263,274,969,69,456,529
208,455,412,336,243,289,298,971,67,468,553
212,467,422,337,241,287,300,970,68,480,578
216,479,433,352,195,288,299,969,44,492,603
220,491,443,341,230,288,301,971,44,504,627
224,503,453,342,228,288,279,971,44,516,652
228,515,463,270,298,289,274,968,43,528,646
232,526,474,289,279,287,274,968,35,540,630
236,537,484,269,326,288,278,948,36,552,614
240,548,495,274,295,289,325,951,36,564,599
244,558,506,307,290,289,324,946,35,576,583
248,568,518,319,252,288,321,948,35,588,568
252,580,528,217,353,289,323,950,35,600,553
256,590,538,280,348,313,321,952,35,612,537
260,601,549,253,323,313,316,942,35,624,523
264,612,560,250,324,313,323,944,30,636,510
268,622,570,284,348,312,324,947,31,648,503
272,632,582,335,246,337,369,947,30,660,506
276,644,592,240,340,336,370,946,30,672,510
280,655,603,289,290,336,368,946,44,684,516
284,666,614,289,289,336,369,951,45,696,521
288,676,624,314,321,336,390,946,44,708,524
292,688,635,249,306,338,396,944,43,720,527
296,698,646,327,280,337,395,946,35,732,531
300,709,658,306,247,337,392,950,36,744,535
304,720,668,282,323,336,392,947,36,756,538
308,732,679,257,293,338,392,946,34,768,544
312,742,690,329,274,338,392,951,30,780,547
316,753,701,290,286,339,395,949,31,792,548
320,764,712,294,282,362,395,947,30,804,551
324,775,723,299,275,362,394,948,30,816,557
328,786,734,298,275,363,393,950,29,828,561
332,796,744,325,305,361,394,951,30,840,563
336,808,755,267,283,386,417,949,30,852,569
340,818,766,342,261,385,416,948,29,864,574
344,829,777,312,264,386,415,948,30,876,580
348,840,788,310,265,385,416,948,28,888,585
352,850,798,339,293,409,439,946,29,900,589
356,861,809,316,266,409,440,948,28,912,594
360,872,819,299,310,408,440,948,36,924,596
364,883,830,318,266,407,436,950,35,936,601
368,893,841,353,259,408,464,947,34,948,603
372,904,852,316,270,410,462,950,34,960,604
376,915,863,314,270,409,463,947,30,972,604
380,926,874,319,264,407,460,946,29,984,607
384,937,885,327,255,432,485,946,29,996,612
388,948,895,309,301,434,486,950,29,1008,615
392,958,906,363,250,433,485,946,35,1020,618
396,969,917,327,261,431,482,947,34,1032,620
400,980,928,332,254,458,486,947,34,1044,624
404,991,938,322,292,458,485,946,35,1056,629
408,1002,950,347,212,457,483,947,35,1068,634
412,1013,960,326,286,455,484,946,35,1080,639
416,1024,971,333,252,481,510,948,34,1092,642
420,1035,982,337,247,482,508,947,35,1104,646
424,1046,993,338,245,479,510,947,35,1116,650
428,1056,1004,384,227,480,514,946,34,1128,655
432,1068,1015,306,249,504,533,948,35,1140,659
436,1079,1026,339,240,505,535,947,35,1152,662
440,1090,1037,344,234,503,533,948,44,1164,666
444,1100,1047,374,261,504,532,948,43,1176,670
448,1112,1058,310,245,531,557,947,43,1188,674
452,1122,1070,374,205,530,556,948,43,1200,667
456,1133,1080,344,263,528,556,947,28,1212,673
460,1144,1091,351,229,529,556,948,28,1224,677
464,1155,1102,340,239,554,581,946,28,1236,676
468,1166,1113,302,276,554,580,946,28,1248,659
472,1176,1124,384,222,554,583,948,36,1260,662
476,1188,1135,313,238,553,580,926,34,1272,666
480,1198,1146,353,250,558,603,926,35,1284,655
484,1209,1157,282,295,556,604,922,34,1296,631
488,1220,1168,296,280,555,602,921,36,1308,616
492,1231,1179,299,276,556,604,947,35,1320,606
496,1241,1190,360,243,581,619,948,35,1332,606
500,1252,1200,293,313,581,620,945,36,1344,597
504,1264,1211,290,261,578,617,942,44,1356,602
508,1274,1222,369,235,580,618,947,43,1368,607
512,1285,1233,360,217,630,667,948,43,1380,623
516,1296,1243,262,344,630,666,945,43,1392,600
520,1307,1254,357,222,627,666,948,30,1404,617
524,1317,1265,400,207,627,666,949,29,1416,632
528,1328,1276,347,234,651,688,951,30,1428,637
532,1340,1286,242,339,652,685,950,30,1440,619
536,1350,1298,389,190,654,684,952,35,1452,626
540,1361,1308,333,274,649,684,951,33,1464,631
544,1372,1319,332,249,698,707,950,35,1476,632
548,1383,1330,273,307,699,707,950,35,1488,607
552,1393,1341,371,237,699,705,951,35,1500,611
556,1404,1352,344,238,698,710,949,35,1512,617
560,1415,1362,-9,-57,746,753,950,35,1524,621
564,1425,1373,-65,-85,746,751,948,35,1535,597
568,1434,1381,-90,-45,746,750,947,34,1546,585
572,1440,1389,277,82,750,742,944,36,1555,593
576,1448,1397,-2,-101,794,775,947,36,1565,598
580,1457,1405,-135,-70,794,775,947,35,1575,580
584,1464,1411,149,171,795,777,949,34,1583,575
588,1470,1418,381,243,795,772,947,35,1591,585
