# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 18:00:49
# test: curve -1 300
# period_ms=8 samples=188 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=188
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,116,223,903,752,0,0
8,0,0,221,223,114,212,878,752,1,0
16,4,4,198,224,117,215,881,731,3,-9
24,8,9,249,235,114,213,879,729,7,-19
32,15,15,216,280,117,266,881,732,14,-33
40,23,23,215,344,115,266,879,729,22,-51
48,32,34,309,310,118,339,881,754,32,-73
56,43,45,307,379,114,336,903,755,44,-97
64,54,58,325,410,118,314,903,754,58,-124
72,67,75,350,397,115,312,880,754,74,-157
80,80,93,444,427,116,310,882,753,91,-191
88,96,113,444,443,116,311,880,753,111,-219
96,115,135,440,432,116,313,879,751,133,-244
104,135,158,344,249,115,315,907,753,156,-233
112,156,180,343,304,141,317,903,753,180,-209
120,177,201,372,256,140,317,907,752,204,-181
128,198,221,429,260,171,339,906,731,228,-139
136,220,242,382,284,166,338,906,729,252,-112
144,244,262,327,337,141,315,906,731,276,-92
152,266,284,385,251,141,313,906,734,300,-76
160,290,305,291,313,165,293,904,752,324,-92
168,312,327,343,283,164,292,930,754,348,-97
176,335,350,348,243,194,269,927,754,372,-98
184,356,372,378,264,195,269,931,754,396,-98
192,379,394,362,249,194,316,926,753,420,-83
200,402,417,243,331,195,318,860,754,444,-112
208,424,439,222,350,195,292,858,752,468,-161
216,445,462,247,348,194,293,326,756,492,-209
224,468,485,183,375,220,316,322,752,516,-260
232,488,508,251,358,216,317,208,754,540,-308
240,509,531,332,275,217,338,205,751,564,-304
248,530,554,330,275,217,341,139,740,588,-290
256,552,576,288,289,241,361,136,727,612,-257
264,574,598,342,233,242,362,114,730,636,-224
272,596,619,345,231,242,386,115,729,660,-194
280,619,640,332,267,239,392,136,731,684,-169
288,640,660,350,285,266,417,134,729,708,-164
296,662,682,368,214,266,415,137,730,732,-162
304,684,703,312,297,267,416,135,732,756,-160
312,706,726,336,217,264,416,159,728,780,-156
320,728,747,288,266,289,416,159,729,804,-154
328,749,769,366,241,289,415,182,731,828,-152
336,771,790,320,288,314,427,183,732,852,-149
344,792,812,372,238,312,440,159,731,876,-146
352,814,834,383,200,314,444,158,731,900,-142
360,836,855,302,258,310,464,97,730,924,-139
368,857,877,278,322,362,462,97,733,948,-138
376,878,899,296,294,359,486,33,730,972,-148
384,900,921,215,372,361,486,35,729,996,-173
392,920,943,220,399,359,487,97,730,1020,-214
400,940,967,198,393,385,486,96,729,1044,-272
408,958,992,210,408,384,509,72,707,1068,-344
416,976,1017,226,394,408,509,73,705,1092,-433
424,994,1043,123,445,407,532,182,705,1116,-537
432,1011,1070,128,463,432,532,181,706,1140,-657
440,1027,1098,134,479,431,556,137,681,1164,-792
448,1042,1127,153,457,455,556,134,681,1188,-944
456,1056,1156,128,484,457,581,115,634,1212,-1111
464,1070,1186,109,476,456,579,114,634,1236,-1294
472,1082,1217,214,372,459,606,137,591,1260,-1489
480,1096,1246,159,430,458,606,135,590,1284,-1685
488,1108,1277,200,415,458,625,136,521,1308,-1882
496,1121,1307,198,419,457,621,134,522,1332,-2078
504,1134,1338,208,382,456,647,136,450,1356,-2275
512,1147,1369,164,424,456,644,135,448,1380,-2471
520,1160,1399,196,418,457,669,115,372,1404,-2668
528,1172,1430,213,379,458,667,115,371,1428,-2864
536,1186,1461,196,413,457,693,115,347,1452,-3061
544,1199,1491,160,427,435,691,117,348,1476,-3257
552,1212,1522,160,424,431,713,182,393,1500,-3453
560,1224,1553,201,410,434,714,181,394,1524,-3650
568,1238,1583,158,426,431,714,229,472,1548,-3846
576,1251,1614,158,423,408,712,227,473,1572,-4043
584,1264,1645,158,420,405,713,417,565,1596,-4239
592,1276,1676,209,371,387,713,416,566,1620,-4436
600,1289,1706,198,410,384,714,439,613,1644,-4632
608,1302,1737,198,407,338,715,439,616,1668,-4829
616,1315,1767,161,421,336,738,478,684,1692,-5025
624,1328,1798,206,374,312,738,476,683,1716,-5221
632,1340,1828,201,410,311,714,523,729,1740,-5418
640,1354,1859,169,385,264,712,524,730,1764,-5614
648,1366,1890,211,370,264,668,570,778,1788,-5811
656,1379,1920,164,419,240,667,569,777,1812,-6007
664,1392,1950,197,413,239,644,618,831,1836,-6204
672,1404,1980,192,449,194,643,615,829,1860,-6400
680,1418,2010,158,431,191,604,639,852,1884,-6597
688,1430,2041,199,416,139,603,639,851,1908,-6793
696,1443,2071,197,420,138,533,686,852,1932,-6989
704,1456,2102,197,418,139,532,685,853,1956,-7186
712,1469,2132,161,432,138,462,711,876,1980,-7382
720,1482,2163,170,394,90,462,709,876,2004,-7579
728,1494,2194,212,380,90,369,757,877,2028,-7775
736,1508,2224,231,358,47,366,757,878,2052,-7971
744,1521,2254,259,331,44,105,804,853,2076,-8155
752,1536,2283,234,354,91,104,803,853,2100,-8322
760,1551,2312,260,325,90,45,835,801,2124,-8475
768,1566,2339,278,339,114,45,836,798,2148,-8611
776,1583,2366,264,326,114,56,858,773,2172,-8732
784,1600,2393,290,296,91,57,860,772,2196,-8837
792,1617,2419,321,267,90,45,883,751,2220,-8926
800,1636,2444,343,243,91,45,881,747,2244,-9000
808,1656,2468,317,266,91,36,905,726,2268,-9058
816,1676,2492,308,248,91,36,902,723,2292,-9100
824,1696,2514,359,252,91,28,906,704,2316,-9126
832,1717,2537,388,221,93,29,903,701,2340,-9137
840,1739,2559,294,289,92,29,927,703,2364,-9137
848,1760,2581,299,286,91,29,924,701,2388,-9137
856,1782,2602,295,291,90,129,903,704,2412,-9137
864,1804,2624,259,300,115,126,902,701,2436,-9137
872,1826,2646,292,290,114,128,905,701,2460,-9137
880,1848,2667,244,340,115,126,902,700,2484,-9137
888,1869,2689,301,284,113,150,928,703,2508,-9149
