# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 18:01:08
# test: turn 2
# period_ms=4 samples=287 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=287
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,146,-147,217,153,925,708,0,0
4,0,-1,177,-149,216,145,926,709,0,6
8,1,-2,165,-162,215,144,923,704,0,20
12,2,-4,179,-147,216,169,925,703,0,42
16,3,-5,218,-211,193,168,927,708,0,72
20,5,-8,185,-149,195,168,927,708,0,110
24,6,-10,263,-222,192,167,925,707,0,156
28,8,-12,259,-243,193,192,928,705,0,210
32,10,-15,280,-235,218,192,927,708,0,272
36,14,-18,232,-241,218,191,927,708,0,342
40,18,-21,256,-269,217,193,926,708,0,420
44,22,-25,271,-260,217,168,906,706,0,506
48,26,-29,299,-288,218,168,905,728,0,600
52,30,-34,319,-278,218,169,903,732,0,702
56,35,-39,310,-294,219,168,903,728,0,812
60,40,-44,339,-324,223,146,881,729,0,930
64,46,-51,306,-261,219,147,879,771,0,1056
68,53,-57,301,-310,226,144,878,779,0,1190
72,59,-63,365,-350,219,146,881,776,0,1332
76,66,-70,344,-329,217,144,838,776,0,1482
80,74,-78,318,-303,219,146,837,823,0,1640
84,81,-85,393,-378,226,145,834,832,0,1806
88,89,-93,373,-358,218,145,838,830,0,1980
92,97,-102,388,-344,217,219,782,832,0,2162
96,106,-111,376,-357,218,219,781,888,0,2352
100,115,-120,261,-241,218,219,779,907,0,2550
104,124,-129,265,-245,217,221,779,900,0,2750
108,133,-138,265,-245,218,509,663,900,0,2950
112,142,-147,265,-245,197,511,662,936,0,3150
116,151,-156,264,-244,194,509,661,946,0,3350
120,160,-164,276,-285,195,507,663,944,0,3550
124,169,-173,266,-250,194,737,572,946,0,3750
128,178,-182,266,-250,290,735,571,967,0,3950
132,187,-191,265,-250,293,735,569,970,0,4150
136,196,-199,277,-291,290,735,570,970,0,4350
