# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 18:01:23
# test: curve 1 300
# period_ms=8 samples=188 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=188
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,116,251,859,802,0,0
8,0,1,231,184,165,241,859,802,1,-1
16,4,4,198,224,163,246,856,801,3,-9
24,9,9,205,250,164,293,858,802,7,-20
32,14,15,296,254,163,292,857,803,14,-32
40,21,23,303,314,195,267,860,777,22,-49
48,31,34,272,352,192,268,859,777,32,-72
56,40,46,331,364,166,316,858,802,44,-95
64,51,60,351,388,164,314,859,802,58,-123
72,64,76,368,413,118,290,859,804,74,-155
80,79,94,418,427,117,290,860,801,91,-191
88,95,114,444,419,91,245,859,775,111,-231
96,113,135,449,482,90,243,859,775,133,-274
104,133,159,289,333,94,247,883,779,156,-323
112,152,183,331,320,91,244,883,777,180,-370
120,172,206,327,301,118,292,882,776,204,-402
128,192,228,382,278,117,293,880,776,228,-377
136,213,250,350,287,194,322,880,778,252,-357
144,236,271,281,353,192,321,879,775,276,-358
152,258,294,341,261,194,322,902,778,300,-356
160,280,316,318,282,194,323,902,780,324,-337
168,302,338,361,262,195,345,904,777,348,-318
176,325,360,361,254,194,347,905,778,372,-298
184,348,383,332,222,193,299,904,776,396,-282
192,370,405,340,262,194,297,903,774,420,-286
200,392,428,338,257,245,345,904,776,444,-293
208,415,450,329,259,242,344,903,776,468,-298
216,436,472,416,199,267,346,904,372,492,-280
