# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-25 18:03:14
# test: turn -1
# period_ms=4 samples=172 capacity=320 result=OK build="Sep 25 2026 17:39:34"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=700 curve=400 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168 center_l=89.0 center_r=7@D INFO front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=172
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,-146,147,1010,970,229,685,0,0
4,0,0,-189,190,1006,966,226,675,0,-6
8,-1,1,-167,169,1008,968,226,677,0,-20
12,-1,2,-235,207,1007,968,227,678,0,-42
16,-2,4,-218,185,1008,968,229,677,0,-72
20,-3,7,-236,170,1005,996,227,674,0,-110
24,-4,9,-280,234,1008,997,226,677,0,-156
28,-6,12,-263,213,1009,996,252,679,0,-210
32,-8,15,-294,240,1005,996,252,673,0,-272
36,-10,17,-341,312,1007,998,251,675,0,-342
40,-14,21,-274,245,996,997,251,676,0,-420
44,-18,24,-311,312,984,996,228,653,0,-506
48,-22,29,-318,264,983,993,229,654,0,-600
52,-26,33,-360,331,984,998,228,650,0,-702
56,-31,39,-329,271,973,995,228,654,0,-812
60,-36,44,-368,335,961,995,228,610,0,-930
64,-42,50,-348,315,958,995,228,607,0,-1056
68,-48,57,-362,300,959,1006,229,604,0,-1190
72,-54,64,-390,323,939,1020,228,608,0,-1332
76,-61,71,-379,338,910,1016,258,537,0,-1482
80,-68,78,-407,365,909,1017,275,534,0,-1640
84,-76,86,-384,343,909,1023,277,537,0,-1806
88,-84,95,-397,326,878,1044,276,537,0,-1980
92,-93,103,-393,377,840,1042,287,515,0,-2162
96,-102,112,-406,364,838,1042,300,514,0,-2352
100,-110,121,-333,261,839,1044,301,514,0,-2550
104,-120,131,-249,202,799,1041,299,517,0,-2750
108,-129,140,-293,247,748,1041,298,678,0,-2950
112,-138,149,-293,246,746,1041,299,678,0,-3150
116,-147,159,-281,205,746,1043,299,677,0,-3350
120,-156,168,-290,239,689,1021,299,679,0,-3550
124,-165,176,-302,280,629,1020,297,797,0,-3750
128,-174,185,-292,245,630,1020,298,797,0,-3950
132,-183,194,-292,245,629,1019,299,795,0,-4150
136,-193,203,-250,233,572,945,299,796,0,-4350
140,-202,212,-284,242,530,952,298,873,0,-4550
144,-211,221,-284,242,529,946,298,873,0,-4750
148,-220,230,-284,242,527,944,299,871,0,-4950
152,-229,239,-283,241,439,853,297,872,0,-5150
156,-238,248,-283,241,385,854,297,918,0,-5350
160,-247,256,-295,282,385,853,275,919,0,-5550
164,-257,265,-244,235,384,853,274,919,0,-5750
168,-266,274,-278,245,276,735,274,917,0,-5950
172,-274,284,-307,215,241,735,275,895,0,-6150
176,-284,292,-252,269,242,736,252,895,0,-6350
180,-293,301,-137,103,240,736,251,896,0,-6550
184,-302,310,-113,78,186,558,251,896,0,-6744
188,-310,318,-134,99,166,557,250,874,0,-6930
192,-317,325,-161,126,170,556,417,877,0,-7108
196,-324,332,-140,105,165,557,417,874,0,-7278
200,-331,339,-116,82,167,222,415,873,0,-7440
204,-338,345,-101,96,167,222,414,828,0,-7594
208,-344,352,-103,43,167,222,805,830,0,-7740
212,-350,358,-88,53,171,223,803,829,0,-7878
216,-356,364,-61,26,165,105,801,824,0,-8008
220,-362,369,-42,36,167,104,801,750,0,-8130
224,-367,373,-64,62,169,104,641,751,0,-8244
228,-372,378,-26,-1,169,103,640,752,0,-8350
232,-377,382,-6,9,143,174,638,747,0,-8448
236,-381,385,-27,34,115,174,639,707,0,-8538
240,-384,388,-42,24,119,175,547,705,0,-8620
244,-388,392,35,-53,114,174,546,708,0,-8694
248,-390,394,-37,19,130,197,545,705,0,-8760
252,-394,396,66,-26,163,199,547,658,0,-8818
256,-395,398,-20,-18,164,199,454,661,0,-8868
260,-397,399,29,-14,163,198,454,661,0,-8910
264,-398,400,16,-25,164,222,453,658,0,-8944
268,-400,401,81,-62,164,223,454,638,0,-8970
272,-401,402,74,-80,164,223,417,635,0,-8988
276,-402,402,99,-76,163,222,415,635,0,-8998
280,-402,401,-43,72,163,223,415,634,0,-9000
284,-402,401,-29,34,140,224,416,632,0,-9000
288,-402,401,0,0,139,223,394,639,0,-9000
292,-402,401,0,0,140,224,394,639,0,-9000
296,-402,401,0,0,140,198,395,637,0,-9000
300,-402,401,0,0,141,200,393,638,0,-9000
304,-402,401,0,0,141,199,418,638,0,-9000
308,-402,401,0,0,140,199,418,640,0,-9000
312,-402,401,0,0,140,225,417,638,0,-9000
316,-402,401,0,0,141,224,416,638,0,-9000
320,-402,401,0,0,140,223,395,638,0,-9000
324,-402,401,0,0,140,222,396,639,0,-9000
328,-402,401,0,0,140,200,393,637,0,-9000
332,-402,401,0,0,117,200,393,638,0,-9000
336,-402,401,0,0,115,197,417,637,0,-9000
340,-402,401,0,0,114,197,418,635,0,-9000
344,-402,401,0,0,116,176,416,637,0,-9000
348,-402,401,0,0,92,177,415,636,0,-9000
352,-402,401,0,0,91,174,441,637,0,-9000
356,-402,401,0,0,91,174,441,637,0,-9000
360,-402,401,0,0,92,153,440,637,0,-9000
364,-402,401,0,0,93,152,439,638,0,-9000
368,-402,401,0,0,91,151,394,636,0,-9000
372,-402,401,0,0,92,151,394,637,0,-9000
376,-402,401,0,0,92,176,392,636,0,-9000
380,-402,401,0,0,116,176,392,638,0,-9000
384,-402,401,0,0,117,176,418,637,0,-9000
388,-402,401,0,0,116,173,417,638,0,-9000
392,-402,401,0,0,115,200,416,637,0,-9000
396,-402,401,0,0,141,199,416,637,0,-9000
400,-402,401,0,0,141,199,442,639,0,-9000
404,-402,401,0,0,141,200,441,637,0,-9000
408,-402,401,0,0,140,199,439,637,0,-9000
412,-402,401,0,0,165,200,439,637,0,-9000
416,-402,401,0,0,166,200,418,637,0,-9000
420,-402,401,0,0,166,199,419,639,0,-9000
424,-402,401,0,0,165,223,415,637,0,-9000
428,-402,401,0,0,140,223,414,636,0,-9000
432,-402,401,0,0,141,224,417,636,0,-9000
436,-402,401,0,0,141,222,417,637,0,-9000
440,-402,401,0,0,139,200,414,637,0,-9000
444,-402,401,0,0,117,199,415,637,0,-9000
448,-402,401,0,0,116,198,417,637,0,-9000
452,-402,401,0,0,117,198,417,636,0,-9000
456,-402,401,0,0,116,223,416,637,0,-9000
460,-402,401,0,0,166,225,416,637,0,-9000
464,-402,401,0,0,167,223,417,638,0,-9000
468,-402,401,0,0,167,223,417,637,0,-9000
472,-402,401,0,0,165,224,417,637,0,-9000
476,-402,401,0,0,141,224,416,639,0,-9000
480,-402,401,0,0,142,223,393,637,0,-9000
484,-402,401,0,0,141,222,395,636,0,-9000
488,-402,401,0,0,140,225,392,636,0,-9000
492,-402,401,0,0,141,224,393,638,0,-9000
496,-402,401,0,0,141,223,416,636,0,-9000
500,-402,401,0,0,141,221,418,635,0,-9000
504,-402,401,0,0,140,253,416,638,0,-9000
508,-402,401,0,0,141,253,416,637,0,-9000
512,-402,401,0,0,141,252,417,637,0,-9000
