# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 09:49:18
# test: turn 2
# period_ms=4 samples=266 capacity=320 result=OK build="Sep 25 2026 21:59:39"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=266
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,146,-147,985,968,862,775,0,0
4,0,0,189,-190,981,968,861,773,0,6
8,1,-1,167,-169,982,966,863,775,0,20
12,2,-2,194,-195,1006,967,861,774,0,42
16,4,-3,182,-212,1004,968,861,774,0,72
20,7,-5,154,-190,1003,965,861,751,0,110
24,9,-6,228,-268,1004,965,860,751,0,156
28,12,-9,195,-210,1004,960,839,749,0,210
32,14,-11,272,-287,1004,945,839,750,0,272
36,17,-14,256,-271,1004,945,839,774,0,342
40,20,-18,274,-260,1003,942,839,774,0,420
44,24,-22,265,-276,1005,943,806,775,0,506
48,28,-26,293,-304,1004,920,807,774,0,600
52,32,-31,313,-294,1002,919,806,798,0,702
56,38,-37,251,-257,1005,922,807,799,0,812
60,43,-42,324,-331,1005,921,760,798,0,930
64,48,-49,332,-280,1003,899,760,798,0,1056
68,54,-55,334,-332,1003,900,757,849,0,1190
72,60,-62,351,-320,1007,904,760,853,0,1332
76,68,-69,299,-322,1030,900,715,852,0,1482
80,75,-76,361,-359,1027,856,716,852,0,1640
84,82,-84,379,-348,1028,852,713,897,0,1806
88,90,-92,369,-363,1028,855,715,898,0,1980
92,98,-101,385,-349,1030,853,694,900,0,2162
96,106,-109,425,-415,1029,791,692,901,0,2352
100,116,-118,225,-243,1027,783,690,944,0,2550
104,124,-128,293,-228,1027,782,687,943,0,2750
108,133,-137,268,-253,1030,783,758,945,0,2950
112,142,-146,268,-252,1029,692,840,946,0,3150
116,152,-154,238,-281,1028,691,837,990,0,3350
120,160,-163,304,-268,1027,688,836,989,0,3550
124,169,-172,269,-258,1008,690,851,993,0,3750
128,178,-181,269,-258,1007,739,931,993,0,3950
132,187,-190,269,-258,1005,739,931,1015,0,4150
136,196,-198,281,-299,1006,736,929,1015,0,4350
140,205,-207,271,-264,912,737,931,1015,0,4550
144,214,-216,271,-264,912,923,1002,1016,0,4750
148,223,-225,270,-264,912,921,997,1012,0,4950
152,232,-233,282,-305,910,919,998,1014,0,5150
156,241,-242,272,-270,794,922,999,1015,0,5350
160,250,-251,272,-270,795,1019,1025,1017,0,5550
164,260,-260,231,-258,793,1016,1022,969,0,5750
168,268,-269,307,-279,793,1019,1021,969,0,5950
172,277,-278,272,-270,675,1018,1022,969,0,6150
176,286,-287,272,-269,676,1113,1024,971,0,6350
180,295,-296,132,-129,676,1110,1023,879,0,6550
184,304,-304,120,-145,674,1109,1021,877,0,6744
188,312,-313,119,-91,770,1108,1022,876,0,6930
192,320,-320,115,-140,773,1132,1001,877,0,7108
196,327,-327,129,-130,772,1135,1003,754,0,7278
200,333,-334,147,-118,768,1133,1000,755,0,7440
204,340,-340,98,-123,889,1130,1000,753,0,7594
208,346,-346,111,-112,888,1134,977,753,0,7740
212,352,-352,87,-87,888,1137,977,615,0,7878
216,358,-358,60,-60,889,1135,978,614,0,8008
220,364,-363,41,-71,986,1132,975,613,0,8130
224,368,-368,93,-68,987,1108,909,612,0,8244
228,374,-373,-11,-18,985,1110,906,442,0,8350
232,378,-377,45,-50,984,1108,907,442,0,8448
236,382,-382,8,17,1057,1108,907,441,0,8538
240,385,-385,42,-42,1055,1087,863,442,0,8620
244,388,-388,19,-19,1055,1085,860,323,0,8694
248,392,-391,-48,19,1053,1083,860,322,0,8760
252,394,-394,-2,27,1078,1084,861,322,0,8818
256,396,-395,-3,-25,1080,1088,807,322,0,8868
260,398,-397,-40,36,1078,1086,807,227,0,8910
264,399,-398,-17,13,1077,1084,805,226,0,8944
268,400,-400,-53,79,1103,1085,806,227,0,8970
272,400,-401,-29,60,1103,1063,807,227,0,8988
276,401,-402,-101,106,1101,1064,807,156,0,8998
280,401,-402,39,-35,1099,1060,803,158,0,9000
284,401,-402,0,0,1102,1061,806,157,0,9000
288,401,-402,0,0,1105,1066,785,156,0,9000
292,401,-402,0,0,1099,1062,779,157,0,9000
296,401,-402,0,0,1098,1063,780,159,0,9000
300,401,-402,0,0,1104,1066,782,156,0,9000
304,401,-402,0,0,1103,1065,783,157,0,9000
308,401,-402,0,0,1100,1063,781,204,0,9000
312,401,-402,0,0,1100,1065,781,204,0,9000
316,401,-402,0,0,1104,1063,782,203,0,9000
320,401,-402,0,0,1104,1066,807,204,0,9000
324,401,-402,0,0,1101,1065,807,182,0,9000
328,401,-402,0,0,1104,1066,806,181,0,9000
332,401,-402,0,0,1104,1066,806,180,0,9000
336,401,-402,0,0,1105,1063,808,181,0,9000
340,401,-402,0,0,1105,1064,807,134,0,9000
344,401,-402,0,0,1104,1067,805,135,0,9000
348,401,-402,0,0,1105,1065,805,134,0,9000
352,401,-402,0,0,1105,1065,808,132,0,9000
356,401,-402,0,0,1104,1065,808,180,0,9000
360,401,-402,0,0,1103,1065,807,182,0,9000
364,401,-402,0,0,1102,1063,806,180,0,9000
368,401,-402,0,0,1104,1065,806,181,0,9000
372,401,-402,0,0,1104,1066,809,182,0,9000
376,401,-402,0,0,1103,1066,807,182,0,9000
380,401,-402,0,0,1104,1064,806,181,0,9000
384,401,-402,168,-169,1102,1064,805,178,0,9002
388,402,-403,151,-152,1103,1064,808,181,0,9012
392,403,-404,176,-177,1101,1063,805,181,0,9030
396,404,-406,191,-163,1124,1062,805,179,0,9056
400,406,-408,179,-176,1125,1062,839,179,0,9090
404,408,-410,204,-201,1126,1071,841,158,0,9132
408,411,-411,203,-259,1125,1064,839,158,0,9182
412,414,-414,206,-212,1125,1068,836,154,0,9240
416,416,-416,285,-291,1125,1065,810,156,0,9306
420,419,-419,270,-276,1127,1068,810,229,0,9380
424,423,-422,261,-297,1126,1063,803,227,0,9462
428,426,-427,307,-259,1146,1064,803,224,0,9552
432,431,-431,271,-302,1148,1039,779,225,0,9650
436,436,-436,285,-292,1148,1042,780,29,0,9756
440,440,-442,342,-290,1147,1044,779,28,0,9870
444,446,-447,306,-334,1147,1038,780,27,0,9992
448,452,-453,321,-324,1147,994,734,28,0,10122
452,458,-459,350,-352,1149,994,734,28,0,10260
456,465,-466,328,-330,1149,1003,734,27,0,10406
460,472,-474,341,-314,1171,991,733,28,0,10560
464,479,-481,380,-378,1171,944,686,28,0,10722
468,487,-489,358,-357,1173,946,686,28,0,10892
472,495,-497,384,-383,1173,941,685,28,0,11070
476,504,-506,361,-359,1195,940,684,26,0,11256
480,512,-514,438,-436,1196,873,754,27,0,11450
484,521,-523,270,-268,1194,880,760,28,0,11650
488,530,-533,259,-227,1194,880,757,28,0,11850
492,540,-542,227,-249,1195,881,756,28,0,12050
496,548,-550,315,-312,1196,810,928,28,0,12250
500,557,-559,270,-268,1195,811,931,28,0,12450
504,566,-568,270,-267,1194,812,927,27,0,12650
508,575,-577,270,-267,1170,801,926,27,0,12850
512,584,-586,270,-267,1172,711,1021,28,0,13050
516,592,-594,323,-320,1170,714,1019,29,0,13250
520,602,-603,237,-264,1169,710,1016,27,0,13450
524,611,-613,260,-232,1078,709,1016,28,0,13650
528,620,-622,269,-267,1080,579,1087,28,0,13850
532,628,-630,322,-320,1078,580,1089,53,0,14050
536,637,-639,278,-276,1077,580,1086,54,0,14250
540,646,-648,278,-275,964,577,1087,53,0,14450
544,656,-657,237,-263,963,463,1111,53,0,14650
548,664,-666,312,-285,961,462,1112,28,0,14850
552,674,-675,236,-263,962,461,1114,28,0,15050
556,683,-684,271,-273,769,462,1113,28,0,15250
560,692,-693,271,-273,770,275,1092,27,0,15450
564,700,-702,162,-134,769,277,1093,28,0,15648
568,709,-710,110,-136,767,273,1088,29,0,15838
572,717,-718,120,-121,554,276,1089,29,0,16020
576,724,-726,133,-105,554,152,1069,30,0,16194
580,732,-733,80,-105,552,151,1067,67,0,16360
584,738,-739,143,-143,551,150,1065,66,0,16518
588,744,-745,123,-124,337,150,1068,66,0,16668
592,751,-751,59,-89,336,174,1021,67,0,16810
596,757,-758,56,-31,334,175,1023,564,0,16944
600,763,-763,49,-78,333,176,1021,566,0,17070
604,768,-769,48,-23,48,174,1022,564,0,17188
608,773,-774,31,-31,48,103,953,564,0,17298
612,778,-778,14,-43,47,103,953,658,0,17400
616,782,-783,12,13,47,103,954,659,0,17494
620,785,-786,48,-48,30,105,953,659,0,17580
624,788,-790,15,15,30,31,907,657,0,17658
628,792,-793,-42,17,31,30,906,706,0,17728
632,794,-796,6,23,31,31,910,708,0,17790
636,796,-798,-6,11,27,30,908,706,0,17844
640,798,-800,-31,36,27,68,885,704,0,17890
644,800,-802,-60,65,30,67,884,752,0,17928
648,801,-802,-26,2,28,67,883,753,0,17958
652,802,-803,-62,63,28,68,883,750,0,17980
656,803,-804,-91,92,28,83,861,751,0,17994
660,803,-804,-89,90,29,324,862,752,0,18000
664,803,-804,0,0,29,321,860,754,0,18000
668,803,-804,0,0,28,321,861,751,0,18000
672,803,-804,0,0,29,29,862,750,0,18000
676,803,-804,0,0,28,30,862,756,0,18000
680,803,-803,0,0,28,30,860,755,0,18000
684,802,-803,0,0,27,29,860,751,0,18000
688,802,-803,0,0,28,28,863,751,0,18000
692,802,-802,0,0,28,29,864,754,0,18000
696,802,-802,0,0,29,30,859,751,0,18000
700,802,-802,0,0,29,29,861,750,0,18000
704,802,-802,0,0,29,29,862,750,0,18000
708,802,-802,0,0,27,28,863,754,0,18000
712,802,-802,0,0,27,29,862,753,0,18000
716,802,-802,0,0,28,29,861,753,0,18000
720,802,-802,0,0,27,28,861,750,0,18000
724,802,-802,0,0,27,31,861,751,0,18000
728,802,-802,0,0,27,32,860,753,0,18000
732,802,-802,0,0,28,31,863,753,0,18000
736,802,-802,0,0,28,31,862,751,0,18000
740,802,-802,0,0,29,127,862,752,0,18000
744,802,-802,0,0,27,132,862,754,0,18000
748,802,-802,0,0,27,127,863,754,0,18000
752,802,-802,0,0,28,126,863,751,0,18000
756,802,-802,0,0,29,198,863,751,0,18000
760,802,-802,0,0,28,200,862,754,0,18000
764,802,-802,0,0,29,199,861,751,0,18000
768,802,-802,0,0,27,197,862,753,0,18000
772,802,-802,0,0,28,273,864,753,0,18000
776,802,-802,0,0,29,274,863,753,0,18000
780,802,-802,0,0,74,274,861,753,0,18000
784,802,-802,0,0,73,273,862,751,0,18000
788,802,-802,0,0,74,28,864,752,0,18000
792,802,-802,0,0,74,30,863,752,0,18000
796,802,-802,0,0,28,30,862,753,0,18000
800,802,-802,0,0,27,28,863,753,0,18000
804,802,-802,0,0,29,104,862,751,0,18000
808,802,-802,0,0,30,105,863,752,0,18000
812,802,-802,0,0,29,103,861,752,0,18000
816,802,-802,0,0,27,104,862,752,0,18000
820,802,-802,0,0,27,28,863,753,0,18000
824,802,-802,0,0,29,28,860,751,0,18000
828,802,-802,0,0,29,31,859,751,0,18000
832,802,-802,0,0,27,29,859,751,0,18000
836,802,-802,0,0,27,29,862,753,0,18000
840,802,-802,0,0,28,27,863,755,0,18000
844,802,-802,0,0,29,29,863,752,0,18000
848,802,-802,0,0,29,31,862,751,0,18000
852,802,-802,0,0,28,29,861,753,0,18000
856,802,-802,0,0,28,28,863,754,0,18000
860,802,-802,0,0,28,29,864,754,0,18000
864,802,-802,0,0,28,31,860,752,0,18000
868,802,-802,0,0,28,30,862,753,0,18000
872,802,-802,0,0,28,28,862,755,0,18000
876,802,-802,0,0,29,30,862,753,0,18000
880,802,-802,0,0,29,30,863,752,0,18000
884,802,-802,0,0,28,105,862,753,0,18000
888,802,-802,0,0,28,104,863,756,0,18000
892,802,-802,0,0,28,104,864,754,0,18000
896,802,-802,0,0,29,105,863,752,0,18000
900,802,-802,0,0,29,31,862,752,0,18000
904,802,-802,0,0,28,29,862,755,0,18000
908,802,-802,0,0,28,28,861,753,0,18000
912,802,-802,0,0,27,27,863,750,0,18000
916,802,-802,0,0,30,46,861,752,0,18000
920,802,-802,0,0,29,46,861,753,0,18000
924,802,-802,0,0,47,44,861,754,0,18000
928,802,-802,0,0,48,43,863,751,0,18000
932,802,-802,0,0,50,30,863,752,0,18000
936,802,-802,0,0,50,30,862,754,0,18000
940,802,-802,0,0,30,28,863,754,0,18000
944,802,-802,0,0,31,28,862,751,0,18000
948,802,-802,0,0,34,30,864,753,0,18000
952,802,-802,0,0,33,30,862,755,0,18000
956,802,-802,0,0,36,30,863,753,0,18000
960,802,-802,0,0,38,28,862,751,0,18000
964,802,-802,0,0,39,28,863,752,0,18000
968,802,-802,0,0,39,31,862,753,0,18000
972,802,-802,0,0,64,30,861,752,0,18000
976,802,-802,0,0,90,29,861,752,0,18000
980,802,-802,0,0,90,29,864,753,0,18000
984,802,-802,0,0,92,30,865,753,0,18000
988,802,-802,0,0,79,31,863,753,0,18000
992,802,-802,0,0,59,31,861,753,0,18000
996,802,-802,0,0,59,28,887,754,0,18000
1000,802,-802,0,0,60,28,887,753,0,18000
1004,802,-802,0,0,56,32,885,754,0,18000
1008,802,-802,0,0,46,30,883,754,0,18000
1012,802,-802,0,0,47,82,862,753,0,18000
1016,802,-802,0,0,48,81,863,753,0,18000
1020,802,-802,0,0,47,83,862,750,0,18000
1024,802,-802,0,0,37,83,861,752,0,18000
1028,802,-802,0,0,37,28,862,753,0,18000
1032,802,-802,0,0,38,28,862,752,0,18000
1036,802,-802,0,0,38,31,863,752,0,18000
1040,802,-802,0,0,28,31,860,753,0,18000
1044,802,-802,0,0,27,29,862,754,0,18000
1048,802,-802,0,0,27,27,863,753,0,18000
1052,802,-802,0,0,27,28,863,752,0,18000
1056,802,-802,0,0,28,30,861,751,0,18000
1060,802,-802,0,0,28,31,861,751,0,18000
