# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 09:49:42
# test: straight 1 300
# period_ms=4 samples=301 capacity=320 result=OK build="Sep 25 2026 21:59:39"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=301
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,28,128,863,755,0,0
4,0,0,188,189,24,128,863,754,0,0
8,0,0,221,223,24,127,863,752,1,0
12,2,1,170,241,25,127,864,750,2,-3
16,3,3,240,216,24,29,863,752,3,-7
20,6,5,179,266,26,28,862,751,5,-12
24,8,8,247,242,25,29,862,752,7,-18
28,11,11,229,278,24,28,862,753,10,-24
32,14,15,259,266,24,30,862,754,14,-32
36,18,19,240,302,24,27,861,747,17,-41
40,22,24,268,290,23,29,861,749,22,-51
44,26,29,291,313,25,28,885,751,26,-61
48,30,35,325,298,24,28,886,753,32,-72
52,34,40,344,357,24,28,884,752,38,-82
56,40,46,294,375,24,29,884,749,44,-95
60,45,52,357,390,34,28,885,751,50,-107
64,51,60,359,356,34,46,887,729,58,-123
68,58,68,340,391,33,45,886,725,65,-139
72,64,76,404,401,33,44,883,724,74,-155
76,72,84,346,455,56,44,886,727,82,-172
80,79,93,416,434,55,224,887,751,91,-190
84,87,103,448,396,56,223,885,749,101,-194
88,95,112,477,444,56,221,884,750,111,-194
92,105,122,438,451,87,221,883,750,122,-194
96,114,132,504,461,86,29,887,727,133,-193
100,125,143,468,463,85,27,887,726,144,-192
104,136,154,311,320,88,28,884,728,156,-193
108,146,165,355,306,113,30,884,729,168,-194
112,157,176,335,301,112,128,884,728,180,-188
116,166,187,426,266,110,127,883,729,192,-180
120,178,197,306,336,110,127,882,726,204,-171
124,188,208,415,254,113,126,908,729,216,-155
128,198,218,392,311,112,49,908,752,228,-148
132,210,229,317,305,111,44,906,753,240,-146
136,220,240,395,280,112,45,907,752,252,-144
140,231,251,360,289,26,45,908,754,264,-142
144,242,261,350,326,26,35,907,754,276,-139
148,253,272,360,291,26,36,905,751,288,-137
152,264,284,372,248,26,35,906,751,300,-135
156,274,295,384,289,28,36,908,756,312,-141
160,286,305,303,344,26,30,907,755,324,-143
164,297,316,350,295,28,29,904,752,336,-144
168,308,328,364,251,27,29,906,751,348,-144
172,318,339,406,262,30,29,929,754,360,-139
176,330,349,332,310,29,28,929,755,372,-130
180,342,360,339,272,29,28,925,750,384,-120
184,353,372,393,213,30,28,928,751,396,-109
188,364,383,370,260,27,28,907,753,408,-105
192,375,394,386,242,27,29,906,543,420,-95
196,387,405,384,214,28,28,906,541,432,-71
200,398,416,428,193,27,27,909,543,444,-47
204,410,426,385,235,27,28,884,542,456,-22
208,422,436,386,233,27,28,887,183,468,2
212,434,446,387,230,28,28,884,180,480,26
216,446,456,388,228,28,28,883,180,492,51
220,458,466,389,226,28,28,881,180,504,75
224,471,476,352,233,28,105,883,55,516,100
228,483,486,309,300,28,104,884,54,528,93
232,495,496,257,350,28,106,884,54,540,68
236,507,506,238,368,27,103,883,53,552,44
240,518,517,272,333,27,29,887,28,564,20
244,530,528,218,356,29,30,884,28,576,-6
248,540,540,297,300,29,29,885,29,588,-30
252,550,551,286,339,47,30,862,28,600,-53
256,561,562,239,361,48,29,864,29,612,-77
260,571,572,262,394,48,29,862,29,624,-100
264,582,584,232,345,48,31,861,29,636,-125
268,593,594,204,426,30,29,860,29,648,-148
272,603,605,244,389,30,28,862,28,660,-171
276,614,617,205,372,31,28,862,29,672,-197
280,624,628,230,400,31,29,861,29,684,-220
284,634,640,235,369,37,30,862,29,696,-244
288,643,652,277,355,27,29,860,29,708,-268
292,653,664,237,369,28,28,862,29,720,-292
296,662,676,279,355,28,29,861,29,732,-315
300,672,688,240,368,48,29,861,29,744,-339
304,682,700,237,369,46,29,861,32,756,-364
308,691,712,279,356,48,28,859,30,768,-387
312,701,725,249,330,47,28,861,30,780,-412
316,710,737,283,349,73,28,885,30,792,-435
320,719,749,299,336,73,28,884,29,804,-454
324,729,762,373,208,73,33,882,29,816,-433
328,738,773,408,254,73,28,882,29,828,-412
332,749,785,366,216,28,28,888,29,840,-387
336,760,796,366,240,27,29,885,29,852,-363
340,771,807,375,229,28,28,882,29,864,-339
344,782,817,369,263,27,28,884,29,876,-316
348,794,828,336,241,30,27,883,29,888,-297
352,804,839,385,245,30,28,887,28,900,-293
356,814,850,386,248,30,28,881,28,912,-293
