# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 09:51:00
# test: turn -1
# period_ms=4 samples=176 capacity=320 result=OK build="Sep 25 2026 21:59:39"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=176
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,-146,147,961,967,255,727,0,0
4,0,0,-189,190,960,966,256,728,0,-6
8,0,1,-209,181,960,966,254,729,0,-20
12,-2,2,-159,185,963,970,255,754,0,-42
16,-4,4,-170,171,961,968,280,752,0,-72
20,-5,6,-235,207,961,967,279,751,0,-110
24,-7,9,-215,183,961,968,279,753,0,-156
28,-8,11,-296,260,946,973,278,753,0,-210
32,-11,14,-241,230,938,969,280,753,0,-272
36,-14,17,-269,257,939,967,281,750,0,-342
40,-17,21,-288,247,939,967,283,752,0,-420
44,-21,25,-278,262,940,946,278,706,0,-506
48,-26,29,-265,279,940,948,279,706,0,-600
52,-30,34,-319,279,936,941,277,704,0,-702
56,-36,39,-269,283,935,942,278,706,0,-812
60,-40,45,-362,292,914,969,278,637,0,-930
64,-46,50,-328,338,888,971,302,635,0,-1056
68,-52,57,-333,288,884,964,300,633,0,-1190
72,-59,63,-331,340,886,967,302,637,0,-1332
76,-65,70,-386,342,872,996,302,590,0,-1482
80,-72,78,-367,318,841,1001,324,590,0,-1640
84,-80,85,-365,371,839,995,323,589,0,-1806
88,-88,94,-368,320,838,994,323,590,0,-1980
92,-96,102,-406,382,813,1020,322,521,0,-2162
96,-105,110,-395,401,769,1019,325,518,0,-2352
100,-114,120,-259,210,770,1018,323,518,0,-2550
104,-123,129,-273,249,771,1018,326,520,0,-2750
108,-132,138,-273,248,741,996,326,567,0,-2950
112,-140,146,-326,301,700,996,326,566,0,-3150
116,-149,155,-281,257,700,996,327,564,0,-3350
120,-158,164,-281,257,699,998,327,566,0,-3550
124,-167,173,-281,256,655,969,327,708,0,-3750
128,-176,182,-281,256,580,971,277,706,0,-3950
132,-185,190,-293,297,580,973,277,706,0,-4150
136,-194,199,-283,263,581,972,276,707,0,-4350
140,-203,209,-271,221,536,897,276,777,0,-4550
144,-212,218,-280,256,481,901,374,777,0,-4750
148,-221,226,-292,297,480,899,373,778,0,-4950
152,-230,235,-282,262,479,898,373,776,0,-5150
156,-239,244,-282,262,407,805,372,830,0,-5350
160,-248,253,-282,262,336,810,505,832,0,-5550
164,-257,262,-282,262,336,806,506,830,0,-5750
168,-266,270,-294,303,337,805,505,829,0,-5950
172,-276,279,-243,256,267,711,504,853,0,-6150
176,-284,288,-319,278,216,711,606,853,0,-6350
180,-293,297,-144,127,218,712,623,854,0,-6550
184,-302,306,-120,103,217,711,620,853,0,-6744
188,-310,314,-141,124,177,532,619,829,0,-6930
192,-318,321,-127,139,140,534,686,828,0,-7108
196,-325,328,-141,129,139,532,737,829,0,-7278
200,-332,335,-118,105,140,530,734,829,0,-7440
204,-338,342,-132,90,138,252,734,776,0,-7594
208,-344,348,-121,104,140,252,745,776,0,-7740
212,-351,354,-56,68,138,249,758,776,0,-7878
216,-357,360,-63,50,140,249,759,776,0,-8008
220,-362,366,-74,31,145,151,760,730,0,-8130
224,-368,370,-29,70,164,151,231,728,0,-8244
228,-372,375,-68,29,164,151,232,727,0,-8350
232,-377,380,-2,-12,163,150,232,729,0,-8448
236,-381,384,-20,7,160,173,231,682,0,-8538
240,-384,388,-33,-10,138,175,83,683,0,-8620
244,-388,391,22,-11,138,174,85,681,0,-8694
248,-391,394,13,-27,137,174,84,681,0,-8760
252,-393,396,-10,-3,139,198,83,635,0,-8818
256,-396,398,55,-39,164,198,142,635,0,-8868
260,-397,400,6,-44,163,199,161,636,0,-8910
264,-398,401,17,-31,163,198,162,635,0,-8944
268,-400,402,83,-68,163,221,160,613,0,-8970
272,-400,402,22,-32,164,222,206,613,0,-8988
276,-400,402,51,-60,163,222,302,614,0,-8998
280,-400,402,-49,39,163,222,303,612,0,-9000
284,-400,402,-52,39,164,223,302,613,0,-9000
288,-400,402,-59,43,140,223,301,612,0,-9000
292,-401,403,11,-20,138,221,302,612,0,-9000
296,-401,403,-34,25,138,221,301,611,0,-9000
300,-400,403,-76,38,139,251,301,588,0,-9000
304,-400,403,0,0,192,252,302,590,0,-9000
308,-400,403,0,0,193,249,302,588,0,-9000
312,-400,403,0,0,191,247,302,589,0,-9000
316,-400,403,0,0,194,222,301,612,0,-9000
320,-400,403,0,0,116,223,300,613,0,-9000
324,-400,403,0,0,115,222,301,612,0,-9000
328,-400,403,0,0,116,219,301,613,0,-9000
332,-400,403,0,0,114,176,301,612,0,-9000
336,-400,403,0,0,91,173,301,613,0,-9000
340,-400,403,0,0,91,175,302,615,0,-9000
344,-400,403,0,0,90,174,301,614,0,-9000
348,-400,403,0,0,91,129,300,613,0,-9000
352,-400,403,0,0,91,127,303,613,0,-9000
356,-400,403,0,0,91,127,302,616,0,-9000
360,-400,403,0,0,90,127,301,613,0,-9000
364,-400,403,0,0,91,127,302,612,0,-9000
368,-400,403,0,0,92,130,301,613,0,-9000
372,-400,403,0,0,93,131,302,612,0,-9000
376,-400,403,0,0,92,130,300,612,0,-9000
380,-400,403,0,0,92,160,299,612,0,-9000
384,-400,403,0,0,140,176,301,615,0,-9000
