# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 10:01:15
# test: curve 1 300
# period_ms=8 samples=197 capacity=320 result=OK build="Sep 25 2026 21:59:39"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=197
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,192,223,974,635,0,0
8,0,0,221,223,193,217,975,635,1,0
16,3,4,261,190,193,218,977,636,3,8
24,9,8,234,251,193,216,977,636,7,19
32,14,14,302,252,193,246,974,636,14,31
40,22,22,345,222,187,247,976,636,22,49
48,32,32,344,234,165,316,975,659,32,71
56,44,43,395,271,164,317,974,658,44,96
64,56,54,453,316,164,317,974,662,58,122
72,70,68,462,328,164,316,974,659,74,152
80,88,83,489,341,139,247,973,635,91,189
88,108,98,499,402,146,247,974,634,111,228
96,130,116,492,423,161,293,973,656,133,272
104,154,135,375,260,164,294,978,657,156,319
112,178,153,360,309,193,318,998,657,180,366
120,200,172,404,300,193,317,1000,659,204,411
128,222,191,416,300,194,318,976,661,228,456
136,246,211,397,266,192,318,978,658,252,505
144,270,230,326,340,217,319,977,660,276,523
152,294,250,294,368,217,318,980,660,300,507
160,317,271,372,288,216,295,1001,658,324,524
168,340,292,363,320,217,295,1002,660,348,545
176,364,314,346,276,243,318,1002,346,372,572
184,388,335,355,285,240,320,1003,347,396,622
192,412,356,358,274,244,295,1001,88,420,672
200,437,377,323,273,243,296,1001,88,444,723
208,460,397,363,260,265,341,1000,54,468,770
216,484,417,314,306,266,341,1004,55,492,790
224,508,437,250,369,267,342,978,44,516,771
232,530,459,286,330,268,341,978,44,540,744
240,553,481,233,376,287,342,957,34,564,695
248,574,504,227,355,288,340,954,35,588,646
256,594,527,257,351,291,366,954,30,612,598
264,614,549,241,398,287,366,954,30,636,552
272,634,573,244,368,290,390,955,34,660,503
280,654,597,278,331,287,390,954,36,684,471
288,674,621,271,311,314,409,953,37,708,468
296,694,644,276,334,312,417,952,35,732,468
304,714,668,355,252,339,414,975,29,756,477
312,736,689,304,304,336,417,976,30,780,487
320,758,711,302,305,337,420,976,35,804,494
328,779,732,302,311,336,439,976,37,828,495
336,801,753,282,333,363,440,975,29,852,486
344,822,775,281,336,363,462,975,30,876,474
352,843,797,317,327,361,462,1001,29,900,462
360,865,819,273,343,362,464,999,29,924,449
368,886,841,389,266,386,462,1001,29,948,437
376,908,864,383,228,382,484,999,32,972,447
384,930,885,405,232,408,485,1003,28,996,473
392,954,905,393,217,404,509,998,29,1020,514
400,978,924,410,226,433,509,1001,28,1044,571
408,1002,942,442,201,430,534,998,28,1068,644
416,1027,960,438,182,456,531,999,34,1092,732
424,1053,977,456,190,453,534,996,33,1116,837
432,1080,994,450,169,479,533,977,33,1140,957
440,1108,1010,475,141,476,557,973,32,1164,1092
448,1136,1025,495,148,527,556,953,28,1188,1244
456,1166,1039,481,135,527,582,951,29,1212,1411
464,1196,1052,505,112,552,581,930,33,1236,1593
472,1226,1065,446,199,552,580,926,33,1260,1789
480,1257,1078,453,165,581,579,885,42,1284,1985
488,1287,1091,457,163,579,581,880,41,1308,2182
496,1318,1104,419,173,604,579,807,28,1332,2378
504,1348,1116,446,202,602,580,803,28,1356,2575
512,1378,1130,497,149,626,578,761,43,1380,2771
520,1409,1143,459,159,626,582,758,43,1404,2967
528,1440,1156,422,169,674,580,689,33,1428,3164
536,1470,1168,449,198,675,607,689,33,1452,3360
544,1501,1181,456,164,700,605,598,33,1476,3557
552,1531,1194,450,196,697,621,595,33,1500,3753
560,1562,1207,423,172,723,619,599,42,1524,3950
568,1592,1220,462,160,723,463,597,42,1548,4146
576,1622,1232,454,199,769,464,692,42,1572,4343
584,1654,1245,410,211,769,82,691,42,1596,4539
592,1684,1258,414,209,796,83,784,34,1620,4735
600,1714,1272,465,156,791,67,784,34,1644,4932
