# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 10:01:57
# test: curve -1 300
# period_ms=8 samples=195 capacity=320 result=OK build="Sep 25 2026 21:59:39"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=195
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,113,199,504,111,0,0
8,0,0,221,223,137,197,528,106,1,0
16,4,3,163,263,135,223,526,108,3,0
24,9,9,227,229,136,221,504,107,7,0
32,15,15,272,274,135,223,502,105,14,0
40,22,22,295,297,159,221,505,104,22,0
48,32,32,313,315,158,345,503,83,32,0
56,42,42,328,375,135,342,529,81,44,0
64,54,54,397,355,132,299,527,128,58,0
72,68,68,376,423,111,297,553,126,74,0
80,84,84,442,401,109,297,550,152,91,0
88,101,102,470,419,159,300,600,152,111,0
96,120,121,519,468,158,299,598,222,133,0
104,142,142,304,378,163,299,691,226,156,-30
112,164,165,249,404,162,321,691,613,180,-80
120,184,187,278,406,163,320,783,611,204,-126
128,204,210,272,414,162,344,785,969,228,-173
136,224,234,276,383,163,344,841,968,252,-222
144,244,259,273,379,162,321,839,945,276,-272
152,264,284,279,342,191,320,839,945,300,-322
160,284,309,276,337,191,342,837,923,324,-371
168,304,334,267,365,190,343,840,922,348,-421
176,324,358,263,366,191,344,839,901,372,-470
184,344,383,261,361,216,342,666,899,396,-519
192,363,408,266,354,214,345,666,878,420,-568
200,383,433,264,349,214,344,396,875,444,-618
208,402,457,267,347,215,370,395,854,468,-665
216,422,482,266,342,239,367,327,854,492,-715
224,441,506,306,328,239,370,324,831,516,-762
232,460,530,310,326,239,369,327,829,540,-810
240,480,554,404,205,239,391,324,800,564,-768
248,503,575,358,274,241,393,325,802,588,-719
256,525,596,374,259,238,392,325,752,612,-671
264,547,617,403,207,239,391,302,754,636,-624
272,570,637,368,245,238,417,302,751,660,-576
280,592,658,430,184,264,415,303,754,684,-529
