# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 10:02:04
# test: noise 1000
# period_ms=10 samples=100 capacity=320 result=OK build="Sep 25 2026 21:59:39"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=100
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,966,998,957,661,0,0
10,0,0,0,0,965,996,957,637,0,0
20,0,0,0,0,964,995,955,636,0,0
30,0,0,0,0,964,996,954,637,0,0
40,0,0,0,0,966,996,953,659,0,0
50,0,0,0,0,964,995,955,661,0,0
60,0,0,0,0,965,996,955,662,0,0
70,0,0,0,0,965,999,953,659,0,0
80,0,0,0,0,962,993,951,661,0,0
90,0,0,0,0,965,996,954,638,0,0
100,0,0,0,0,964,995,952,635,0,0
110,0,0,0,0,966,995,956,661,0,0
120,0,0,0,0,965,998,953,660,0,0
130,0,0,0,0,964,996,956,660,0,0
140,0,0,0,0,964,998,956,640,0,0
150,0,0,0,0,963,996,955,661,0,0
160,0,0,0,0,963,994,957,661,0,0
170,0,0,0,0,964,997,954,636,0,0
180,0,0,0,0,966,998,953,636,0,0
190,0,0,0,0,963,999,954,661,0,0
200,0,0,0,0,963,997,954,662,0,0
210,0,0,0,0,961,993,955,660,0,0
220,0,0,0,0,962,993,954,659,0,0
230,0,0,0,0,966,994,955,659,0,0
240,0,0,0,0,962,997,951,659,0,0
250,0,0,0,0,964,998,952,637,0,0
260,0,0,0,0,963,996,953,638,0,0
270,0,0,0,0,960,996,952,659,0,0
280,0,0,0,0,966,997,954,660,0,0
290,0,0,0,0,964,994,952,657,0,0
