# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 11:53:49
# test: run
# period_ms=8 samples=252 capacity=320 result=OK build="Sep 26 2026 10:48:05"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=405 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_len=140.0 curve_vmax=478
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=252
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,176,177,190,250,927,705,0,0
8,2,1,179,218,192,249,928,703,1,3
16,7,4,182,272,189,249,922,704,4,12
24,12,9,243,276,191,243,932,702,9,23
32,18,16,290,245,190,275,928,705,16,38
40,27,24,306,294,193,273,924,704,25,56
48,35,33,403,326,192,290,923,705,36,75
56,46,43,411,320,192,290,924,703,49,95
64,58,56,455,351,192,291,924,707,63,96
72,72,70,471,412,192,291,925,705,80,95
80,89,87,471,404,193,292,927,706,98,96
88,108,105,477,466,193,292,925,705,119,96
96,128,125,526,511,193,315,927,705,141,97
104,151,148,524,473,193,314,924,703,165,94
112,175,172,534,528,194,293,926,707,192,92
120,200,198,594,536,193,291,923,703,220,90
128,228,225,622,573,194,317,948,727,250,100
136,258,255,641,562,221,315,945,727,282,104
144,289,287,664,575,216,339,950,730,315,107
152,322,320,718,584,240,337,945,727,351,109
160,357,355,731,606,239,364,974,319,389,103
168,394,391,766,608,262,362,945,316,428,146
176,432,429,806,609,259,387,925,55,470,170
184,474,468,762,686,301,387,922,49,513,174
192,516,508,774,767,282,410,926,23,559,165
200,560,551,752,801,283,413,917,24,606,118
208,605,595,780,817,281,412,918,29,655,85
216,650,640,464,480,310,414,928,33,705,74
224,693,684,453,422,310,438,930,33,753,65
