# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 19:23:23
# test: run
# period_ms=16 samples=196 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=196
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,176,177,31,29,857,776,0,0
16,6,6,218,208,27,28,857,802,4,-13
32,19,18,221,302,74,30,858,798,16,-41
48,36,37,312,370,70,68,857,802,36,-81
64,58,63,345,431,44,127,857,796,63,-134
80,86,98,382,483,60,151,859,797,98,-203
96,122,142,417,498,54,103,858,795,141,-292
112,164,194,476,513,53,127,880,773,192,-383
128,216,251,666,417,54,105,903,773,250,-270
144,279,310,696,486,54,105,932,748,315,-135
160,354,374,707,534,70,128,900,725,389,18
176,436,442,671,694,68,136,901,725,470,101
192,523,520,641,791,105,150,884,748,559,37
208,612,608,690,844,42,150,876,772,655,-72
224,706,705,708,926,81,147,867,773,759,-159
240,804,811,805,909,110,101,854,796,871,-229
256,908,924,964,859,93,145,876,774,991,-242
272,1023,1041,961,940,54,147,879,773,1118,-183
288,1145,1163,1000,956,54,123,878,747,1253,-126
304,1275,1289,900,878,56,149,899,745,1395,-78
320,1408,1417,876,851,89,196,901,726,1539,-19
336,1541,1546,873,872,136,219,900,748,1683,3
352,1674,1676,668,706,163,278,902,751,1827,-24
368,1799,1803,592,657,217,254,903,750,1964,-46
384,1919,1921,510,614,214,249,923,751,2094,-54
400,2032,2035,464,497,265,274,900,750,2216,-51
416,2136,2140,484,408,266,320,902,109,2331,-27
