# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 19:26:45
# test: run
# period_ms=16 samples=194 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=480 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=-3.5 curve_post=4.5 curve_pre_adj=-8.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=194
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,176,177,60,43,733,1062,0,0
16,5,6,225,205,59,97,731,1061,4,-12
32,17,17,270,290,61,51,731,1059,16,-38
48,34,36,325,370,74,75,731,1084,36,-77
64,57,63,360,395,61,95,730,1060,63,-133
80,86,97,381,488,116,96,730,1065,98,-202
96,121,141,452,521,163,95,754,1035,141,-290
112,165,193,438,551,160,97,754,1038,192,-396
128,213,252,542,575,136,143,778,1037,250,-514
144,269,319,552,659,86,77,777,1009,315,-650
160,331,394,573,707,86,121,802,964,389,-801
176,400,476,811,537,54,147,810,919,470,-840
192,482,559,877,564,23,177,814,872,559,-657
208,577,643,866,642,22,80,806,851,655,-460
224,680,731,937,647,23,49,836,850,759,-249
240,793,822,919,795,25,33,831,848,871,-41
256,911,922,871,897,55,46,833,847,991,1
272,1031,1032,911,995,109,124,836,872,1118,-26
288,1153,1151,871,1000,159,220,837,874,1253,-83
304,1278,1275,762,1000,162,256,800,898,1395,-155
320,1402,1404,803,1000,190,221,825,875,1539,-270
336,1526,1538,883,964,188,249,799,873,1683,-352
352,1651,1672,707,686,192,273,835,853,1824,-380
368,1770,1800,699,556,216,250,834,832,1957,-344
384,1886,1919,636,450,242,252,880,801,2083,-261
400,1999,2027,612,378,266,251,880,56,2201,-138
416,2107,2124,522,357,290,299,878,54,2311,12
432,2207,2211,402,360,338,322,880,29,2414,56
448,2296,2291,347,364,363,367,879,34,2508,51
464,2374,2367,323,294,385,416,879,35,2596,57
480,2444,2435,629,298,405,439,883,32,2675,72
496,2518,2498,643,240,435,487,880,33,2752,176
512,2599,2553,754,192,480,512,878,32,2829,445
528,2687,2601,763,170,528,539,831,31,2905,877
544,2782,2642,624,297,554,558,778,52,2982,1470
560,2879,2683,675,250,602,582,711,27,3059,2111
576,2977,2725,667,278,647,580,614,53,3135,2753
592,3075,2767,645,245,696,580,545,52,3212,3395
608,3173,2807,634,285,722,558,662,66,3289,4037
624,3271,2849,637,277,747,510,779,27,3366,4679
640,3369,2890,683,230,768,466,881,26,3442,5321
656,3468,2931,667,266,769,393,970,27,3519,5962
672,3566,2973,636,267,698,249,1015,25,3596,6604
688,3665,3014,641,233,603,222,1066,27,3672,7246
704,3763,3055,642,230,479,279,1084,32,3749,7888
720,3858,3099,457,441,263,344,1108,25,3826,8477
736,3945,3152,419,499,263,368,1062,25,3903,8905
752,4027,3208,332,566,286,392,1023,26,3979,9169
768,4101,3272,284,618,286,417,993,26,4056,9269
784,4173,3339,643,281,310,438,999,25,4133,9318
800,4253,3399,733,160,358,484,992,107,4209,9526
816,4339,3450,764,161,406,484,969,25,4286,9897
832,4433,3493,799,134,432,509,901,27,4363,10433
848,4531,3534,664,245,480,510,833,40,4440,11073
864,4628,3575,661,276,530,507,730,26,4516,11715
880,4725,3616,669,273,553,531,613,25,4593,12357
896,4822,3656,665,310,581,80,544,25,4670,12998
912,4921,3698,647,244,582,66,660,174,4746,13640
928,5019,3739,639,276,603,174,730,175,4823,14282
944,5117,3780,675,264,581,55,800,294,4900,14924
960,5216,3822,648,232,336,127,855,387,4977,15566
976,5314,3863,649,230,115,221,902,465,5053,16208
992,5413,3903,632,271,74,128,924,537,5130,16849
1008,5509,3945,467,442,240,56,929,631,5207,17476
1024,5600,3996,398,473,38,82,923,725,5283,17965
1040,5684,4050,342,558,29,273,280,798,5360,18290
1056,5761,4111,327,602,29,66,270,848,5437,18451
1072,5831,4180,252,676,29,42,271,851,5514,18457
1088,5893,4257,260,668,28,26,272,851,5590,18311
1104,5948,4341,186,717,39,26,295,827,5667,18000
1120,5994,4432,148,789,61,102,272,776,5744,17525
1136,6035,4530,305,605,93,220,271,684,5821,16905
1152,6076,4626,256,663,241,250,303,590,5897,16263
1168,6117,4723,322,650,360,150,270,449,5974,15622
1184,6159,4820,286,635,61,389,318,347,6051,14980
1200,6200,4918,240,681,60,484,474,228,6127,14338
1216,6241,5017,285,631,28,577,613,88,6204,13696
1232,6282,5116,285,625,28,102,686,34,6281,13054
1248,6323,5214,274,661,165,54,750,29,6358,12412
1264,6364,5313,249,631,140,54,810,36,6434,11770
1280,6405,5411,282,622,200,103,881,35,6511,11128
1296,6445,5508,457,454,193,137,912,44,6588,10487
1312,6493,5601,444,433,242,295,993,566,6664,9937
1328,6548,5687,467,399,242,321,1056,55,6741,9551
1344,6606,5768,595,320,241,364,1148,28,6818,9330
1360,6672,5840,359,228,265,388,1194,30,6895,9270
