# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 20:03:44
# test: turn 1
# period_ms=4 samples=171 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=300 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=171
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,145,-146,193,173,910,752,0,0
4,0,0,188,-189,194,170,911,752,0,6
8,1,-1,166,-168,193,100,910,752,0,20
12,1,-2,234,-206,193,100,909,750,0,42
16,3,-5,163,-130,165,99,912,752,0,72
20,5,-7,196,-189,165,99,913,753,0,110
24,6,-9,264,-228,164,171,910,753,0,156
28,9,-12,206,-194,164,169,911,751,0,210
32,11,-14,284,-272,165,169,911,752,0,272
36,14,-17,266,-255,165,170,910,777,0,342
40,18,-20,256,-274,165,122,910,777,0,420
44,22,-24,271,-264,164,124,890,775,0,506
48,26,-28,299,-292,165,121,889,776,0,600
52,31,-32,289,-311,165,122,889,801,0,702
56,36,-37,304,-302,166,100,890,801,0,812
60,41,-42,333,-331,166,101,846,801,0,930
64,47,-48,312,-309,195,99,843,800,0,1056
68,53,-54,338,-336,194,99,845,854,0,1190
72,59,-61,355,-324,195,99,843,855,0,1332
76,66,-68,344,-338,196,101,788,854,0,1482
80,73,-75,371,-365,194,99,786,853,0,1640
84,81,-83,347,-341,195,99,786,901,0,1806
88,89,-91,371,-365,195,65,785,902,0,1980
92,97,-99,399,-393,199,65,719,899,0,2162
96,106,-108,376,-370,195,64,720,899,0,2352
100,115,-117,262,-255,199,63,717,971,0,2550
104,124,-127,253,-217,192,196,718,969,0,2750
