# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 20:13:20
# test: curve -1 300
# period_ms=8 samples=188 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=300 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=188
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,115,104,1002,635,0,0
8,1,0,182,232,138,151,1005,634,1,1
16,4,3,208,243,144,151,1003,639,3,8
24,9,7,230,259,169,200,1004,634,7,18
32,14,14,314,215,167,196,1003,634,14,31
40,22,22,345,223,137,343,1008,634,22,49
48,33,31,343,310,138,344,1005,657,32,71
56,43,41,415,313,160,298,1026,654,44,93
64,55,53,455,322,159,297,1026,632,58,119
72,69,67,497,327,187,322,1004,632,74,150
80,86,82,485,382,186,320,1002,631,91,186
88,105,98,484,405,159,323,1004,631,111,224
96,126,115,566,446,159,320,1002,655,133,266
104,150,135,411,217,163,321,1003,658,156,315
112,175,153,378,304,160,322,1002,660,180,362
120,198,172,384,305,190,320,1005,660,204,409
128,223,191,309,377,191,320,1002,681,228,429
136,247,212,289,365,191,274,1027,676,252,409
144,270,234,312,311,191,275,1024,657,276,412
152,294,255,274,341,214,300,1004,664,300,404
160,315,278,348,314,213,299,1002,680,324,392
168,338,301,224,353,216,323,602,681,348,351
176,360,323,232,393,214,322,600,681,372,302
184,381,347,228,364,237,297,330,680,396,252
192,402,371,253,357,237,298,329,680,420,203
200,422,395,249,359,262,345,236,680,444,154
208,442,419,237,394,259,344,234,680,468,106
216,462,444,242,357,262,346,236,672,492,56
224,481,469,361,210,260,342,234,655,516,52
232,501,492,352,221,237,392,190,659,540,94
240,523,514,343,253,237,392,188,658,564,127
248,545,535,348,249,262,368,190,642,588,155
256,566,557,360,239,261,367,188,633,612,182
264,588,578,361,240,308,415,189,633,636,203
272,610,600,329,246,307,415,188,633,660,218
280,632,621,345,280,309,391,189,635,684,226
288,654,643,290,283,309,392,188,634,708,211
296,676,664,304,322,309,417,212,636,732,192
304,698,685,326,326,309,415,210,633,756,170
312,720,707,325,300,334,463,238,655,780,150
320,741,728,260,371,334,462,234,656,804,118
328,762,750,300,333,359,463,212,657,828,88
336,784,771,243,392,358,463,211,657,852,60
344,806,794,214,364,381,463,188,634,876,37
352,827,816,268,312,380,461,187,636,900,24
360,848,838,286,346,382,487,67,634,924,9
368,869,861,201,417,381,485,67,633,948,-3
376,889,884,231,376,405,523,166,634,972,-13
384,908,908,252,382,404,532,166,634,996,-39
392,927,932,232,404,429,534,145,635,1020,-81
400,945,958,227,381,430,535,145,633,1044,-139
408,964,983,163,419,455,539,190,612,1068,-212
416,981,1009,212,421,454,564,188,612,1092,-301
424,998,1036,187,443,476,556,189,589,1116,-406
432,1014,1063,163,470,477,584,188,589,1140,-527
440,1030,1091,145,460,503,583,166,564,1164,-664
448,1045,1120,155,474,499,621,168,564,1188,-817
456,1058,1150,183,447,503,621,189,519,1212,-985
464,1072,1180,154,474,498,643,187,519,1236,-1170
472,1085,1211,184,391,528,646,189,472,1260,-1367
480,1098,1241,207,420,524,667,187,471,1284,-1565
488,1111,1271,205,424,527,667,213,417,1308,-1763
496,1124,1302,205,421,526,711,211,417,1332,-1961
504,1137,1332,168,435,525,712,189,346,1356,-2159
512,1150,1363,178,398,525,714,188,345,1380,-2357
520,1163,1394,178,395,504,711,212,368,1404,-2556
528,1176,1424,201,424,501,738,209,368,1428,-2754
536,1188,1455,218,385,500,735,236,442,1452,-2952
544,1202,1484,152,477,501,761,234,441,1476,-3150
552,1214,1515,203,428,481,760,188,521,1500,-3348
560,1227,1545,201,432,481,787,186,520,1524,-3546
568,1240,1575,199,436,457,782,236,615,1548,-3744
576,1253,1606,164,444,458,805,234,615,1572,-3943
584,1265,1636,203,436,433,802,401,683,1596,-4141
592,1278,1667,213,399,435,810,399,684,1620,-4339
