# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 20:17:08
# test: straight 1 300
# period_ms=4 samples=252 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=300 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=252
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,192,198,1005,637,0,0
4,0,0,188,189,193,199,1003,635,0,0
8,0,1,236,179,195,201,1003,635,1,1
12,1,2,227,208,192,198,1004,635,2,3
16,3,3,214,241,190,178,1005,637,3,7
20,4,5,289,215,164,174,1001,635,5,10
24,7,7,243,255,164,175,1002,635,7,15
28,10,10,280,236,162,179,1002,633,10,22
32,14,13,267,267,162,223,1003,636,14,30
36,18,16,289,291,193,231,1001,637,17,38
40,23,20,289,283,193,221,1004,635,22,48
44,28,25,326,262,191,224,1001,635,26,59
48,33,29,338,324,190,273,1000,635,32,69
52,39,34,340,316,193,271,999,637,38,81
56,44,39,403,330,193,274,999,636,44,92
60,50,45,412,319,191,270,997,634,50,105
64,56,51,443,339,192,271,1000,659,58,118
68,63,58,452,326,193,271,995,660,65,134
72,71,65,445,354,193,273,998,660,74,150
76,79,72,472,376,193,271,1000,656,82,167
80,88,79,463,409,193,269,1000,658,91,185
84,96,87,541,383,193,269,996,660,101,202
88,106,96,514,379,193,267,995,658,111,223
92,116,105,542,398,192,269,1000,658,122,244
96,128,114,495,438,192,218,998,636,133,267
100,140,123,514,464,193,218,997,635,144,291
104,152,134,393,231,192,220,999,634,156,316
108,164,143,368,311,194,218,1001,634,168,339
112,175,153,420,262,191,295,1001,636,180,362
116,187,163,388,268,217,299,1001,638,192,387
120,199,173,389,266,217,296,1000,634,204,411
124,211,182,375,308,217,296,1001,634,216,434
128,223,192,388,269,217,273,1004,658,228,459
132,235,202,389,267,217,273,1003,661,240,483
136,247,211,336,348,217,276,1001,659,252,490
140,260,222,255,344,217,273,1007,657,264,474
144,271,232,306,371,218,251,1002,660,276,458
148,283,242,256,395,241,249,999,660,288,442
152,294,254,304,316,242,250,1002,659,300,426
156,305,265,285,358,241,248,981,660,312,409
160,316,277,271,342,241,253,981,683,324,385
164,327,288,254,383,241,251,979,684,336,361
168,338,299,241,395,242,251,980,682,348,337
172,349,310,231,403,242,248,1003,683,360,313
176,360,322,246,358,242,266,1004,683,372,295
180,371,334,249,350,242,274,1005,685,384,281
184,381,346,285,336,241,273,1004,686,396,266
188,392,358,249,343,243,274,1005,684,408,253
192,402,370,321,294,242,263,1005,682,420,255
