# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 20:18:23
# test: turn -2
# period_ms=4 samples=290 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=300 accel=3000 turn=500 turn_accel=5000 kp=0.70 ki=8.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=290
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,-145,146,163,223,911,705,0,0
4,0,0,-188,189,193,220,907,707,0,-6
8,-1,1,-166,168,194,219,910,707,0,-20
12,-2,2,-193,194,192,251,908,706,0,-42
16,-4,4,-168,170,192,251,908,706,0,-72
20,-6,5,-204,235,141,247,907,706,0,-110
24,-8,7,-221,227,141,248,908,707,0,-156
28,-10,9,-251,257,139,274,909,707,0,-210
32,-12,12,-272,248,139,273,907,705,0,-272
36,-15,15,-264,266,166,275,932,685,0,-342
40,-18,18,-295,297,165,274,933,684,0,-420
44,-22,22,-275,277,165,250,931,682,0,-506
48,-26,27,-291,264,163,251,930,687,0,-600
52,-30,31,-333,330,201,250,957,660,0,-702
56,-35,36,-314,312,195,252,959,661,0,-812
60,-40,42,-331,299,194,250,956,658,0,-930
64,-46,48,-319,312,192,251,955,656,0,-1056
68,-52,54,-345,339,169,251,983,620,0,-1190
72,-58,61,-362,327,166,250,980,613,0,-1332
76,-65,68,-351,341,163,252,981,611,0,-1482
80,-72,75,-378,368,162,251,979,612,0,-1640
84,-80,83,-355,344,141,252,1050,543,0,-1806
88,-88,91,-379,369,139,252,1049,543,0,-1980
92,-96,99,-407,396,142,240,1046,540,0,-2162
96,-105,108,-384,373,137,222,1047,543,0,-2352
100,-114,117,-270,258,164,222,1096,451,0,-2550
104,-123,127,-261,221,166,221,1095,442,0,-2750
108,-132,136,-271,255,164,211,1093,441,0,-2950
112,-140,145,-311,266,165,174,1093,440,0,-3150
116,-149,154,-276,256,629,174,1118,323,0,-3350
120,-158,163,-275,255,629,174,1116,323,0,-3550
124,-167,172,-275,255,630,175,1115,320,0,-3750
128,-176,181,-274,254,630,200,1116,322,0,-3950
132,-185,190,-274,254,914,197,1140,183,0,-4150
136,-194,199,-273,253,914,198,1137,185,0,-4350
140,-202,208,-314,264,911,199,1138,180,0,-4550
144,-211,217,-279,254,913,104,1140,180,0,-4750
148,-220,226,-278,253,1056,103,1116,56,0,-4950
152,-229,235,-277,253,1058,102,1117,55,0,-5150
156,-238,244,-277,252,1060,105,1116,57,0,-5350
160,-246,252,-330,305,1057,152,1115,55,0,-5550
164,-256,261,-243,248,1148,150,1070,45,0,-5750
168,-264,271,-307,228,1150,150,1072,45,0,-5950
172,-274,280,-240,240,1152,150,1070,44,0,-6150
176,-282,288,-328,303,1151,804,1071,42,0,-6350
180,-292,297,-102,106,1200,806,1004,67,0,-6550
184,-300,306,-154,103,1199,805,1005,68,0,-6744
188,-309,314,-99,102,1200,808,1003,67,0,-6930
192,-316,321,-160,139,1197,853,1001,67,0,-7108
196,-323,328,-140,118,1218,853,888,68,0,-7278
200,-330,335,-116,94,1219,852,892,69,0,-7440
204,-337,341,-101,108,1219,856,888,68,0,-7594
208,-343,348,-102,55,1219,946,888,67,0,-7740
212,-349,353,-100,107,1197,945,741,54,0,-7878
216,-355,359,-62,45,1199,947,742,56,0,-8008
220,-360,364,-85,67,1199,947,742,55,0,-8130
224,-366,369,-18,30,1196,1020,740,54,0,-8244
228,-370,374,-66,24,1171,1020,307,43,0,-8350
232,-375,378,-12,24,1173,1023,307,45,0,-8448
236,-379,382,-21,8,1175,1019,307,44,0,-8538
240,-382,385,-46,32,1171,1042,305,42,0,-8620
244,-386,388,19,-3,1124,1040,330,43,0,-8694
248,-389,391,10,-20,1126,1042,330,44,0,-8760
252,-391,393,-14,4,1124,1041,329,43,0,-8818
256,-394,395,51,-32,1123,1088,327,43,0,-8868
260,-395,396,-10,5,1102,1087,331,43,0,-8910
264,-397,397,52,-28,1102,1085,329,45,0,-8944
