# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 20:23:51
# test: curve 1 300
# period_ms=8 samples=195 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=300 accel=3000 turn=500 turn_accel=5000 kp=0.00 ki=0.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=195
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,61,29,1142,543,0,0
8,1,0,180,235,56,27,1142,542,1,0
16,3,4,251,199,57,35,1142,542,3,0
24,7,8,273,221,44,34,1140,542,7,0
32,14,13,239,295,45,44,1141,541,14,0
40,22,21,258,314,25,45,1142,540,22,0
48,31,31,317,319,28,85,1117,542,32,0
56,41,41,367,370,27,82,1115,543,44,0
64,53,53,392,394,28,106,1115,543,58,0
72,67,67,415,418,28,103,1114,544,74,0
80,83,83,402,450,28,101,1141,544,91,0
88,101,101,423,470,28,100,1153,543,111,0
96,120,120,482,485,28,194,1139,544,133,0
104,142,141,281,381,48,201,1140,543,156,0
112,163,164,379,283,48,34,1160,519,180,0
120,184,184,360,362,28,36,1167,520,204,0
128,206,206,334,336,27,150,1162,519,228,0
136,228,228,333,335,26,151,1164,519,252,0
144,250,251,334,327,28,82,1171,520,276,0
152,273,272,324,335,61,81,1187,518,300,0
160,294,295,366,314,60,82,1186,519,324,0
168,317,317,324,325,74,82,1184,518,348,0
176,340,340,293,295,73,28,1187,520,372,0
184,362,363,329,277,75,27,1205,518,396,0
192,385,385,311,313,74,27,1206,496,420,0
200,408,408,280,282,74,29,1203,493,444,0
208,430,430,269,316,73,26,1208,68,468,0
216,452,452,303,305,91,29,1228,68,492,0
224,474,474,302,303,90,28,1224,87,516,0
232,496,496,300,302,116,28,1227,87,540,0
240,518,518,264,311,115,84,1227,29,564,0
248,539,540,315,263,91,86,1252,29,588,0
256,561,561,301,303,91,86,1249,28,612,0
264,582,583,341,289,62,83,1295,28,636,0
272,604,604,328,329,59,82,1297,29,660,0
280,626,626,302,303,141,83,1321,28,684,0
288,648,648,301,302,140,54,1317,28,708,0
296,669,669,304,305,140,54,1296,29,732,0
304,690,691,344,292,140,36,1294,28,756,0
312,712,712,341,297,140,33,1339,28,780,0
320,734,734,295,341,140,44,1342,29,804,0
328,756,756,303,305,139,43,1340,29,828,0
336,778,777,255,355,140,27,1340,28,852,0
344,799,800,318,265,164,28,1337,29,876,0
352,821,821,304,305,165,68,1341,30,900,0
360,842,843,344,292,140,67,1341,29,924,0
368,864,864,416,235,141,34,1340,30,948,0
376,886,885,390,250,164,35,1362,29,972,10
384,909,906,416,221,164,34,1363,29,996,36
392,932,926,411,203,165,34,1360,28,1020,78
400,957,944,376,265,164,55,1364,28,1044,135
408,982,963,413,201,115,55,1382,29,1068,209
416,1006,981,486,159,116,55,1385,29,1092,298
424,1034,998,432,156,92,53,1384,29,1116,403
432,1061,1014,448,166,91,54,1385,29,1140,524
440,1088,1030,481,136,116,55,1367,29,1164,661
448,1117,1044,457,161,115,28,1363,29,1188,813
456,1146,1058,510,160,74,27,1318,29,1212,982
464,1177,1072,505,108,75,103,1321,29,1236,1166
472,1208,1084,401,214,93,105,1228,29,1260,1363
480,1238,1097,406,212,90,55,1227,29,1284,1561
488,1268,1110,445,200,92,55,1165,29,1308,1760
496,1299,1123,442,200,90,55,1161,29,1332,1958
504,1330,1136,405,210,75,58,1073,29,1356,2156
512,1361,1149,437,200,74,83,1069,29,1380,2354
520,1392,1162,400,210,75,82,981,28,1404,2552
528,1422,1175,404,208,74,67,978,29,1428,2750
536,1453,1188,436,198,74,68,913,29,1452,2948
544,1483,1201,441,195,74,63,911,29,1476,3147
552,1514,1214,404,205,74,64,843,28,1500,3345
560,1544,1227,452,158,76,65,840,28,1524,3543
568,1574,1240,492,146,60,341,763,28,1548,3741
576,1606,1252,401,209,62,339,762,29,1572,3939
584,1636,1265,440,197,61,526,672,29,1596,4137
592,1666,1278,409,205,62,526,669,44,1620,4336
600,1696,1291,458,158,62,479,623,44,1644,4534
608,1726,1304,463,155,62,479,624,134,1668,4732
616,1757,1316,448,196,61,435,509,134,1692,4930
624,1788,1329,411,206,62,434,507,228,1716,5128
632,1818,1342,416,203,82,387,449,228,1740,5326
640,1849,1355,458,159,93,392,446,252,1764,5524
648,1879,1368,463,156,92,364,378,255,1788,5723
656,1910,1381,426,166,481,363,377,347,1812,5921
664,1940,1393,453,195,481,364,237,347,1836,6119
672,1970,1406,457,192,554,361,235,396,1860,6317
680,2002,1419,414,204,555,340,236,394,1884,6515
688,2033,1432,421,169,506,341,235,449,1908,6713
696,2063,1445,451,191,505,364,284,450,1932,6911
704,2094,1458,414,201,458,364,284,496,1956,7110
712,2125,1471,456,156,458,247,283,495,1980,7308
720,2155,1483,448,195,385,245,282,565,2004,7506
728,2186,1496,411,205,384,65,308,565,2028,7704
736,2217,1509,371,268,312,63,304,614,2052,7901
744,2246,1523,398,243,312,80,306,613,2076,8087
752,2276,1538,380,230,240,77,305,658,2100,8256
760,2304,1553,358,253,241,123,308,658,2124,8410
768,2332,1568,320,318,90,124,306,731,2148,8547
776,2359,1584,340,301,91,124,330,729,2172,8669
784,2386,1601,310,328,49,125,328,752,2196,8775
792,2411,1619,300,315,49,146,354,752,2220,8865
800,2436,1637,309,333,39,147,351,778,2244,8939
808,2460,1656,285,359,39,100,674,778,2268,8998
816,2484,1676,267,350,39,100,669,776,2292,9040
824,2506,1697,283,360,37,100,914,776,2316,9067
832,2528,1719,271,346,45,99,910,801,2340,9078
840,2550,1741,294,294,48,101,913,799,2364,9078
848,2571,1763,335,280,29,99,914,777,2388,9078
856,2593,1785,334,279,27,101,913,776,2412,9078
864,2615,1807,334,277,29,99,912,777,2436,9078
872,2637,1829,333,275,28,101,889,774,2460,9078
880,2658,1851,374,261,76,99,889,754,2484,9078
888,2680,1872,371,265,73,100,913,749,2508,9078
896,2702,1893,324,315,48,98,912,754,2532,9078
904,2723,1915,340,276,49,124,911,751,2556,9078
912,2745,1936,337,281,49,122,912,755,2580,9078
920,2766,1958,343,277,47,101,912,752,2604,9078
928,2788,1980,342,275,63,100,914,731,2628,9078
936,2810,2001,305,290,60,123,914,727,2652,9078
944,2831,2023,345,276,49,124,915,732,2676,9078
952,2853,2045,345,274,47,124,913,727,2700,9078
960,2875,2067,344,272,39,125,914,730,2724,9078
968,2897,2088,341,277,37,100,936,727,2748,9078
976,2918,2110,372,297,38,100,934,709,2772,9078
984,2940,2132,382,261,37,124,935,706,2796,9078
992,2962,2154,346,269,47,123,935,707,2820,9078
1000,2984,2176,355,232,47,170,936,705,2844,9078
1008,3006,2197,308,282,60,170,934,706,2868,9078
1016,3027,2219,349,268,60,148,954,710,2892,9078
1024,3049,2240,336,307,61,145,953,705,2916,9078
1032,3070,2262,377,293,59,124,935,704,2940,9078
1040,3093,2284,345,269,77,122,931,682,2964,9078
1048,3114,2306,351,265,72,67,957,684,2988,9078
1056,3136,2328,385,253,38,67,954,680,3012,9078
1064,3158,2349,337,302,40,174,958,681,3036,9078
1072,3180,2371,346,266,94,174,956,682,3060,9078
1080,3202,2393,311,274,91,222,957,680,3084,9078
1088,3223,2414,340,301,115,223,957,658,3108,9078
1096,3245,2436,349,265,115,273,978,659,3132,9078
1104,3266,2457,184,97,74,277,980,660,3156,9078
1112,3285,2476,166,78,71,250,979,657,3177,9078
1120,3301,2492,153,64,73,250,979,661,3197,9078
1128,3316,2508,150,5,72,197,979,658,3215,9078
1136,3330,2520,81,43,91,197,981,638,3231,9078
1144,3342,2532,38,-1,91,174,980,634,3245,9078
1152,3352,2541,44,12,91,175,980,636,3257,9078
1160,3362,2548,-22,17,93,174,981,637,3267,9078
1168,3368,2555,9,-50,92,172,979,636,3275,9078
1176,3373,2560,-34,-93,91,175,982,636,3282,9078
1184,3376,2562,-63,-69,116,173,977,659,3286,9078
1192,3377,2563,-35,-130,115,199,980,659,3289,9078
1200,3378,2562,38,52,91,195,979,636,3289,9078
1208,3378,2562,57,35,91,173,982,636,3289,9078
1216,3378,2562,71,57,73,173,977,660,3289,9078
1224,3380,2564,10,-17,75,174,981,659,3289,9078
1232,3380,2564,39,20,73,176,978,660,3289,9078
1240,3380,2564,47,37,75,150,983,659,3289,9078
1248,3380,2564,55,55,60,148,976,659,3289,9078
1256,3380,2565,46,-33,59,150,981,661,3289,9078
1264,3380,2564,0,0,60,150,979,638,3289,9078
1272,3380,2564,0,0,60,174,980,636,3289,9078
1280,3380,2564,0,0,139,173,979,637,3289,9078
1288,3380,2564,0,0,139,175,981,635,3289,9078
1296,3380,2564,0,0,118,174,984,659,3289,9078
1304,3380,2564,0,0,115,197,981,660,3289,9078
1312,3380,2564,0,0,91,198,983,638,3289,9078
1320,3380,2564,0,0,91,198,982,635,3289,9078
1328,3380,2564,0,0,92,199,979,637,3289,9078
1336,3380,2564,0,0,89,199,980,637,3289,9078
1344,3380,2564,0,0,93,197,981,638,3289,9078
1352,3380,2564,0,0,91,223,979,636,3289,9078
1360,3380,2564,0,0,93,224,980,636,3289,9078
1368,3380,2564,0,0,92,199,982,638,3289,9078
1376,3380,2564,0,0,92,197,981,660,3289,9078
1384,3380,2564,0,0,92,197,983,661,3289,9078
1392,3380,2564,0,0,91,197,977,637,3289,9078
