# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 20:28:46
# test: noise 1000
# period_ms=10 samples=100 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=300 accel=3000 turn=500 turn_accel=5000 kp=0.00 ki=0.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=100
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,941,998,330,636,0,0
10,0,0,0,0,962,995,355,637,0,0
20,0,0,0,0,942,996,354,637,0,0
30,0,0,0,0,939,997,331,639,0,0
40,0,0,0,0,965,999,341,638,0,0
50,0,0,0,0,964,998,355,640,0,0
60,0,0,0,0,939,995,331,636,0,0
70,0,0,0,0,941,997,329,638,0,0
80,0,0,0,0,941,1000,378,640,0,0
90,0,0,0,0,939,995,25,637,0,0
100,0,0,0,0,941,996,25,636,0,0
110,0,0,0,0,938,997,399,637,0,0
120,0,0,0,0,939,994,400,638,0,0
130,0,0,0,0,940,993,329,637,0,0
140,0,0,0,0,942,997,330,639,0,0
150,0,0,0,0,964,996,329,637,0,0
160,0,0,0,0,963,997,331,638,0,0
170,0,0,0,0,965,995,332,637,0,0
180,0,0,0,0,941,997,328,637,0,0
190,0,0,0,0,939,998,331,639,0,0
200,0,0,0,0,964,994,330,637,0,0
210,0,0,0,0,964,996,327,638,0,0
220,0,0,0,0,942,998,330,638,0,0
230,0,0,0,0,941,994,329,637,0,0
240,0,0,0,0,943,998,355,637,0,0
250,0,0,0,0,941,995,23,638,0,0
260,0,0,0,0,941,996,24,636,0,0
270,0,0,0,0,940,996,402,638,0,0
280,0,0,0,0,942,996,400,637,0,0
290,0,0,0,0,940,997,330,638,0,0
300,0,0,0,0,939,995,307,638,0,0
310,0,0,0,0,941,997,307,637,0,0
320,0,0,0,0,937,995,400,635,0,0
330,0,0,0,0,940,998,401,639,0,0
340,0,0,0,0,939,993,400,635,0,0
350,0,0,0,0,938,997,377,635,0,0
360,0,0,0,0,941,996,375,637,0,0
370,0,0,0,0,938,994,235,635,0,0
380,0,0,0,0,938,996,25,636,0,0
390,0,0,0,0,963,994,23,635,0,0
400,0,0,0,0,959,996,306,635,0,0
410,0,0,0,0,963,993,354,637,0,0
420,0,0,0,0,962,996,352,635,0,0
430,0,0,0,0,963,997,425,636,0,0
440,0,0,0,0,942,996,427,638,0,0
450,0,0,0,0,939,997,355,634,0,0
460,0,0,0,0,941,996,330,637,0,0
470,0,0,0,0,963,1000,330,638,0,0
480,0,0,0,0,962,996,167,637,0,0
490,0,0,0,0,941,997,97,637,0,0
500,0,0,0,0,941,998,67,637,0,0
510,0,0,0,0,941,996,122,638,0,0
520,0,0,0,0,940,994,121,638,0,0
530,0,0,0,0,940,999,282,637,0,0
540,0,0,0,0,940,995,308,637,0,0
550,0,0,0,0,940,995,306,637,0,0
560,0,0,0,0,940,998,282,636,0,0
570,0,0,0,0,940,995,283,637,0,0
